Origin,Destination,Distance
Agra,Delhi,240
Agra,Lucknow,334
Agra,Kanpur,277
Ahmedabad,Mumbai,526
Ahmedabad,Pune,663
Ahmedabad,Jaipur,660
Ahmedabad,Udaipur,258
Bengaluru,Pune,839
Bengaluru,Hyderabad,576
Bengaluru,Chennai,346
Bengaluru,Goa,562
Bhubaneswar,Kolkata,442
Bhubaneswar,Vishakhapatnam,444
Bhubaneswar,Patna,831
Chennai,Hyderabad,626
Chennai,Bengaluru,345
Chennai,Kochi,690
Chennai,Mumbai,1335
Chennai,Kolkata,1666
Delhi,Jaipur,307
Delhi,Agra,243
Delhi,Lucknow,548
Delhi,Chennai,2208
Delhi,Bengaluru,2174
Delhi,Mumbai,1452
Delhi,Hyderabad,1582
Goa,Hyderabad,674
Goa,Kochi,755
Goa,Mumbai,585
Goa,Pune,442
Goa,Thiruvananthapuram,1305
Hyderabad,Pune,562
Hyderabad,Bengaluru,576
Hyderabad,Chennai,627
Hyderabad,Goa,674
Hyderabad,Mumbai,708
Hyderabad,Delhi,1583
Hyderabad,Kolkata,1489
Jaipur,Ahmedabad,659
Jaipur,Udaipur,397
Jaipur,Delhi,308
Jaipur,Mumbai,1170
Jaipur,Pune,1191
Kanpur,Agra,301
Kanpur,Lucknow,115
Kanpur,Varanasi,328
Kochi,Chennai,690
Kochi,Bengaluru,547
Kochi,Goa,754
Kochi,Thiruvananthapuram,206
Kochi,Bengaluru,547
Kolkata,Varanasi,680
Kolkata,Patna,554
Kolkata,Bhubaneswar,442
Kolkata,Chennai,1668
Kolkata,Delhi,1563
Lucknow,Delhi,553
Lucknow,Agra,333
Lucknow,Kanpur,89
Mumbai,Pune,148
Mumbai,Ahmedabad,526
Mumbai,Delhi,1453
Mumbai,Hyderabad,713
Mumbai,Bengaluru,984
Mumbai,Kolkata,1886
Mumbai,Chennai,1338
Patna,Varanasi,256
Patna,Kolkata,578
Pune,Mumbai,150
Pune,Ahmedabad,660
Pune,Hyderabad,560
Pune,Bengaluru,842
Udaipur,Ahmedabad,257
Udaipur,Jaipur,397
Udaipur,Mumbai,767
Udaipur,Delhi,688
Varanasi,Kanpur,328
Varanasi,Patna,259
Varanasi,Kolkata,683
Varanasi,Lucknow,312
Vishakhapatnam,Bhubaneswar,441
Vishakhapatnam,Hyderabad,618
Vishakhapatnam,Kolkata,882
