t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,1212416,53633.942018,0.000000,0.000000,0.000000,events/second
1719501450,1212416,23022.493930,0.000000,0.000000,0.000000,events/second
1719501480,1212416,14662.489470,0.000000,0.000000,0.000000,events/second
1719501510,1212416,10757.024730,0.000000,0.000000,0.000000,events/second
1719501540,1212416,8494.620454,0.000000,0.000000,0.000000,events/second
1719501570,1212416,7018.482417,0.000000,0.000000,0.000000,events/second
1719501600,1212416,5979.241832,0.000000,0.000000,0.000000,events/second
1719501630,1212416,5208.177500,0.000000,0.000000,0.000000,events/second
1719501660,1212416,4613.182892,0.000000,0.000000,0.000000,events/second
1719501690,1212416,4140.239208,0.000000,0.000000,0.000000,events/second
1719501720,1212416,3755.280438,0.000000,0.000000,0.000000,events/second
1719501750,1212416,3435.848633,0.000000,0.000000,0.000000,events/second
1719501780,1212416,3166.528112,0.000000,0.000000,0.000000,events/second
1719501810,1212416,2936.337656,0.000000,0.000000,0.000000,events/second
1719501840,1212416,2737.299173,0.000000,0.000000,0.000000,events/second
1719501870,1212416,2563.580852,0.000000,0.000000,0.000000,events/second
1719501900,1212416,2410.600717,0.000000,0.000000,0.000000,events/second
1719501930,1212416,2274.852095,0.000000,0.000000,0.000000,events/second
1719501960,1212416,2153.582919,0.000000,0.000000,0.000000,events/second
1719501990,1212416,2044.583037,0.000000,0.000000,0.000000,events/second
1719502020,1212416,1946.082193,0.000000,0.000000,0.000000,events/second
1719502050,1212416,1856.613699,0.000000,0.000000,0.000000,events/second
1719502080,1212416,1775.012991,0.000000,0.000000,0.000000,events/second
1719502110,1212416,1700.270540,0.000000,0.000000,0.000000,events/second
1719502140,1212416,1631.555495,0.000000,0.000000,0.000000,events/second
1719502170,1212416,1568.207059,0.000000,0.000000,0.000000,events/second
1719502200,1212416,1509.568936,0.000000,0.000000,0.000000,events/second
1719502230,1212416,1455.183572,0.000000,0.000000,0.000000,events/second
1719502260,1212416,1404.581065,0.000000,0.000000,0.000000,events/second
1719502290,1212416,1357.373572,0.000000,0.000000,0.000000,events/second
1719502320,2334720,2528.875663,0.000000,0.000000,0.000000,events/second
1719502350,2334720,2449.237985,0.000000,0.000000,0.000000,events/second
1719502380,2334720,2374.455320,0.000000,0.000000,0.000000,events/second
1719502410,2334720,2304.103137,0.000000,0.000000,0.000000,events/second
1719502440,2334720,2237.807987,0.000000,0.000000,0.000000,events/second
1719502470,2334720,2175.223922,0.000000,0.000000,0.000000,events/second
1719502500,2334720,2116.046838,0.000000,0.000000,0.000000,events/second
1719502530,2334720,2059.993581,0.000000,0.000000,0.000000,events/second
1719502560,2334720,2006.834947,0.000000,0.000000,0.000000,events/second
1719502590,2334720,1956.345021,0.000000,0.000000,0.000000,events/second
1719502620,2334720,1908.332820,0.000000,0.000000,0.000000,events/second
1719502650,2334720,1862.616393,0.000000,0.000000,0.000000,events/second
1719502680,2334720,1819.046208,0.000000,0.000000,0.000000,events/second
1719502710,2334720,1777.471265,0.000000,0.000000,0.000000,events/second
1719502740,2334720,1737.761886,0.000000,0.000000,0.000000,events/second
1719502770,2334720,1699.777841,0.000000,0.000000,0.000000,events/second
1719502800,2334720,1663.420922,0.000000,0.000000,0.000000,events/second
1719502830,2334720,1628.591776,0.000000,0.000000,0.000000,events/second
1719502860,2334720,1595.189198,0.000000,0.000000,0.000000,events/second
1719502891,2334720,1563.126192,0.000000,0.000000,0.000000,events/second
1719502921,2334720,1532.332102,0.000000,0.000000,0.000000,events/second
1719502951,2334720,1502.722987,0.000000,0.000000,0.000000,events/second
1719502981,2334720,1474.239990,0.000000,0.000000,0.000000,events/second
1719503011,2334720,1446.819340,0.000000,0.000000,0.000000,events/second
1719503041,2334720,1420.398015,0.000000,0.000000,0.000000,events/second
1719503071,2334720,1394.924771,0.000000,0.000000,0.000000,events/second
1719503101,2334720,1370.344854,0.000000,0.000000,0.000000,events/second
1719503131,2334720,1346.618365,0.000000,0.000000,0.000000,events/second
1719503161,2334720,1323.701042,0.000000,0.000000,0.000000,events/second
1719503191,2334720,1301.549676,0.000000,0.000000,0.000000,events/second
1719503221,2334720,1280.125526,0.000000,0.000000,0.000000,events/second
1719503251,2334720,1259.395124,0.000000,0.000000,0.000000,events/second
1719503281,2334720,1239.328065,0.000000,0.000000,0.000000,events/second
1719503311,2334720,1219.884924,0.000000,0.000000,0.000000,events/second
1719503341,2334720,1201.042013,0.000000,0.000000,0.000000,events/second
1719503371,2334720,1182.774203,0.000000,0.000000,0.000000,events/second
1719503401,2334720,1165.052799,0.000000,0.000000,0.000000,events/second
1719503431,2334720,1147.858818,0.000000,0.000000,0.000000,events/second
1719503461,2334720,1131.160262,0.000000,0.000000,0.000000,events/second
1719503491,2334720,1114.938558,0.000000,0.000000,0.000000,events/second
1719503521,2334720,1099.177958,0.000000,0.000000,0.000000,events/second
1719503551,2334720,1083.855648,0.000000,0.000000,0.000000,events/second
1719503582,2334720,1068.956916,0.000000,0.000000,0.000000,events/second
1719503612,2334720,1054.463029,0.000000,0.000000,0.000000,events/second
1719503642,2334720,1040.359003,0.000000,0.000000,0.000000,events/second
1719503672,2334720,1026.624838,0.000000,0.000000,0.000000,events/second
1719503702,2334720,1013.247246,0.000000,0.000000,0.000000,events/second
1719503732,2334720,1000.216133,0.000000,0.000000,0.000000,events/second
1719503762,2334720,987.514418,0.000000,0.000000,0.000000,events/second
1719503792,2334720,975.130620,0.000000,0.000000,0.000000,events/second
1719503822,2334720,963.052676,0.000000,0.000000,0.000000,events/second
1719503852,2334720,951.271830,0.000000,0.000000,0.000000,events/second
1719503882,2334720,939.774180,0.000000,0.000000,0.000000,events/second
1719503912,2334720,928.549624,0.000000,0.000000,0.000000,events/second
1719503942,2334720,917.587220,0.000000,0.000000,0.000000,events/second
1719503972,2334720,906.881329,0.000000,0.000000,0.000000,events/second
1719504002,2334720,896.428244,0.000000,0.000000,0.000000,events/second
1719504032,2334720,886.211301,0.000000,0.000000,0.000000,events/second
1719504062,2334720,876.224981,0.000000,0.000000,0.000000,events/second
1719504092,2334720,866.461869,0.000000,0.000000,0.000000,events/second
1719504122,2334720,856.915270,0.000000,0.000000,0.000000,events/second
1719504152,2334720,847.574823,0.000000,0.000000,0.000000,events/second
1719504182,2334720,838.436177,0.000000,0.000000,0.000000,events/second
1719504212,2334720,829.494065,0.000000,0.000000,0.000000,events/second
1719504270,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504300,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504330,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504360,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504390,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504480,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504510,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504540,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504570,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504600,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504630,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504660,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504690,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504720,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504750,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504780,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504810,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504840,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504870,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504900,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504930,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504960,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504991,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505021,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505051,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505081,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505111,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505141,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505171,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505201,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505231,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505261,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505291,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505321,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505351,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505381,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505411,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505441,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505471,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505501,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505531,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505561,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505591,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505621,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505651,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505681,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505711,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505741,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505771,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505801,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505831,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505861,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505891,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505921,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505951,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505980,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506010,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506040,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506070,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506100,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506130,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506160,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506190,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506220,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506250,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506280,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506310,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506340,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506370,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506401,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506431,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506461,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506491,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506521,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506551,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506581,0,0.000000,0.000000,0.000000,0.000000,events/second
