t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,153,6.767828,0.000000,0.000000,0.000000,events/second
1719501450,153,2.905252,0.000000,0.000000,0.000000,events/second
1719501480,153,1.850309,0.000000,0.000000,0.000000,events/second
1719501510,153,1.357467,0.000000,0.000000,0.000000,events/second
1719501540,153,1.071968,0.000000,0.000000,0.000000,events/second
1719501570,153,0.885690,0.000000,0.000000,0.000000,events/second
1719501600,153,0.754544,0.000000,0.000000,0.000000,events/second
1719501630,153,0.657240,0.000000,0.000000,0.000000,events/second
1719501660,153,0.582156,0.000000,0.000000,0.000000,events/second
1719501690,153,0.522474,0.000000,0.000000,0.000000,events/second
1719501720,153,0.473894,0.000000,0.000000,0.000000,events/second
1719501750,153,0.433584,0.000000,0.000000,0.000000,events/second
1719501780,153,0.399597,0.000000,0.000000,0.000000,events/second
1719501810,153,0.370548,0.000000,0.000000,0.000000,events/second
1719501840,153,0.345431,0.000000,0.000000,0.000000,events/second
1719501870,153,0.323509,0.000000,0.000000,0.000000,events/second
1719501900,153,0.304204,0.000000,0.000000,0.000000,events/second
1719501930,153,0.287073,0.000000,0.000000,0.000000,events/second
1719501960,153,0.271770,0.000000,0.000000,0.000000,events/second
1719501990,153,0.258014,0.000000,0.000000,0.000000,events/second
1719502020,153,0.245584,0.000000,0.000000,0.000000,events/second
1719502050,153,0.234294,0.000000,0.000000,0.000000,events/second
1719502080,153,0.223996,0.000000,0.000000,0.000000,events/second
1719502110,153,0.214564,0.000000,0.000000,0.000000,events/second
1719502140,153,0.205893,0.000000,0.000000,0.000000,events/second
1719502170,153,0.197899,0.000000,0.000000,0.000000,events/second
1719502200,153,0.190499,0.000000,0.000000,0.000000,events/second
1719502230,153,0.183636,0.000000,0.000000,0.000000,events/second
1719502260,153,0.177250,0.000000,0.000000,0.000000,events/second
1719502290,153,0.171293,0.000000,0.000000,0.000000,events/second
1719502320,363,0.393187,0.000000,0.000000,0.000000,events/second
1719502350,363,0.380805,0.000000,0.000000,0.000000,events/second
1719502380,363,0.369178,0.000000,0.000000,0.000000,events/second
1719502410,363,0.358239,0.000000,0.000000,0.000000,events/second
1719502440,363,0.347932,0.000000,0.000000,0.000000,events/second
1719502470,363,0.338202,0.000000,0.000000,0.000000,events/second
1719502500,363,0.329001,0.000000,0.000000,0.000000,events/second
1719502530,363,0.320286,0.000000,0.000000,0.000000,events/second
1719502560,363,0.312021,0.000000,0.000000,0.000000,events/second
1719502590,363,0.304170,0.000000,0.000000,0.000000,events/second
1719502620,363,0.296706,0.000000,0.000000,0.000000,events/second
