t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501480,1,0.012093,0.000000,0.000000,0.000000,events/second
1719501510,1,0.008872,0.000000,0.000000,0.000000,events/second
1719501540,1,0.007006,0.000000,0.000000,0.000000,events/second
1719501570,1,0.005789,0.000000,0.000000,0.000000,events/second
1719501600,1,0.004932,0.000000,0.000000,0.000000,events/second
1719501630,1,0.004296,0.000000,0.000000,0.000000,events/second
1719501660,1,0.003805,0.000000,0.000000,0.000000,events/second
1719501690,1,0.003415,0.000000,0.000000,0.000000,events/second
1719501720,1,0.003097,0.000000,0.000000,0.000000,events/second
1719501750,1,0.002834,0.000000,0.000000,0.000000,events/second
1719501780,1,0.002612,0.000000,0.000000,0.000000,events/second
1719501810,1,0.002422,0.000000,0.000000,0.000000,events/second
1719501840,1,0.002258,0.000000,0.000000,0.000000,events/second
1719501870,1,0.002114,0.000000,0.000000,0.000000,events/second
1719501900,1,0.001988,0.000000,0.000000,0.000000,events/second
1719501930,1,0.001876,0.000000,0.000000,0.000000,events/second
1719501960,1,0.001776,0.000000,0.000000,0.000000,events/second
1719501990,1,0.001686,0.000000,0.000000,0.000000,events/second
1719502020,1,0.001605,0.000000,0.000000,0.000000,events/second
1719502050,1,0.001531,0.000000,0.000000,0.000000,events/second
1719502080,1,0.001464,0.000000,0.000000,0.000000,events/second
1719502110,1,0.001402,0.000000,0.000000,0.000000,events/second
1719502140,1,0.001346,0.000000,0.000000,0.000000,events/second
1719502170,1,0.001293,0.000000,0.000000,0.000000,events/second
1719502200,1,0.001245,0.000000,0.000000,0.000000,events/second
1719502230,1,0.001200,0.000000,0.000000,0.000000,events/second
1719502260,1,0.001158,0.000000,0.000000,0.000000,events/second
1719502290,1,0.001120,0.000000,0.000000,0.000000,events/second
1719502320,1,0.001083,0.000000,0.000000,0.000000,events/second
1719502350,1,0.001049,0.000000,0.000000,0.000000,events/second
1719502380,1,0.001017,0.000000,0.000000,0.000000,events/second
1719502410,1,0.000987,0.000000,0.000000,0.000000,events/second
1719502440,1,0.000958,0.000000,0.000000,0.000000,events/second
1719502470,1,0.000932,0.000000,0.000000,0.000000,events/second
1719502500,1,0.000906,0.000000,0.000000,0.000000,events/second
1719502530,1,0.000882,0.000000,0.000000,0.000000,events/second
1719502560,1,0.000860,0.000000,0.000000,0.000000,events/second
1719502590,1,0.000838,0.000000,0.000000,0.000000,events/second
1719502620,1,0.000817,0.000000,0.000000,0.000000,events/second
1719502650,1,0.000798,0.000000,0.000000,0.000000,events/second
1719502680,1,0.000779,0.000000,0.000000,0.000000,events/second
1719502710,1,0.000761,0.000000,0.000000,0.000000,events/second
1719502740,1,0.000744,0.000000,0.000000,0.000000,events/second
1719502770,1,0.000728,0.000000,0.000000,0.000000,events/second
1719502800,1,0.000712,0.000000,0.000000,0.000000,events/second
1719502830,1,0.000698,0.000000,0.000000,0.000000,events/second
1719502860,1,0.000683,0.000000,0.000000,0.000000,events/second
1719502891,1,0.000670,0.000000,0.000000,0.000000,events/second
1719502921,1,0.000656,0.000000,0.000000,0.000000,events/second
1719502951,1,0.000644,0.000000,0.000000,0.000000,events/second
1719502981,1,0.000631,0.000000,0.000000,0.000000,events/second
1719503011,1,0.000620,0.000000,0.000000,0.000000,events/second
1719503041,1,0.000608,0.000000,0.000000,0.000000,events/second
1719503071,1,0.000597,0.000000,0.000000,0.000000,events/second
1719503101,1,0.000587,0.000000,0.000000,0.000000,events/second
1719503131,1,0.000577,0.000000,0.000000,0.000000,events/second
1719503161,1,0.000567,0.000000,0.000000,0.000000,events/second
1719503191,1,0.000557,0.000000,0.000000,0.000000,events/second
1719503221,1,0.000548,0.000000,0.000000,0.000000,events/second
1719503251,1,0.000539,0.000000,0.000000,0.000000,events/second
1719503281,1,0.000531,0.000000,0.000000,0.000000,events/second
1719503311,1,0.000522,0.000000,0.000000,0.000000,events/second
1719503341,1,0.000514,0.000000,0.000000,0.000000,events/second
1719503371,1,0.000507,0.000000,0.000000,0.000000,events/second
1719503401,1,0.000499,0.000000,0.000000,0.000000,events/second
1719503431,1,0.000492,0.000000,0.000000,0.000000,events/second
1719503461,1,0.000484,0.000000,0.000000,0.000000,events/second
1719503491,1,0.000478,0.000000,0.000000,0.000000,events/second
1719503521,1,0.000471,0.000000,0.000000,0.000000,events/second
1719503551,1,0.000464,0.000000,0.000000,0.000000,events/second
1719503582,1,0.000458,0.000000,0.000000,0.000000,events/second
1719503612,1,0.000452,0.000000,0.000000,0.000000,events/second
1719503642,1,0.000446,0.000000,0.000000,0.000000,events/second
1719503672,1,0.000440,0.000000,0.000000,0.000000,events/second
1719503702,1,0.000434,0.000000,0.000000,0.000000,events/second
1719503732,1,0.000428,0.000000,0.000000,0.000000,events/second
1719503762,1,0.000423,0.000000,0.000000,0.000000,events/second
1719503792,1,0.000418,0.000000,0.000000,0.000000,events/second
1719503822,1,0.000412,0.000000,0.000000,0.000000,events/second
1719503852,1,0.000407,0.000000,0.000000,0.000000,events/second
1719503882,1,0.000403,0.000000,0.000000,0.000000,events/second
1719503912,1,0.000398,0.000000,0.000000,0.000000,events/second
1719503942,1,0.000393,0.000000,0.000000,0.000000,events/second
1719503972,1,0.000388,0.000000,0.000000,0.000000,events/second
1719504002,1,0.000384,0.000000,0.000000,0.000000,events/second
1719504032,1,0.000380,0.000000,0.000000,0.000000,events/second
1719504062,1,0.000375,0.000000,0.000000,0.000000,events/second
1719504092,1,0.000371,0.000000,0.000000,0.000000,events/second
1719504122,1,0.000367,0.000000,0.000000,0.000000,events/second
