t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501480,2,0.024160,0.031982,0.006611,0.002216,events/second
1719501510,2,0.017730,0.019398,0.005982,0.002143,events/second
1719501540,2,0.014003,0.011766,0.005413,0.002073,events/second
1719501570,2,0.011571,0.007136,0.004898,0.002005,events/second
1719501600,2,0.009859,0.004328,0.004432,0.001939,events/second
1719501630,2,0.008588,0.002625,0.004010,0.001876,events/second
1719501660,2,0.007607,0.001592,0.003628,0.001814,events/second
1719501690,2,0.006828,0.000966,0.003283,0.001755,events/second
1719501720,2,0.006193,0.000586,0.002971,0.001697,events/second
1719501750,2,0.005666,0.000355,0.002688,0.001642,events/second
1719501780,2,0.005222,0.000215,0.002432,0.001588,events/second
1719501810,2,0.004843,0.000131,0.002201,0.001536,events/second
1719501840,2,0.004514,0.000079,0.001991,0.001485,events/second
1719501870,2,0.004228,0.000048,0.001802,0.001437,events/second
1719501900,2,0.003976,0.000029,0.001630,0.001390,events/second
1719501930,2,0.003752,0.000018,0.001475,0.001344,events/second
1719501960,2,0.003552,0.000011,0.001335,0.001300,events/second
1719501990,2,0.003372,0.000007,0.001208,0.001257,events/second
1719502020,2,0.003210,0.000004,0.001093,0.001216,events/second
1719502050,2,0.003062,0.000002,0.000989,0.001176,events/second
1719502080,2,0.002928,0.000001,0.000895,0.001138,events/second
1719502110,2,0.002804,0.000001,0.000810,0.001100,events/second
1719502140,2,0.002691,0.000001,0.000733,0.001064,events/second
1719502170,2,0.002587,0.000000,0.000663,0.001029,events/second
1719502200,2,0.002490,0.000000,0.000600,0.000996,events/second
1719502230,2,0.002400,0.000000,0.000543,0.000963,events/second
1719502260,2,0.002317,0.000000,0.000491,0.000932,events/second
1719502290,2,0.002239,0.000000,0.000444,0.000901,events/second
1719502320,2,0.002166,0.000000,0.000402,0.000871,events/second
1719502350,2,0.002098,0.000000,0.000364,0.000843,events/second
1719502380,2,0.002034,0.000000,0.000329,0.000815,events/second
1719502410,2,0.001974,0.000000,0.000298,0.000789,events/second
1719502440,2,0.001917,0.000000,0.000269,0.000763,events/second
1719502470,2,0.001863,0.000000,0.000244,0.000738,events/second
1719502500,2,0.001813,0.000000,0.000221,0.000713,events/second
1719502530,2,0.001765,0.000000,0.000200,0.000690,events/second
1719502560,2,0.001719,0.000000,0.000181,0.000667,events/second
1719502590,2,0.001676,0.000000,0.000163,0.000646,events/second
1719502620,2,0.001635,0.000000,0.000148,0.000624,events/second
1719502650,2,0.001595,0.000000,0.000134,0.000604,events/second
1719502680,2,0.001558,0.000000,0.000121,0.000584,events/second
1719502710,2,0.001523,0.000000,0.000110,0.000565,events/second
1719502740,2,0.001489,0.000000,0.000099,0.000546,events/second
1719502770,2,0.001456,0.000000,0.000090,0.000529,events/second
1719502800,2,0.001425,0.000000,0.000081,0.000511,events/second
1719502830,2,0.001395,0.000000,0.000073,0.000494,events/second
1719502860,2,0.001366,0.000000,0.000066,0.000478,events/second
1719502891,2,0.001339,0.000000,0.000060,0.000463,events/second
1719502921,2,0.001313,0.000000,0.000054,0.000447,events/second
1719502951,2,0.001287,0.000000,0.000049,0.000433,events/second
1719502981,2,0.001263,0.000000,0.000045,0.000419,events/second
1719503011,2,0.001239,0.000000,0.000040,0.000405,events/second
1719503041,2,0.001217,0.000000,0.000036,0.000392,events/second
1719503071,2,0.001195,0.000000,0.000033,0.000379,events/second
1719503101,2,0.001174,0.000000,0.000030,0.000366,events/second
1719503131,2,0.001153,0.000000,0.000027,0.000354,events/second
1719503161,2,0.001134,0.000000,0.000024,0.000343,events/second
1719503191,2,0.001115,0.000000,0.000022,0.000331,events/second
1719503221,2,0.001097,0.000000,0.000020,0.000321,events/second
1719503251,2,0.001079,0.000000,0.000018,0.000310,events/second
1719503281,2,0.001062,0.000000,0.000016,0.000300,events/second
1719503311,2,0.001045,0.000000,0.000015,0.000290,events/second
1719503341,2,0.001029,0.000000,0.000013,0.000281,events/second
1719503371,2,0.001013,0.000000,0.000012,0.000271,events/second
1719503401,2,0.000998,0.000000,0.000011,0.000262,events/second
1719503431,2,0.000983,0.000000,0.000010,0.000254,events/second
1719503461,2,0.000969,0.000000,0.000009,0.000246,events/second
1719503491,2,0.000955,0.000000,0.000008,0.000237,events/second
1719503521,2,0.000942,0.000000,0.000007,0.000230,events/second
1719503551,2,0.000928,0.000000,0.000007,0.000222,events/second
1719503582,2,0.000916,0.000000,0.000006,0.000215,events/second
1719503612,2,0.000903,0.000000,0.000005,0.000208,events/second
1719503642,2,0.000891,0.000000,0.000005,0.000201,events/second
1719503672,2,0.000879,0.000000,0.000004,0.000194,events/second
1719503702,2,0.000868,0.000000,0.000004,0.000188,events/second
1719503732,2,0.000857,0.000000,0.000004,0.000182,events/second
1719503762,2,0.000846,0.000000,0.000003,0.000176,events/second
1719503792,2,0.000835,0.000000,0.000003,0.000170,events/second
1719503822,2,0.000825,0.000000,0.000003,0.000165,events/second
1719503852,2,0.000815,0.000000,0.000002,0.000159,events/second
1719503882,2,0.000805,0.000000,0.000002,0.000154,events/second
1719503912,2,0.000795,0.000000,0.000002,0.000149,events/second
1719503942,2,0.000786,0.000000,0.000002,0.000144,events/second
1719503972,2,0.000777,0.000000,0.000002,0.000139,events/second
1719504002,2,0.000768,0.000000,0.000001,0.000135,events/second
1719504032,2,0.000759,0.000000,0.000001,0.000130,events/second
1719504062,4,0.001501,0.024908,0.006290,0.002306,events/second
1719504092,4,0.001484,0.015107,0.005692,0.002230,events/second
1719504122,6,0.002202,0.032079,0.011335,0.004324,events/second
