t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1719501420,8,197,74.125000,19,58.939285,65.000000,104.750000,197.000000,197.000000,197.000000,197.000000
1719501450,11,296,82.727273,2,89.984544,61.000000,114.000000,296.000000,296.000000,296.000000,296.000000
1719501480,20,296,56.850000,1,77.636993,19.500000,75.000000,291.050000,296.000000,296.000000,296.000000
1719501510,22,296,53.181818,1,74.929577,19.500000,71.000000,281.150000,296.000000,296.000000,296.000000
1719501540,26,296,45.884615,1,70.878108,18.000000,63.000000,261.350000,296.000000,296.000000,296.000000
1719501570,28,296,43.250000,1,68.911443,16.500000,55.000000,251.450000,296.000000,296.000000,296.000000
1719501600,32,296,40.437500,1,65.477865,14.000000,55.000000,231.650000,296.000000,296.000000,296.000000
1719501630,34,296,38.735294,1,63.857943,14.000000,43.000000,221.750000,296.000000,296.000000,296.000000
1719501660,38,296,34.921053,1,61.353817,11.500000,36.250000,201.950000,296.000000,296.000000,296.000000
1719501690,40,296,33.675000,1,60.047156,11.500000,34.750000,194.400000,296.000000,296.000000,296.000000
1719501720,44,296,31.181818,1,57.757018,10.000000,28.250000,184.000000,296.000000,296.000000,296.000000
1719501750,46,296,30.000000,1,56.736428,8.500000,22.750000,178.800000,296.000000,296.000000,296.000000
1719501780,48,296,28.854167,1,55.794070,7.500000,19.750000,173.600000,296.000000,296.000000,296.000000
1719501810,52,296,26.750000,1,54.064912,5.000000,19.000000,163.200000,290.060000,296.000000,296.000000
1719501840,54,296,26.037037,1,53.176801,5.000000,19.000000,158.000000,286.100000,296.000000,296.000000
1719501870,58,296,24.517241,1,51.596696,5.000000,19.000000,147.600000,278.180000,296.000000,296.000000
1719501900,60,296,23.883333,1,50.838092,5.000000,18.750000,143.450000,274.220000,296.000000,296.000000
1719501930,62,296,23.161290,1,50.156540,4.500000,18.250000,140.350000,270.260000,296.000000,296.000000
1719501960,66,296,21.848485,1,48.867243,4.000000,17.250000,134.150000,262.340000,296.000000,296.000000
1719501990,68,296,21.397059,1,48.212570,4.000000,16.750000,131.050000,258.380000,296.000000,296.000000
1719502020,72,296,20.361111,0,47.037685,3.500000,15.500000,124.850000,250.460000,296.000000,296.000000
1719502050,74,296,19.891892,0,46.475673,3.500000,14.500000,121.750000,246.500000,296.000000,296.000000
