t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,8,0.352230,0.081217,0.019184,0.006575,events/second
1719501450,11,0.208499,0.099770,0.029943,0.010718,events/second
1719501480,20,0.241594,0.159571,0.052160,0.019073,events/second
1719501510,22,0.195027,0.147294,0.059781,0.022807,events/second
1719501540,26,0.182045,0.114246,0.060381,0.024239,events/second
1719501570,28,0.161999,0.119803,0.067220,0.027803,events/second
1719501600,32,0.157740,0.097572,0.067112,0.029071,events/second
1719501630,34,0.145994,0.109689,0.073311,0.032477,events/second
1719501660,38,0.144536,0.091438,0.072623,0.033592,events/second
1719501690,40,0.136550,0.105969,0.078297,0.036850,events/second
1719501720,44,0.136244,0.089181,0.077135,0.037821,events/second
1719501750,46,0.130324,0.104600,0.082380,0.040940,events/second
1719501780,48,0.125333,0.088351,0.080829,0.041778,events/second
1719501810,52,0.125909,0.106654,0.085831,0.044779,events/second
1719501840,54,0.121891,0.091761,0.084058,0.045503,events/second
1719501870,58,0.122613,0.110554,0.088855,0.048395,events/second
1719501900,60,0.119273,0.096480,0.086902,0.049012,events/second
1719501930,62,0.116310,0.085590,0.085027,0.049597,events/second
1719501960,66,0.117214,0.106812,0.089732,0.052354,events/second
1719501990,68,0.114655,0.094210,0.087695,0.052841,events/second
1719502020,72,0.115552,0.082049,0.085639,0.053288,events/second
1719502050,74,0.113302,0.100274,0.090074,0.055901,events/second
1719502080,76,0.111250,0.085727,0.087791,0.056247,events/second
1719502110,80,0.112176,0.105062,0.092131,0.058775,events/second
1719502140,82,0.110334,0.093149,0.089866,0.059052,events/second
1719502170,86,0.111224,0.081405,0.087603,0.059295,events/second
1719502200,88,0.109555,0.099884,0.091851,0.061710,events/second
1719502230,90,0.108009,0.087655,0.089505,0.061879,events/second
1719502260,94,0.108887,0.076082,0.087173,0.062018,events/second
1719502290,96,0.107466,0.096655,0.091462,0.064344,events/second
1719502320,98,0.106139,0.083532,0.089047,0.064414,events/second
1719502350,102,0.106992,0.101174,0.093158,0.066661,events/second
1719502380,104,0.105760,0.088437,0.090688,0.066667,events/second
1719502410,108,0.106574,0.076556,0.088243,0.066649,events/second
