t,value
1719501420,0
1719501450,0
1719501480,20
1719501510,20
1719501540,20
1719501570,20
1719501600,20
1719501630,20
1719501660,20
1719501690,20
1719501720,20
1719501750,20
1719501780,20
1719501810,20
1719501840,20
1719501870,20
1719501900,20
1719501930,20
1719501960,20
1719501990,20
1719502020,20
1719502050,20
1719502080,20
1719502110,20
1719502140,20
1719502170,20
1719502200,20
1719502230,20
1719502260,20
1719502290,20
1719502320,20
1719502350,20
1719502380,20
1719502410,20
1719502440,20
1719502470,20
1719502500,20
1719502530,20
1719502560,20
1719502590,20
1719502620,20
1719502650,20
1719502680,20
1719502710,20
1719502740,20
1719502770,20
1719502800,20
1719502830,20
1719502860,20
1719502891,20
1719502921,20
1719502951,20
1719502981,20
1719503011,20
1719503041,20
1719503071,20
1719503101,20
1719503131,20
1719503161,20
1719503191,20
1719503221,20
1719503251,20
1719503281,20
1719503311,20
1719503341,20
1719503371,20
1719503401,20
1719503431,20
1719503461,20
1719503491,20
1719503521,20
1719503551,20
1719503582,20
1719503612,20
1719503642,20
1719503672,20
1719503702,20
1719503732,20
1719503762,20
1719503792,20
1719503822,20
1719503852,20
1719503882,20
1719503912,20
1719503942,20
1719503972,20
1719504002,20
1719504032,20
1719504062,20
1719504092,20
1719504122,20
1719504152,20
1719504182,20
1719504212,20
1719504270,20
1719504300,20
1719504330,20
1719504360,20
1719504390,20
1719504420,20
1719504450,20
1719504480,20
1719504510,20
1719504540,20
1719504570,20
1719504600,20
1719504630,20
1719504660,20
1719504690,20
1719504720,20
1719504750,20
1719504780,20
1719504810,20
1719504840,20
1719504870,20
1719504900,20
1719504930,20
1719504960,20
1719504991,20
1719505021,20
1719505051,20
1719505081,20
1719505111,20
1719505141,20
1719505171,20
1719505201,20
1719505231,20
1719505261,20
1719505291,20
1719505321,20
1719505351,20
1719505381,20
1719505411,20
1719505441,20
1719505471,20
1719505501,20
1719505531,20
1719505561,20
1719505591,20
1719505621,20
1719505651,20
1719505681,20
1719505711,20
1719505741,20
1719505771,20
1719505801,20
1719505831,20
1719505861,20
1719505891,20
1719505921,20
1719505951,20
1719505980,20
1719506010,20
1719506040,20
1719506070,20
1719506100,20
1719506130,20
1719506160,20
1719506190,20
1719506220,20
1719506250,20
1719506280,20
1719506310,20
1719506340,20
1719506370,20
1719506401,20
1719506431,20
1719506461,20
1719506491,20
1719506521,20
1719506551,20
1719506581,20
