t,value
1719501420,8
1719501450,8
1719501480,110
1719501510,110
1719501540,110
1719501570,110
1719501600,110
1719501630,110
1719501660,110
1719501690,110
1719501720,110
1719501750,110
1719501780,110
1719501810,110
1719501840,110
1719501870,110
1719501900,110
1719501930,110
1719501960,110
1719501990,110
1719502020,110
1719502050,110
1719502080,110
1719502110,110
1719502140,110
1719502170,110
1719502200,110
1719502230,110
1719502260,110
1719502290,110
1719502320,110
1719502350,110
1719502380,110
1719502410,110
1719502440,110
1719502470,110
1719502500,110
1719502530,110
1719502560,110
1719502590,110
1719502620,110
1719502650,110
1719502680,110
1719502710,110
1719502740,110
1719502770,110
1719502800,110
1719502830,110
1719502860,110
1719502891,110
1719502921,110
1719502951,110
1719502981,110
1719503011,110
1719503041,110
1719503071,110
1719503101,110
1719503131,110
1719503161,110
1719503191,110
1719503221,110
1719503251,110
1719503281,110
1719503311,110
1719503341,110
1719503371,110
1719503401,110
1719503431,110
1719503461,110
1719503491,110
1719503521,110
1719503551,110
1719503582,110
1719503612,110
1719503642,110
1719503672,110
1719503702,110
1719503732,110
1719503762,110
1719503792,110
1719503822,110
1719503852,110
1719503882,110
1719503912,110
1719503942,110
1719503972,110
1719504002,110
1719504032,110
1719504062,110
1719504092,110
1719504122,110
1719504152,110
1719504182,110
1719504212,110
1719504270,110
1719504300,110
1719504330,110
1719504360,110
1719504390,110
1719504420,110
1719504450,110
1719504480,110
1719504510,110
1719504540,110
1719504570,110
1719504600,110
1719504630,110
1719504660,110
1719504690,110
1719504720,110
1719504750,110
1719504780,110
1719504810,110
1719504840,110
1719504870,110
1719504900,110
1719504930,110
1719504960,110
1719504991,110
1719505021,110
1719505051,110
1719505081,110
1719505111,110
1719505141,110
1719505171,110
1719505201,110
1719505231,110
1719505261,110
1719505291,110
1719505321,110
1719505351,110
1719505381,110
1719505411,110
1719505441,110
1719505471,110
1719505501,110
1719505531,110
1719505561,110
1719505591,110
1719505621,110
1719505651,110
1719505681,110
1719505711,110
1719505741,110
1719505771,110
1719505801,110
1719505831,110
1719505861,110
1719505891,110
1719505921,110
1719505951,110
1719505980,110
1719506010,110
1719506040,110
1719506070,110
1719506100,110
1719506130,110
1719506160,110
1719506190,110
1719506220,111
1719506250,111
1719506280,111
1719506310,111
1719506340,111
1719506370,111
1719506401,111
1719506431,111
1719506461,111
1719506491,111
1719506521,111
1719506551,111
1719506581,111
