t,value
1719501420,0
1719501450,0
1719501480,82
1719501510,82
1719501540,82
1719501570,82
1719501600,82
1719501630,82
1719501660,82
1719501690,82
1719501720,82
1719501750,82
1719501780,82
1719501810,82
1719501840,82
1719501870,82
1719501900,82
1719501930,82
1719501960,82
1719501990,82
1719502020,82
1719502050,82
1719502080,82
1719502110,82
1719502140,82
1719502170,82
1719502200,82
1719502230,82
1719502260,82
1719502290,82
1719502320,82
1719502350,82
1719502380,82
1719502410,82
1719502440,82
1719502470,82
1719502500,82
1719502530,82
1719502560,82
1719502590,82
1719502620,82
1719502650,82
1719502680,82
1719502710,82
1719502740,82
1719502770,82
1719502800,82
1719502830,82
1719502860,82
1719502891,82
1719502921,82
1719502951,82
1719502981,82
1719503011,82
1719503041,82
1719503071,82
1719503101,82
1719503131,82
1719503161,82
1719503191,82
1719503221,82
1719503251,82
1719503281,82
1719503311,82
1719503341,82
1719503371,82
1719503401,82
1719503431,82
1719503461,82
1719503491,82
1719503521,82
1719503551,82
1719503582,82
1719503612,82
1719503642,82
1719503672,82
1719503702,82
1719503732,82
1719503762,82
1719503792,82
1719503822,82
1719503852,82
1719503882,82
1719503912,82
1719503942,82
1719503972,82
1719504002,82
1719504032,82
1719504062,82
1719504092,82
1719504122,82
1719504152,82
1719504182,82
1719504212,82
1719504270,82
1719504300,82
1719504330,82
1719504360,82
1719504390,82
1719504420,82
1719504450,82
1719504480,82
1719504510,82
1719504540,82
1719504570,82
1719504600,82
1719504630,82
1719504660,82
1719504690,82
1719504720,82
1719504750,82
1719504780,82
1719504810,82
1719504840,82
1719504870,82
1719504900,82
1719504930,82
1719504960,82
1719504991,82
1719505021,82
1719505051,82
1719505081,82
1719505111,82
1719505141,82
1719505171,82
1719505201,82
1719505231,82
1719505261,82
1719505291,82
1719505321,82
1719505351,82
1719505381,82
1719505411,82
1719505441,82
1719505471,82
1719505501,82
1719505531,82
1719505561,82
1719505591,82
1719505621,82
1719505651,82
1719505681,82
1719505711,82
1719505741,82
1719505771,82
1719505801,82
1719505831,82
1719505861,82
1719505891,82
1719505921,82
1719505951,82
1719505980,82
1719506010,82
1719506040,82
1719506070,82
1719506100,82
1719506130,82
1719506160,82
1719506190,82
1719506220,82
1719506250,82
1719506280,82
1719506310,82
1719506340,82
1719506370,82
1719506401,82
1719506431,82
1719506461,82
1719506491,82
1719506521,82
1719506551,82
1719506581,82
