t,value
1719501420,74728
1719501450,74728
1719501480,74728
1719501510,74728
1719501540,74728
1719501570,74728
1719501600,74728
1719501630,74728
1719501660,74728
1719501690,74728
1719501720,74728
1719501750,74728
1719501780,74728
1719501810,74728
1719501840,74728
1719501870,74728
1719501900,74728
1719501930,74728
1719501960,74728
1719501990,74728
1719502020,870066
1719502050,870066
1719502080,870066
1719502110,870066
1719502140,870066
1719502170,870066
1719502200,870066
1719502230,870066
1719502260,870066
1719502290,870066
1719502320,870066
1719502350,870066
1719502380,870066
1719502410,870066
1719502440,870066
1719502470,870066
1719502500,870066
1719502530,870066
1719502560,870066
1719502590,870066
1719502620,935602
1719502650,935602
1719502680,935602
1719502710,935602
1719502740,935602
1719502770,935602
1719502800,935602
1719502830,935602
1719502860,935602
1719502891,935602
1719502921,935602
1719502951,935602
1719502981,935602
1719503011,935602
1719503041,935602
1719503071,935602
1719503101,935602
1719503131,935602
1719503161,935602
1719503191,935602
1719503221,935602
1719503251,935602
1719503281,935602
1719503311,935602
1719503341,935602
1719503371,935602
1719503401,935602
1719503431,935602
1719503461,935602
1719503491,935602
1719503521,935602
1719503551,935602
1719503582,935602
1719503612,935602
1719503642,935602
1719503672,935602
1719503702,935602
1719503732,935602
1719503762,935602
1719503792,935602
1719503822,935602
1719503852,935602
1719503882,935602
1719503912,935602
1719503942,935602
1719503972,935602
1719504002,935602
1719504032,935602
1719504062,935602
1719504092,935602
1719504122,935602
1719504152,935602
1719504182,935602
1719504212,935602
1719504270,935602
1719504300,935602
1719504330,935602
1719504360,935602
1719504390,935602
1719504420,935602
1719504450,935602
1719504480,935602
1719504510,935602
1719504540,935602
1719504570,935602
1719504600,935602
1719504630,935602
1719504660,935602
1719504690,935602
1719504720,935602
1719504750,935602
1719504780,935602
1719504810,935602
1719504840,935602
1719504870,935602
1719504900,935602
1719504930,935602
1719504960,935602
1719504991,935602
1719505021,935602
1719505051,935602
1719505081,935602
1719505111,935602
1719505141,935602
1719505171,935602
1719505201,935602
1719505231,935602
1719505261,935602
1719505291,935602
1719505321,935602
1719505351,935602
1719505381,935602
1719505411,935602
1719505441,935602
1719505471,935602
1719505501,935602
1719505531,935602
1719505561,935602
1719505591,935602
1719505621,935602
1719505651,935602
1719505681,935602
1719505711,935602
1719505741,935602
1719505771,935602
1719505801,935602
1719505831,935602
1719505861,935602
1719505891,935602
1719505921,935602
1719505951,935602
1719505980,935602
1719506010,935602
1719506040,935602
1719506070,935602
1719506100,935602
1719506130,935602
1719506160,935602
1719506190,935602
1719506220,935602
1719506250,935602
1719506280,935602
1719506310,935602
1719506340,935602
1719506370,935602
1719506401,935602
1719506431,935602
1719506461,935602
1719506491,935602
1719506521,935602
1719506551,935602
1719506581,935602
