t,value
1719501420,74728
1719501450,74728
1719501480,74728
1719501510,74728
1719501540,74728
1719501570,74728
1719501600,74728
1719501630,74728
1719501660,74728
1719501690,74728
1719501720,74728
1719501750,74728
1719501780,74728
1719501810,74728
1719501840,74728
1719501870,74728
1719501900,74728
1719501930,74728
1719501960,74728
1719501990,74728
1719502020,886806
1719502050,886806
1719502080,886806
1719502110,886806
1719502140,886806
1719502170,886806
1719502200,886806
1719502230,886806
1719502260,886806
1719502290,886806
1719502320,886806
1719502350,886806
1719502380,886806
1719502410,886806
1719502440,886806
1719502470,886806
1719502500,886806
1719502530,886806
1719502560,886806
1719502590,886806
1719502620,952574
1719502650,952574
1719502680,952574
1719502710,952574
1719502740,952574
1719502770,952574
1719502800,952574
1719502830,952574
1719502860,952574
1719502891,952574
1719502921,952574
1719502951,952574
1719502981,952574
1719503011,952574
1719503041,952574
1719503071,952574
1719503101,952574
1719503131,952574
1719503161,952574
1719503191,952574
1719503221,952574
1719503251,952574
1719503281,952574
1719503311,952574
1719503341,952574
1719503371,952574
1719503401,952574
1719503431,952574
1719503461,952574
1719503491,952574
1719503521,952574
1719503551,952574
1719503582,952574
1719503612,952574
1719503642,952574
1719503672,952574
1719503702,952574
1719503732,952574
1719503762,952574
1719503792,952574
1719503822,952574
1719503852,952574
1719503882,952574
1719503912,952574
1719503942,952574
1719503972,952574
1719504002,952574
1719504032,952574
1719504062,952574
1719504092,952574
1719504122,952574
1719504152,952574
1719504182,952574
1719504212,952574
1719504270,952806
1719504300,952806
1719504330,952806
1719504360,952806
1719504390,952806
1719504420,952806
1719504450,952806
1719504480,952806
1719504510,952806
1719504540,952806
1719504570,952806
1719504600,952806
1719504630,952806
1719504660,952806
1719504690,952806
1719504720,952806
1719504750,952806
1719504780,952806
1719504810,952806
1719504840,952806
1719504870,952806
1719504900,952806
1719504930,952806
1719504960,952806
1719504991,952806
1719505021,952806
1719505051,952806
1719505081,952806
1719505111,952806
1719505141,952806
1719505171,952806
1719505201,952806
1719505231,952806
1719505261,952806
1719505291,952806
1719505321,952806
1719505351,952806
1719505381,952806
1719505411,952806
1719505441,952806
1719505471,952806
1719505501,952806
1719505531,952806
1719505561,952806
1719505591,952806
1719505621,952806
1719505651,952806
1719505681,952806
1719505711,952806
1719505741,952806
1719505771,952806
1719505801,952806
1719505831,952806
1719505861,952806
1719505891,952806
1719505921,952806
1719505951,952806
1719505980,953038
1719506010,953038
1719506040,953038
1719506070,953038
1719506100,953038
1719506130,953038
1719506160,953038
1719506190,953038
1719506220,953038
1719506250,953038
1719506280,953038
1719506310,953038
1719506340,953038
1719506370,953038
1719506401,953038
1719506431,953038
1719506461,953038
1719506491,953038
1719506521,953038
1719506551,953038
1719506581,237231135
