t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,4,0.176857,0.000000,0.000000,0.000000,events/second
1719501450,7,0.132923,0.000000,0.000000,0.000000,events/second
1719501480,20,0.241876,0.000000,0.000000,0.000000,events/second
1719501510,22,0.195193,0.000000,0.000000,0.000000,events/second
1719501540,26,0.182167,0.000000,0.000000,0.000000,events/second
1719501570,28,0.162089,0.000000,0.000000,0.000000,events/second
1719501600,32,0.157814,0.000000,0.000000,0.000000,events/second
1719501630,34,0.146054,0.000000,0.000000,0.000000,events/second
1719501660,38,0.144589,0.000000,0.000000,0.000000,events/second
1719501690,40,0.136595,0.000000,0.000000,0.000000,events/second
1719501720,44,0.136284,0.000000,0.000000,0.000000,events/second
1719501750,46,0.130359,0.000000,0.000000,0.000000,events/second
1719501780,48,0.125365,0.000000,0.000000,0.000000,events/second
1719501810,52,0.125939,0.000000,0.000000,0.000000,events/second
1719501840,54,0.121917,0.000000,0.000000,0.000000,events/second
1719501870,58,0.122638,0.000000,0.000000,0.000000,events/second
1719501900,60,0.119296,0.000000,0.000000,0.000000,events/second
1719501930,62,0.116331,0.000000,0.000000,0.000000,events/second
1719501960,66,0.117234,0.000000,0.000000,0.000000,events/second
1719501990,68,0.114674,0.000000,0.000000,0.000000,events/second
1719502020,72,0.115570,0.000000,0.000000,0.000000,events/second
1719502050,74,0.113319,0.000000,0.000000,0.000000,events/second
1719502080,76,0.111266,0.000000,0.000000,0.000000,events/second
1719502110,80,0.112191,0.000000,0.000000,0.000000,events/second
1719502140,82,0.110348,0.000000,0.000000,0.000000,events/second
1719502170,86,0.111237,0.000000,0.000000,0.000000,events/second
1719502200,88,0.109568,0.000000,0.000000,0.000000,events/second
1719502230,90,0.108021,0.000000,0.000000,0.000000,events/second
1719502260,94,0.108899,0.000000,0.000000,0.000000,events/second
1719502290,96,0.107478,0.000000,0.000000,0.000000,events/second
1719502320,98,0.106150,0.000000,0.000000,0.000000,events/second
1719502350,102,0.107003,0.000000,0.000000,0.000000,events/second
1719502380,104,0.105770,0.000000,0.000000,0.000000,events/second
1719502410,108,0.106584,0.000000,0.000000,0.000000,events/second
1719502440,110,0.105434,0.000000,0.000000,0.000000,events/second
1719502470,112,0.104349,0.000000,0.000000,0.000000,events/second
1719502500,116,0.105135,0.000000,0.000000,0.000000,events/second
1719502530,118,0.104115,0.000000,0.000000,0.000000,events/second
1719502560,120,0.103147,0.000000,0.000000,0.000000,events/second
1719502590,124,0.103904,0.000000,0.000000,0.000000,events/second
1719502620,126,0.102989,0.000000,0.000000,0.000000,events/second
