t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,2,0.088423,0.000000,0.000000,0.000000,events/second
1719501450,5,0.094945,0.000000,0.000000,0.000000,events/second
1719501480,13,0.157219,0.000000,0.000000,0.000000,events/second
1719501510,15,0.133086,0.000000,0.000000,0.000000,events/second
1719501540,19,0.133122,0.000000,0.000000,0.000000,events/second
1719501570,21,0.121567,0.000000,0.000000,0.000000,events/second
1719501600,25,0.123293,0.000000,0.000000,0.000000,events/second
1719501630,27,0.115984,0.000000,0.000000,0.000000,events/second
1719501660,31,0.117954,0.000000,0.000000,0.000000,events/second
1719501690,33,0.112691,0.000000,0.000000,0.000000,events/second
1719501720,37,0.114603,0.000000,0.000000,0.000000,events/second
1719501750,39,0.110522,0.000000,0.000000,0.000000,events/second
1719501780,41,0.107082,0.000000,0.000000,0.000000,events/second
1719501810,45,0.108985,0.000000,0.000000,0.000000,events/second
1719501840,47,0.106113,0.000000,0.000000,0.000000,events/second
1719501870,51,0.107837,0.000000,0.000000,0.000000,events/second
1719501900,53,0.105378,0.000000,0.000000,0.000000,events/second
1719501930,55,0.103197,0.000000,0.000000,0.000000,events/second
1719501960,59,0.104800,0.000000,0.000000,0.000000,events/second
1719501990,61,0.102869,0.000000,0.000000,0.000000,events/second
1719502020,65,0.104334,0.000000,0.000000,0.000000,events/second
1719502050,67,0.102599,0.000000,0.000000,0.000000,events/second
1719502080,69,0.101018,0.000000,0.000000,0.000000,events/second
1719502110,73,0.102374,0.000000,0.000000,0.000000,events/second
1719502140,75,0.100928,0.000000,0.000000,0.000000,events/second
1719502170,79,0.102183,0.000000,0.000000,0.000000,events/second
1719502200,81,0.100853,0.000000,0.000000,0.000000,events/second
1719502230,83,0.099620,0.000000,0.000000,0.000000,events/second
1719502260,87,0.100789,0.000000,0.000000,0.000000,events/second
1719502290,89,0.099641,0.000000,0.000000,0.000000,events/second
1719502320,91,0.098568,0.000000,0.000000,0.000000,events/second
1719502350,95,0.099660,0.000000,0.000000,0.000000,events/second
1719502380,97,0.098651,0.000000,0.000000,0.000000,events/second
1719502410,101,0.099676,0.000000,0.000000,0.000000,events/second
1719502440,103,0.098725,0.000000,0.000000,0.000000,events/second
1719502470,105,0.097827,0.000000,0.000000,0.000000,events/second
1719502500,109,0.098791,0.000000,0.000000,0.000000,events/second
1719502530,111,0.097939,0.000000,0.000000,0.000000,events/second
1719502560,113,0.097131,0.000000,0.000000,0.000000,events/second
1719502590,117,0.098039,0.000000,0.000000,0.000000,events/second
