t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,3,0.132617,0.000000,0.000000,0.000000,events/second
1719501450,3,0.056967,0.000000,0.000000,0.000000,events/second
1719501480,8,0.096750,0.000000,0.000000,0.000000,events/second
1719501510,8,0.070979,0.000000,0.000000,0.000000,events/second
1719501540,8,0.056051,0.000000,0.000000,0.000000,events/second
1719501570,8,0.046311,0.000000,0.000000,0.000000,events/second
1719501600,8,0.039454,0.000000,0.000000,0.000000,events/second
1719501630,8,0.034366,0.000000,0.000000,0.000000,events/second
1719501660,8,0.030440,0.000000,0.000000,0.000000,events/second
1719501690,8,0.027319,0.000000,0.000000,0.000000,events/second
1719501720,8,0.024779,0.000000,0.000000,0.000000,events/second
1719501750,8,0.022671,0.000000,0.000000,0.000000,events/second
1719501780,8,0.020894,0.000000,0.000000,0.000000,events/second
1719501810,8,0.019375,0.000000,0.000000,0.000000,events/second
1719501840,8,0.018062,0.000000,0.000000,0.000000,events/second
1719501870,8,0.016916,0.000000,0.000000,0.000000,events/second
1719501900,8,0.015906,0.000000,0.000000,0.000000,events/second
1719501930,8,0.015010,0.000000,0.000000,0.000000,events/second
1719501960,8,0.014210,0.000000,0.000000,0.000000,events/second
1719501990,8,0.013491,0.000000,0.000000,0.000000,events/second
1719502020,8,0.012841,0.000000,0.000000,0.000000,events/second
1719502050,8,0.012251,0.000000,0.000000,0.000000,events/second
1719502080,8,0.011712,0.000000,0.000000,0.000000,events/second
1719502110,8,0.011219,0.000000,0.000000,0.000000,events/second
1719502140,8,0.010766,0.000000,0.000000,0.000000,events/second
1719502170,8,0.010348,0.000000,0.000000,0.000000,events/second
1719502200,8,0.009961,0.000000,0.000000,0.000000,events/second
1719502230,8,0.009602,0.000000,0.000000,0.000000,events/second
1719502260,8,0.009268,0.000000,0.000000,0.000000,events/second
1719502290,8,0.008957,0.000000,0.000000,0.000000,events/second
1719502320,8,0.008665,0.000000,0.000000,0.000000,events/second
1719502350,8,0.008392,0.000000,0.000000,0.000000,events/second
1719502380,8,0.008136,0.000000,0.000000,0.000000,events/second
1719502410,8,0.007895,0.000000,0.000000,0.000000,events/second
1719502440,8,0.007668,0.000000,0.000000,0.000000,events/second
1719502470,8,0.007453,0.000000,0.000000,0.000000,events/second
1719502500,8,0.007251,0.000000,0.000000,0.000000,events/second
1719502530,8,0.007059,0.000000,0.000000,0.000000,events/second
1719502560,8,0.006876,0.000000,0.000000,0.000000,events/second
1719502590,8,0.006703,0.000000,0.000000,0.000000,events/second
1719502620,8,0.006539,0.000000,0.000000,0.000000,events/second
1719502650,8,0.006382,0.000000,0.000000,0.000000,events/second
1719502680,8,0.006233,0.000000,0.000000,0.000000,events/second
1719502710,8,0.006091,0.000000,0.000000,0.000000,events/second
1719502740,8,0.005954,0.000000,0.000000,0.000000,events/second
1719502770,8,0.005824,0.000000,0.000000,0.000000,events/second
1719502800,8,0.005700,0.000000,0.000000,0.000000,events/second
1719502830,8,0.005580,0.000000,0.000000,0.000000,events/second
1719502860,8,0.005466,0.000000,0.000000,0.000000,events/second
1719502891,8,0.005356,0.000000,0.000000,0.000000,events/second
1719502921,8,0.005251,0.000000,0.000000,0.000000,events/second
1719502951,8,0.005149,0.000000,0.000000,0.000000,events/second
1719502981,8,0.005052,0.000000,0.000000,0.000000,events/second
1719503011,8,0.004958,0.000000,0.000000,0.000000,events/second
1719503041,8,0.004867,0.000000,0.000000,0.000000,events/second
1719503071,8,0.004780,0.000000,0.000000,0.000000,events/second
1719503101,8,0.004696,0.000000,0.000000,0.000000,events/second
1719503131,8,0.004614,0.000000,0.000000,0.000000,events/second
1719503161,8,0.004536,0.000000,0.000000,0.000000,events/second
1719503191,8,0.004460,0.000000,0.000000,0.000000,events/second
1719503221,8,0.004386,0.000000,0.000000,0.000000,events/second
1719503251,8,0.004315,0.000000,0.000000,0.000000,events/second
1719503281,8,0.004247,0.000000,0.000000,0.000000,events/second
1719503311,8,0.004180,0.000000,0.000000,0.000000,events/second
1719503341,8,0.004115,0.000000,0.000000,0.000000,events/second
