t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,1,0.044201,0.000000,0.000000,0.000000,events/second
1719501450,1,0.018989,0.000000,0.000000,0.000000,events/second
1719501480,3,0.036281,0.000000,0.000000,0.000000,events/second
1719501510,3,0.026617,0.000000,0.000000,0.000000,events/second
1719501540,3,0.021019,0.000000,0.000000,0.000000,events/second
1719501570,3,0.017367,0.000000,0.000000,0.000000,events/second
1719501600,3,0.014795,0.000000,0.000000,0.000000,events/second
1719501630,3,0.012887,0.000000,0.000000,0.000000,events/second
1719501660,3,0.011415,0.000000,0.000000,0.000000,events/second
1719501690,3,0.010245,0.000000,0.000000,0.000000,events/second
1719501720,3,0.009292,0.000000,0.000000,0.000000,events/second
1719501750,3,0.008502,0.000000,0.000000,0.000000,events/second
1719501780,3,0.007835,0.000000,0.000000,0.000000,events/second
1719501810,3,0.007266,0.000000,0.000000,0.000000,events/second
1719501840,3,0.006773,0.000000,0.000000,0.000000,events/second
1719501870,3,0.006343,0.000000,0.000000,0.000000,events/second
1719501900,3,0.005965,0.000000,0.000000,0.000000,events/second
1719501930,3,0.005629,0.000000,0.000000,0.000000,events/second
1719501960,3,0.005329,0.000000,0.000000,0.000000,events/second
1719501990,3,0.005059,0.000000,0.000000,0.000000,events/second
1719502020,3,0.004815,0.000000,0.000000,0.000000,events/second
1719502050,3,0.004594,0.000000,0.000000,0.000000,events/second
1719502080,3,0.004392,0.000000,0.000000,0.000000,events/second
1719502110,3,0.004207,0.000000,0.000000,0.000000,events/second
1719502140,3,0.004037,0.000000,0.000000,0.000000,events/second
1719502170,3,0.003880,0.000000,0.000000,0.000000,events/second
1719502200,3,0.003735,0.000000,0.000000,0.000000,events/second
1719502230,3,0.003601,0.000000,0.000000,0.000000,events/second
1719502260,3,0.003475,0.000000,0.000000,0.000000,events/second
1719502290,3,0.003359,0.000000,0.000000,0.000000,events/second
1719502320,3,0.003249,0.000000,0.000000,0.000000,events/second
1719502350,3,0.003147,0.000000,0.000000,0.000000,events/second
1719502380,3,0.003051,0.000000,0.000000,0.000000,events/second
1719502410,3,0.002961,0.000000,0.000000,0.000000,events/second
1719502440,3,0.002875,0.000000,0.000000,0.000000,events/second
1719502470,3,0.002795,0.000000,0.000000,0.000000,events/second
1719502500,3,0.002719,0.000000,0.000000,0.000000,events/second
1719502530,3,0.002647,0.000000,0.000000,0.000000,events/second
1719502560,3,0.002579,0.000000,0.000000,0.000000,events/second
1719502590,3,0.002514,0.000000,0.000000,0.000000,events/second
1719502620,3,0.002452,0.000000,0.000000,0.000000,events/second
1719502650,3,0.002393,0.000000,0.000000,0.000000,events/second
1719502680,3,0.002337,0.000000,0.000000,0.000000,events/second
