t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,1212416,50117.048380,0.000000,0.000000,0.000000,events/second
1719501450,1212416,22357.183063,0.000000,0.000000,0.000000,events/second
1719501480,1212416,14390.073810,0.000000,0.000000,0.000000,events/second
1719501510,1212416,10609.554921,0.000000,0.000000,0.000000,events/second
1719501540,1212416,8402.521536,0.000000,0.000000,0.000000,events/second
1719501570,1212416,6955.478993,0.000000,0.000000,0.000000,events/second
1719501600,1212416,5933.442798,0.000000,0.000000,0.000000,events/second
1719501630,1212416,5173.364889,0.000000,0.000000,0.000000,events/second
1719501660,1212416,4585.865434,0.000000,0.000000,0.000000,events/second
1719501690,1212416,4118.223408,0.000000,0.000000,0.000000,events/second
1719501720,1212416,3737.172578,0.000000,0.000000,0.000000,events/second
1719501750,1212416,3420.687527,0.000000,0.000000,0.000000,events/second
1719501780,1212416,3153.646221,0.000000,0.000000,0.000000,events/second
1719501810,1212416,2925.254270,0.000000,0.000000,0.000000,events/second
1719501840,1212416,2727.663642,0.000000,0.000000,0.000000,events/second
1719501870,1212416,2555.129923,0.000000,0.000000,0.000000,events/second
1719501900,1212416,2403.127726,0.000000,0.000000,0.000000,events/second
1719501930,1212416,2268.196255,0.000000,0.000000,0.000000,events/second
1719501960,1212416,2147.616462,0.000000,0.000000,0.000000,events/second
1719501990,1212416,2039.205142,0.000000,0.000000,0.000000,events/second
1719502020,1212416,1941.209084,0.000000,0.000000,0.000000,events/second
1719502050,1212416,1852.172684,0.000000,0.000000,0.000000,events/second
1719502080,1212416,1770.943532,0.000000,0.000000,0.000000,events/second
1719502110,1212416,1696.546496,0.000000,0.000000,0.000000,events/second
1719502140,1212416,1628.125567,0.000000,0.000000,0.000000,events/second
1719502170,1212416,1565.038316,0.000000,0.000000,0.000000,events/second
1719502200,1212416,1506.633745,0.000000,0.000000,0.000000,events/second
1719502230,1212416,1452.456142,0.000000,0.000000,0.000000,events/second
1719502260,1212416,1402.038407,0.000000,0.000000,0.000000,events/second
1719502290,1212416,1354.999515,0.000000,0.000000,0.000000,events/second
