t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,151,6.241358,0.000000,0.000000,0.000000,events/second
1719501450,151,2.784403,0.000000,0.000000,0.000000,events/second
1719501480,151,1.792185,0.000000,0.000000,0.000000,events/second
1719501510,151,1.321351,0.000000,0.000000,0.000000,events/second
1719501540,151,1.046482,0.000000,0.000000,0.000000,events/second
1719501570,151,0.866263,0.000000,0.000000,0.000000,events/second
1719501600,151,0.738975,0.000000,0.000000,0.000000,events/second
1719501630,151,0.644312,0.000000,0.000000,0.000000,events/second
1719501660,151,0.571143,0.000000,0.000000,0.000000,events/second
1719501690,151,0.512901,0.000000,0.000000,0.000000,events/second
1719501720,151,0.465444,0.000000,0.000000,0.000000,events/second
1719501750,151,0.426027,0.000000,0.000000,0.000000,events/second
1719501780,151,0.392769,0.000000,0.000000,0.000000,events/second
1719501810,151,0.364324,0.000000,0.000000,0.000000,events/second
1719501840,151,0.339715,0.000000,0.000000,0.000000,events/second
1719501870,151,0.318227,0.000000,0.000000,0.000000,events/second
1719501900,151,0.299296,0.000000,0.000000,0.000000,events/second
1719501930,151,0.282491,0.000000,0.000000,0.000000,events/second
1719501960,151,0.267474,0.000000,0.000000,0.000000,events/second
1719501990,151,0.253972,0.000000,0.000000,0.000000,events/second
1719502020,151,0.241767,0.000000,0.000000,0.000000,events/second
1719502050,151,0.230678,0.000000,0.000000,0.000000,events/second
1719502080,151,0.220561,0.000000,0.000000,0.000000,events/second
1719502110,151,0.211296,0.000000,0.000000,0.000000,events/second
1719502140,151,0.202774,0.000000,0.000000,0.000000,events/second
1719502170,151,0.194917,0.000000,0.000000,0.000000,events/second
1719502200,151,0.187643,0.000000,0.000000,0.000000,events/second
1719502230,151,0.180895,0.000000,0.000000,0.000000,events/second
1719502260,151,0.174616,0.000000,0.000000,0.000000,events/second
1719502290,151,0.168758,0.000000,0.000000,0.000000,events/second
1719502320,498,0.538500,0.000000,0.000000,0.000000,events/second
1719502350,498,0.521570,0.000000,0.000000,0.000000,events/second
1719502380,498,0.505670,0.000000,0.000000,0.000000,events/second
1719502410,498,0.490711,0.000000,0.000000,0.000000,events/second
1719502440,498,0.476613,0.000000,0.000000,0.000000,events/second
1719502470,498,0.463303,0.000000,0.000000,0.000000,events/second
1719502500,498,0.450717,0.000000,0.000000,0.000000,events/second
1719502530,498,0.438794,0.000000,0.000000,0.000000,events/second
1719502560,498,0.427486,0.000000,0.000000,0.000000,events/second
1719502590,498,0.416745,0.000000,0.000000,0.000000,events/second
1719502620,498,0.406530,0.000000,0.000000,0.000000,events/second
1719502650,498,0.396804,0.000000,0.000000,0.000000,events/second
1719502680,498,0.387533,0.000000,0.000000,0.000000,events/second
1719502710,498,0.378686,0.000000,0.000000,0.000000,events/second
1719502740,498,0.370236,0.000000,0.000000,0.000000,events/second
1719502770,498,0.362153,0.000000,0.000000,0.000000,events/second
1719502800,498,0.354415,0.000000,0.000000,0.000000,events/second
1719502830,498,0.347003,0.000000,0.000000,0.000000,events/second
1719502860,498,0.339893,0.000000,0.000000,0.000000,events/second
1719502891,498,0.333068,0.000000,0.000000,0.000000,events/second
1719502921,498,0.326514,0.000000,0.000000,0.000000,events/second
1719502951,498,0.320211,0.000000,0.000000,0.000000,events/second
1719502981,498,0.314148,0.000000,0.000000,0.000000,events/second
1719503011,498,0.308310,0.000000,0.000000,0.000000,events/second
1719503041,498,0.302685,0.000000,0.000000,0.000000,events/second
1719503071,498,0.297262,0.000000,0.000000,0.000000,events/second
1719503101,498,0.292029,0.000000,0.000000,0.000000,events/second
1719503131,498,0.286977,0.000000,0.000000,0.000000,events/second
1719503161,498,0.282097,0.000000,0.000000,0.000000,events/second
1719503191,498,0.277381,0.000000,0.000000,0.000000,events/second
1719503221,498,0.272819,0.000000,0.000000,0.000000,events/second
1719503251,498,0.268404,0.000000,0.000000,0.000000,events/second
1719503281,498,0.264131,0.000000,0.000000,0.000000,events/second
1719503311,498,0.259991,0.000000,0.000000,0.000000,events/second
1719503341,498,0.255978,0.000000,0.000000,0.000000,events/second
1719503371,498,0.252088,0.000000,0.000000,0.000000,events/second
1719503401,498,0.248314,0.000000,0.000000,0.000000,events/second
1719503431,498,0.244652,0.000000,0.000000,0.000000,events/second
1719503461,498,0.241095,0.000000,0.000000,0.000000,events/second
1719503491,498,0.237641,0.000000,0.000000,0.000000,events/second
1719503521,498,0.234283,0.000000,0.000000,0.000000,events/second
1719503551,498,0.231020,0.000000,0.000000,0.000000,events/second
1719503582,498,0.227847,0.000000,0.000000,0.000000,events/second
1719503612,498,0.224760,0.000000,0.000000,0.000000,events/second
1719503642,498,0.221756,0.000000,0.000000,0.000000,events/second
1719503672,498,0.218830,0.000000,0.000000,0.000000,events/second
1719503702,498,0.215981,0.000000,0.000000,0.000000,events/second
1719503732,498,0.213205,0.000000,0.000000,0.000000,events/second
1719503762,498,0.210499,0.000000,0.000000,0.000000,events/second
1719503792,498,0.207861,0.000000,0.000000,0.000000,events/second
1719503822,498,0.205288,0.000000,0.000000,0.000000,events/second
1719503852,498,0.202778,0.000000,0.000000,0.000000,events/second
1719503882,498,0.200329,0.000000,0.000000,0.000000,events/second
1719503912,498,0.197938,0.000000,0.000000,0.000000,events/second
1719503942,498,0.195602,0.000000,0.000000,0.000000,events/second
1719503972,498,0.193322,0.000000,0.000000,0.000000,events/second
1719504002,498,0.191095,0.000000,0.000000,0.000000,events/second
1719504032,498,0.188918,0.000000,0.000000,0.000000,events/second
1719504062,498,0.186791,0.000000,0.000000,0.000000,events/second
1719504092,498,0.184710,0.000000,0.000000,0.000000,events/second
1719504122,498,0.182677,0.000000,0.000000,0.000000,events/second
1719504152,498,0.180686,0.000000,0.000000,0.000000,events/second
1719504182,498,0.178739,0.000000,0.000000,0.000000,events/second
1719504212,498,0.176834,0.000000,0.000000,0.000000,events/second
1719504270,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504300,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504330,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504360,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504390,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504480,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504510,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504540,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504570,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504600,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504630,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504660,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504690,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504720,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504750,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504780,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504810,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504840,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504870,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504900,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504930,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504960,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504991,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505021,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505051,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505081,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505111,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505141,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505171,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505201,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505231,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505261,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505291,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505321,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505351,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505381,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505411,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505441,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505471,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505501,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505531,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505561,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505591,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505621,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505651,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505681,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505711,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505741,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505771,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505801,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505831,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505861,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505891,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505921,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505951,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505980,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506010,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506040,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506070,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506100,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506130,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506160,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506190,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506220,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506250,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506280,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506310,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506340,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506370,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506401,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506431,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506461,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506491,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506521,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506551,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506581,0,0.000000,0.000000,0.000000,0.000000,events/second
