t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1719501420,10,866,219.800000,11,327.391645,58.500000,352.750000,866.000000,866.000000,866.000000,866.000000
1719501450,15,866,153.200000,10,280.041374,30.000000,110.000000,866.000000,866.000000,866.000000,866.000000
1719501480,34,866,74.000000,6,195.918969,14.500000,27.750000,813.500000,866.000000,866.000000,866.000000
1719501510,39,866,68.025641,6,183.273665,16.000000,30.000000,796.000000,866.000000,866.000000,866.000000
1719501540,49,866,56.673469,6,164.644995,14.000000,26.500000,500.500000,866.000000,866.000000,866.000000
1719501570,54,866,53.259259,6,157.097757,14.500000,26.250000,352.750000,859.000000,866.000000,866.000000
1719501600,64,866,47.921875,4,144.679208,15.000000,26.000000,181.250000,845.000000,866.000000,866.000000
1719501630,69,866,44.942029,4,139.672399,14.000000,26.000000,157.500000,838.000000,866.000000,866.000000
1719501660,79,866,40.088608,3,131.046203,13.000000,26.000000,110.000000,824.000000,866.000000,866.000000
1719501690,84,866,38.857143,3,127.145031,13.000000,26.000000,99.500000,817.000000,866.000000,866.000000
1719501720,94,866,36.223404,3,120.376484,13.000000,24.500000,78.500000,803.000000,866.000000,866.000000
1719501750,99,866,34.707071,3,117.453356,13.000000,22.000000,68.000000,796.000000,866.000000,866.000000
1719501780,104,866,33.259615,3,114.749960,12.000000,21.750000,63.250000,736.900000,862.500000,866.000000
1719501810,114,866,30.710526,3,109.866268,11.500000,20.250000,53.750000,618.700000,855.500000,866.000000
1719501840,119,866,29.983193,3,107.573151,12.000000,20.000000,49.000000,559.600000,852.000000,866.000000
1719501870,129,866,28.294574,3,103.455788,11.000000,18.500000,44.000000,441.400000,845.000000,866.000000
1719501900,134,866,27.708955,3,101.538157,11.000000,18.000000,41.500000,382.300000,841.500000,866.000000
1719501930,139,866,26.863309,3,99.778901,10.000000,18.000000,39.000000,323.200000,838.000000,866.000000
1719501960,149,866,25.335570,2,96.520661,10.000000,17.000000,38.000000,205.000000,831.000000,866.000000
1719501990,154,866,24.857143,2,94.967860,10.000000,16.250000,37.500000,195.500000,827.500000,866.000000
1719502020,164,866,24.018293,2,92.094675,10.000000,16.750000,36.500000,176.500000,820.500000,866.000000
1719502050,169,866,23.449704,2,90.772997,9.000000,16.000000,36.000000,167.000000,817.000000,866.000000
1719502080,174,866,23.178161,2,89.467515,9.500000,16.000000,35.500000,157.500000,813.500000,866.000000
1719502110,184,866,22.445652,2,87.060417,9.000000,16.000000,34.500000,138.500000,806.500000,866.000000
1719502140,189,866,22.343915,2,85.907875,10.000000,16.500000,34.000000,129.000000,803.000000,866.000000
1719502170,199,866,22.246231,2,83.772869,10.000000,17.000000,37.000000,110.000000,796.000000,866.000000
1719502200,204,866,22.009804,2,82.751274,10.000000,17.000000,36.500000,105.800000,766.450000,866.000000
1719502230,209,866,21.765550,2,81.770713,10.000000,17.000000,36.000000,101.600000,736.900000,866.000000
1719502260,219,866,21.333333,2,79.920163,10.000000,17.000000,35.000000,93.200000,677.800000,866.000000
1719502290,224,866,21.464286,2,79.044624,10.000000,17.750000,37.000000,89.000000,648.250000,866.000000
1719502320,229,866,21.043668,1,78.224137,9.000000,17.000000,37.000000,84.800000,618.700000,866.000000
1719502350,239,866,20.644351,1,76.609585,9.000000,18.000000,37.000000,76.400000,559.600000,866.000000
1719502380,244,866,20.295082,1,75.856068,9.000000,17.000000,36.500000,72.200000,530.050000,866.000000
1719502410,254,866,19.834646,1,74.387115,9.000000,17.000000,35.500000,66.100000,470.950000,866.000000
1719502440,259,866,19.691120,1,73.671839,9.000000,17.000000,35.000000,64.200000,441.400000,866.000000
1719502470,264,866,19.397727,1,72.999017,9.000000,17.000000,34.500000,62.300000,411.850000,866.000000
1719502500,274,866,19.145985,1,71.674022,9.000000,17.000000,33.500000,58.500000,352.750000,866.000000
1719502530,279,866,19.150538,1,71.042233,9.000000,17.000000,35.000000,56.600000,323.200000,866.000000
1719502560,284,866,19.059859,1,70.433187,9.000000,17.000000,35.750000,54.700000,293.650000,866.000000
1719502590,294,866,18.860544,1,69.236679,9.000000,17.000000,35.250000,50.900000,234.550000,866.000000
1719502620,299,866,18.732441,1,68.662744,9.000000,17.000000,35.000000,49.000000,205.000000,866.000000
1719502650,304,866,18.707237,1,68.098912,9.000000,17.000000,34.500000,48.700000,200.250000,866.000000
1719502680,314,866,18.401274,1,67.024611,9.000000,17.000000,33.500000,48.100000,190.750000,866.000000
1719502710,319,866,18.332288,1,66.500456,9.000000,17.000000,33.000000,47.800000,186.000000,866.000000
1719502740,328,866,18.277439,1,65.589767,10.000000,17.000000,33.000000,47.260000,177.450000,866.000000
1719502770,334,866,18.119760,1,65.007720,10.000000,17.000000,33.000000,46.900000,171.750000,866.000000
1719502800,339,866,18.041298,1,64.529188,10.000000,17.000000,33.000000,46.600000,167.000000,866.000000
1719502830,349,866,17.621777,1,63.642863,9.000000,17.000000,33.000000,46.000000,157.500000,866.000000
1719502860,354,866,17.435028,1,63.210136,9.000000,16.250000,33.000000,45.300000,152.750000,866.000000
1719502891,359,866,17.356546,1,62.771563,9.000000,16.000000,33.000000,44.600000,148.000000,866.000000
1719502921,369,866,17.075881,1,61.944573,9.000000,16.000000,33.000000,43.200000,138.500000,866.000000
1719502951,374,866,16.895722,1,61.547796,9.000000,16.000000,33.000000,42.500000,133.750000,866.000000
1719502981,379,866,16.715040,1,61.159589,9.000000,16.000000,33.000000,41.800000,129.000000,866.000000
1719503011,389,866,16.465296,1,60.393187,9.000000,16.000000,32.500000,40.400000,119.500000,866.000000
1719503041,394,866,16.322335,1,60.021329,9.000000,16.000000,32.250000,39.700000,114.750000,866.000000
1719503071,404,866,16.237624,1,59.302798,9.000000,16.000000,32.750000,39.000000,107.900000,866.000000
1719503101,409,866,16.156479,1,58.943434,9.000000,16.000000,32.500000,39.000000,105.800000,866.000000
1719503131,414,866,16.306763,1,58.614678,9.000000,16.000000,33.000000,39.700000,103.700000,866.000000
1719503161,424,866,16.108491,1,57.940195,9.000000,16.000000,33.000000,39.500000,99.500000,866.000000
1719503191,429,866,15.997669,1,57.610378,9.000000,16.000000,33.000000,39.400000,97.400000,866.000000
1719503221,434,866,15.919355,1,57.283223,9.000000,16.000000,33.000000,39.300000,95.300000,866.000000
1719503251,444,866,15.646396,1,56.661911,9.000000,15.750000,32.750000,39.100000,91.100000,866.000000
1719503281,449,866,15.608018,1,56.347356,9.000000,15.500000,32.500000,39.000000,89.000000,866.000000
1719503311,454,866,15.570485,1,56.038997,9.000000,15.250000,32.250000,39.000000,86.900000,866.000000
1719503341,464,866,15.562500,1,55.435059,9.000000,16.000000,31.750000,39.000000,82.700000,866.000000
1719503371,469,866,15.454158,1,55.149917,9.000000,16.000000,31.500000,39.000000,80.600000,866.000000
1719503401,479,866,15.279749,1,54.589539,9.000000,15.000000,31.000000,39.000000,76.400000,866.000000
1719503431,484,866,15.140496,1,54.323440,9.000000,15.000000,31.000000,39.000000,74.300000,866.000000
1719503461,489,866,15.012270,1,54.059316,9.000000,15.000000,31.000000,39.000000,72.200000,866.000000
1719503491,499,866,14.997996,1,53.530440,9.000000,15.000000,31.000000,39.000000,68.000000,866.000000
1719503521,504,866,14.964286,1,53.265705,9.000000,15.000000,31.000000,39.000000,67.050000,866.000000
1719503551,509,866,15.082515,1,53.030309,9.000000,16.000000,31.000000,39.000000,66.100000,866.000000
1719503582,519,866,14.901734,1,52.534489,9.000000,15.000000,31.000000,39.000000,64.200000,866.000000
1719503612,524,866,14.864504,1,52.284510,9.000000,15.000000,31.000000,39.000000,63.250000,866.000000
1719503642,534,866,14.790262,1,51.811654,9.000000,15.000000,31.000000,39.000000,61.350000,866.000000
1719503672,539,866,14.868275,1,51.582641,9.000000,16.000000,31.000000,39.000000,60.400000,866.000000
1719503702,544,866,14.889706,1,51.347180,9.000000,16.000000,31.000000,39.000000,59.450000,866.000000
1719503732,554,866,14.922383,1,50.891326,9.000000,16.000000,31.000000,39.000000,57.550000,866.000000
1719503762,559,866,15.148479,1,50.783232,9.000000,16.000000,32.000000,44.800000,68.000000,866.000000
1719503792,564,866,15.099291,1,50.560349,9.000000,16.000000,31.750000,44.200000,68.000000,866.000000
1719503822,574,866,14.979094,1,50.133326,9.000000,16.000000,31.250000,43.000000,68.000000,866.000000
1719503852,579,866,14.870466,1,49.929696,9.000000,16.000000,31.000000,42.400000,68.000000,866.000000
1719503882,589,866,14.682513,1,49.525017,9.000000,16.000000,31.000000,41.200000,68.000000,866.000000
1719503912,594,866,14.577441,1,49.329004,9.000000,16.000000,31.000000,40.600000,68.000000,866.000000
1719503942,599,866,14.549249,1,49.124208,9.000000,16.000000,31.000000,40.000000,68.000000,866.000000
1719503972,609,866,14.438424,1,48.729853,9.000000,15.500000,31.000000,39.800000,67.500000,866.000000
1719504002,614,866,14.431596,1,48.531731,9.000000,16.000000,31.000000,39.700000,67.250000,866.000000
1719504032,624,866,14.395833,1,48.162566,9.000000,15.750000,31.000000,42.000000,66.750000,866.000000
1719504062,644,866,14.080745,0,47.448979,9.000000,15.000000,30.750000,40.400000,65.750000,866.000000
1719504092,654,866,13.961774,0,47.096038,9.000000,15.000000,30.250000,39.900000,65.250000,866.000000
1719504122,668,866,13.817365,0,46.612308,8.500000,15.000000,30.000000,39.620000,64.550000,866.000000
1719504152,679,866,13.782032,0,46.236339,9.000000,15.000000,30.000000,39.400000,64.000000,866.000000
1719504182,689,866,13.628447,0,45.917090,8.000000,15.000000,30.000000,39.200000,63.500000,866.000000
1719504212,699,866,13.653791,0,45.592662,9.000000,15.000000,30.000000,39.000000,63.000000,866.000000
1719504270,34,1690,284.058824,8,474.784094,50.000000,287.250000,1579.750000,1690.000000,1690.000000,1690.000000
1719504300,52,1690,200.884615,4,399.259788,53.000000,110.500000,1294.700000,1681.180000,1690.000000,1690.000000
1719504330,79,1690,140.746835,4,333.694489,35.000000,63.000000,1107.000000,1601.800000,1690.000000,1690.000000
1719504360,88,1690,128.863636,4,317.955761,31.500000,60.500000,1107.000000,1575.340000,1690.000000,1690.000000
1719504390,106,1690,109.735849,4,292.533769,25.500000,53.000000,1011.800000,1489.520000,1679.710000,1690.000000
1719504420,115,1690,101.817391,3,282.074818,24.000000,52.000000,889.400000,1420.760000,1666.480000,1690.000000
1719504450,124,1690,95.209677,3,272.596556,21.000000,50.500000,723.000000,1352.000000,1653.250000,1690.000000
1719504480,142,1690,84.922535,3,256.060999,19.000000,39.250000,382.050000,1214.480000,1626.790000,1690.000000
1719504510,151,1690,80.231788,3,248.963891,17.000000,37.000000,367.200000,1158.840000,1613.560000,1690.000000
1719504540,160,1690,76.000000,3,242.439566,16.000000,37.000000,349.550000,1149.120000,1600.330000,1690.000000
1719504570,178,1690,68.853933,3,230.773891,14.500000,32.250000,269.450000,1129.680000,1573.870000,1690.000000
1719504600,187,1690,65.748663,2,225.547353,13.000000,31.000000,219.400000,1119.960000,1560.640000,1690.000000
1719504630,196,1690,62.964286,2,220.648401,12.000000,29.750000,168.100000,1110.240000,1547.410000,1690.000000
1719504660,214,1690,58.051402,2,211.744381,11.000000,27.250000,131.500000,1107.000000,1485.700000,1690.000000
1719504690,223,1690,55.901345,2,207.674249,10.000000,25.000000,124.200000,1107.000000,1451.320000,1690.000000
1719504720,241,1690,52.062241,2,200.193844,9.000000,24.000000,120.300000,1107.000000,1382.560000,1690.000000
1719504750,250,1690,50.340000,2,196.745571,8.000000,23.250000,117.150000,1101.560000,1348.180000,1690.000000
1719504780,259,1690,48.733591,2,193.469732,8.000000,21.000000,114.000000,1052.600000,1313.800000,1690.000000
1719504810,277,1690,45.808664,2,187.384736,7.000000,19.000000,101.400000,954.680000,1245.040000,1690.000000
1719504840,286,1690,44.555944,2,184.534032,7.000000,19.000000,96.150000,905.720000,1210.660000,1690.000000
1719504870,304,1690,42.407895,1,179.179017,7.000000,17.000000,87.250000,790.200000,1158.300000,1690.000000
1719504900,313,1690,41.354633,1,176.682640,7.000000,17.000000,84.100000,709.560000,1153.440000,1690.000000
1719504930,322,1690,40.322981,1,174.295041,7.000000,16.000000,81.850000,628.920000,1148.580000,1690.000000
1719504960,340,1690,38.391176,1,169.802184,6.000000,16.000000,80.550000,467.640000,1138.860000,1690.000000
