t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501480,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501510,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501540,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501570,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501600,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501630,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501660,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501690,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501720,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501750,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501780,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501810,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501840,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501870,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501900,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501930,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501960,0,0.000000,0.000000,0.000000,0.000000,events/second
1719501990,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502020,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502050,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502080,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502110,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502140,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502170,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502200,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502230,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502260,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502290,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502320,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502350,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502380,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502410,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502440,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502470,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502500,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502530,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502560,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502590,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502620,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502650,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502680,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502710,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502740,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502770,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502800,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502830,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502860,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502891,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502921,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502951,0,0.000000,0.000000,0.000000,0.000000,events/second
1719502981,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503011,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503041,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503071,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503101,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503131,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503161,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503191,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503221,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503251,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503281,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503311,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503341,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503371,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503401,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503431,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503461,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503491,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503521,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503551,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503582,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503612,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503642,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503672,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503702,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503732,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503762,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503792,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503822,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503852,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503882,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503912,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503942,0,0.000000,0.000000,0.000000,0.000000,events/second
1719503972,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504002,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504032,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504062,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504092,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504122,0,0.000000,0.000000,0.000000,0.000000,events/second
