t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,10,0.404436,0.169296,0.193443,0.197790,events/second
1719501450,15,0.273943,0.260582,0.215621,0.205437,events/second
1719501480,34,0.401036,0.277611,0.226287,0.209569,events/second
1719501510,39,0.339713,0.336820,0.248381,0.217907,events/second
1719501540,49,0.338356,0.266561,0.240467,0.216211,events/second
1719501570,54,0.308858,0.287950,0.249046,0.220021,events/second
1719501600,64,0.312405,0.236920,0.241068,0.218256,events/second
1719501630,69,0.293762,0.269972,0.249590,0.221999,events/second
1719501660,79,0.298217,0.226016,0.241561,0.220170,events/second
1719501690,84,0.284814,0.263358,0.250036,0.223849,events/second
1719501720,94,0.289278,0.222004,0.241964,0.221959,events/second
1719501750,99,0.278903,0.267318,0.250674,0.225611,events/second
1719501780,104,0.270148,0.229817,0.242806,0.223694,events/second
1719501810,114,0.274705,0.276638,0.251691,0.227319,events/second
1719501840,119,0.267407,0.222054,0.239962,0.224127,events/second
1719501870,129,0.271563,0.271929,0.249117,0.227738,events/second
1719501900,134,0.265325,0.232614,0.241397,0.225751,events/second
1719501930,139,0.259787,0.203357,0.234148,0.223798,events/second
1719501960,149,0.263686,0.256008,0.243601,0.227390,events/second
1719501990,154,0.258789,0.222958,0.236406,0.225414,events/second
1719502020,164,0.262361,0.272477,0.245900,0.228983,events/second
1719502050,169,0.257969,0.234123,0.238540,0.226961,events/second
1719502080,174,0.253962,0.204272,0.231563,0.224969,events/second
1719502110,184,0.257284,0.250170,0.240989,0.228491,events/second
1719502140,189,0.253625,0.219417,0.234042,0.226479,events/second
1719502170,199,0.256701,0.270329,0.243761,0.230013,events/second
1719502200,204,0.253339,0.237526,0.236820,0.227982,events/second
1719502230,209,0.250221,0.206336,0.230006,0.225956,events/second
1719502260,219,0.253097,0.257815,0.239853,0.229477,events/second
1719502290,224,0.250196,0.224053,0.233015,0.227433,events/second
1719502320,229,0.247483,0.193186,0.226303,0.225395,events/second
1719502350,239,0.250174,0.243446,0.236230,0.228903,events/second
1719502380,244,0.247626,0.209927,0.229472,0.226848,events/second
1719502410,254,0.250153,0.264573,0.239626,0.230369,events/second
1719502440,259,0.247753,0.234035,0.233078,0.228326,events/second
1719502470,264,0.245487,0.204219,0.226620,0.226290,events/second
1719502500,274,0.247866,0.261111,0.237046,0.229829,events/second
1719502530,279,0.245716,0.226053,0.230474,0.227774,events/second
1719502560,284,0.243677,0.199377,0.224264,0.225755,events/second
1719502590,294,0.245922,0.247201,0.234385,0.229252,events/second
1719502620,299,0.243977,0.217616,0.228067,0.227215,events/second
