t,value
1719501420,59
1719501450,59
1719501480,59
1719501510,59
1719501540,59
1719501570,59
1719501600,59
1719501630,59
1719501660,59
1719501690,59
1719501720,59
1719501750,59
1719501780,59
1719501810,59
1719501840,59
1719501870,59
1719501900,59
1719501930,59
1719501960,59
1719501990,59
1719502020,59
1719502050,59
1719502080,59
1719502110,59
1719502140,59
1719502170,59
1719502200,59
1719502230,59
1719502260,59
1719502290,59
1719502320,59
1719502350,59
1719502380,59
1719502410,59
1719502440,59
1719502470,59
1719502500,59
1719502530,59
1719502560,59
1719502590,59
1719502620,59
1719502650,59
1719502680,59
1719502710,59
1719502740,59
1719502770,59
1719502800,59
1719502830,59
1719502860,59
1719502891,59
1719502921,59
1719502951,59
1719502981,59
1719503011,59
1719503041,59
1719503071,59
1719503101,59
1719503131,59
1719503161,59
1719503191,59
1719503221,59
1719503251,59
1719503281,59
1719503311,59
1719503341,59
1719503371,59
1719503401,59
1719503431,59
1719503461,59
1719503491,59
1719503521,59
1719503551,59
1719503582,59
1719503612,59
1719503642,59
1719503672,59
1719503702,59
1719503732,59
1719503762,59
1719503792,59
1719503822,59
1719503852,59
1719503882,59
1719503912,59
1719503942,59
1719503972,59
1719504002,59
1719504032,59
1719504062,59
1719504092,59
1719504122,59
1719504152,59
1719504182,59
1719504212,59
1719504270,59
1719504300,59
1719504330,59
1719504360,59
1719504390,59
1719504420,59
1719504450,59
1719504480,59
1719504510,59
1719504540,59
1719504570,59
1719504600,59
1719504630,59
1719504660,59
1719504690,59
1719504720,59
1719504750,59
1719504780,59
1719504810,59
1719504840,59
1719504870,59
1719504900,59
1719504930,59
1719504960,59
1719504991,59
1719505021,59
1719505051,59
1719505081,59
1719505111,59
1719505141,59
1719505171,59
1719505201,59
1719505231,59
1719505261,59
1719505291,59
1719505321,59
1719505351,59
1719505381,59
1719505411,59
1719505441,59
1719505471,59
1719505501,59
1719505531,59
1719505561,59
1719505591,59
1719505621,59
1719505651,59
1719505681,59
1719505711,59
1719505741,59
1719505771,59
1719505801,59
1719505831,59
1719505861,59
1719505891,59
1719505921,59
1719505951,59
1719505980,59
1719506010,59
1719506040,59
1719506070,59
1719506100,59
1719506130,59
1719506160,59
1719506190,59
1719506220,59
1719506250,59
1719506280,59
1719506310,59
1719506340,59
1719506370,59
1719506401,59
1719506431,59
1719506461,59
1719506491,59
1719506521,59
1719506551,59
1719506581,59
