t,value
1719501420,138
1719501450,138
1719501480,138
1719501510,138
1719501540,138
1719501570,138
1719501600,138
1719501630,138
1719501660,138
1719501690,138
1719501720,138
1719501750,138
1719501780,138
1719501810,138
1719501840,138
1719501870,138
1719501900,138
1719501930,138
1719501960,138
1719501990,138
1719502020,138
1719502050,138
1719502080,138
1719502110,138
1719502140,138
1719502170,138
1719502200,138
1719502230,138
1719502260,138
1719502290,138
1719502320,138
1719502350,138
1719502380,138
1719502410,138
1719502440,138
1719502470,138
1719502500,138
1719502530,138
1719502560,138
1719502590,138
1719502620,138
1719502650,138
1719502680,138
1719502710,138
1719502740,138
1719502770,138
1719502800,138
1719502830,138
1719502860,138
1719502891,138
1719502921,138
1719502951,138
1719502981,138
1719503011,138
1719503041,138
1719503071,138
1719503101,138
1719503131,138
1719503161,138
1719503191,138
1719503221,138
1719503251,138
1719503281,138
1719503311,138
1719503341,138
1719503371,138
1719503401,138
1719503431,138
1719503461,138
1719503491,138
1719503521,138
1719503551,138
1719503582,138
1719503612,138
1719503642,138
1719503672,138
1719503702,138
1719503732,138
1719503762,138
1719503792,138
1719503822,138
1719503852,138
1719503882,138
1719503912,138
1719503942,138
1719503972,138
1719504002,138
1719504032,138
1719504062,138
1719504092,138
1719504122,138
1719504152,138
1719504182,138
1719504212,138
1719504270,138
1719504300,138
1719504330,138
1719504360,138
1719504390,138
1719504420,138
1719504450,138
1719504480,138
1719504510,138
1719504540,138
1719504570,138
1719504600,138
1719504630,138
1719504660,138
1719504690,138
1719504720,138
1719504750,138
1719504780,138
1719504810,138
1719504840,138
1719504870,138
1719504900,138
1719504930,138
1719504960,138
1719504991,138
1719505021,138
1719505051,138
1719505081,138
1719505111,138
1719505141,138
1719505171,138
1719505201,138
1719505231,138
1719505261,138
1719505291,138
1719505321,138
1719505351,138
1719505381,138
1719505411,138
1719505441,138
1719505471,138
1719505501,138
1719505531,138
1719505561,138
1719505591,138
1719505621,138
1719505651,138
1719505681,138
1719505711,138
1719505741,138
1719505771,138
1719505801,138
1719505831,138
1719505861,138
1719505891,138
1719505921,138
1719505951,138
1719505980,138
1719506010,138
1719506040,138
1719506070,138
1719506100,138
1719506130,138
1719506160,138
1719506190,138
1719506220,138
1719506250,138
1719506280,138
1719506310,138
1719506340,138
1719506370,138
1719506401,138
1719506431,138
1719506461,138
1719506491,138
1719506521,138
1719506551,138
1719506581,138
