t,value
1719501420,117
1719501450,117
1719501480,117
1719501510,117
1719501540,117
1719501570,117
1719501600,117
1719501630,117
1719501660,117
1719501690,117
1719501720,117
1719501750,117
1719501780,117
1719501810,117
1719501840,117
1719501870,117
1719501900,117
1719501930,117
1719501960,117
1719501990,117
1719502020,117
1719502050,117
1719502080,117
1719502110,117
1719502140,117
1719502170,117
1719502200,117
1719502230,117
1719502260,117
1719502290,117
1719502320,117
1719502350,117
1719502380,117
1719502410,117
1719502440,117
1719502470,117
1719502500,117
1719502530,117
1719502560,117
1719502590,117
1719502620,117
1719502650,117
1719502680,117
1719502710,117
1719502740,117
1719502770,117
1719502800,117
1719502830,117
1719502860,117
1719502891,117
1719502921,117
1719502951,117
1719502981,117
1719503011,117
1719503041,117
1719503071,117
1719503101,117
1719503131,117
1719503161,117
1719503191,117
1719503221,117
1719503251,117
1719503281,117
1719503311,117
1719503341,117
1719503371,117
1719503401,117
1719503431,117
1719503461,117
1719503491,117
1719503521,117
1719503551,117
1719503582,117
1719503612,117
1719503642,117
1719503672,117
1719503702,117
1719503732,117
1719503762,117
1719503792,117
1719503822,117
1719503852,117
1719503882,117
1719503912,117
1719503942,117
1719503972,117
1719504002,117
1719504032,117
1719504062,117
1719504092,117
1719504122,117
1719504152,117
1719504182,117
1719504212,117
1719504270,117
1719504300,117
1719504330,117
1719504360,117
1719504390,117
1719504420,117
1719504450,117
1719504480,117
1719504510,117
1719504540,117
1719504570,117
1719504600,117
1719504630,117
1719504660,117
1719504690,117
1719504720,117
1719504750,117
1719504780,117
1719504810,117
1719504840,117
1719504870,117
1719504900,117
1719504930,117
1719504960,117
1719504991,117
1719505021,117
1719505051,117
1719505081,117
1719505111,117
1719505141,117
1719505171,117
1719505201,117
1719505231,117
1719505261,117
1719505291,117
1719505321,117
1719505351,117
1719505381,117
1719505411,117
1719505441,117
1719505471,117
1719505501,117
1719505531,117
1719505561,117
1719505591,117
1719505621,117
1719505651,117
1719505681,117
1719505711,117
1719505741,117
1719505771,117
1719505801,117
1719505831,117
1719505861,117
1719505891,117
1719505921,117
1719505951,117
1719505980,117
1719506010,117
1719506040,117
1719506070,117
1719506100,117
1719506130,117
1719506160,117
1719506190,117
1719506220,117
1719506250,117
1719506280,117
1719506310,117
1719506340,117
1719506370,117
1719506401,117
1719506431,117
1719506461,117
1719506491,117
1719506521,117
1719506551,117
1719506581,117
