t,value
1719501420,9
1719501450,9
1719501480,9
1719501510,9
1719501540,9
1719501570,9
1719501600,9
1719501630,9
1719501660,9
1719501690,9
1719501720,9
1719501750,9
1719501780,9
1719501810,9
1719501840,9
1719501870,9
1719501900,9
1719501930,9
1719501960,9
1719501990,9
1719502020,9
1719502050,9
1719502080,9
1719502110,9
1719502140,9
1719502170,9
1719502200,9
1719502230,9
1719502260,9
1719502290,9
1719502320,9
1719502350,9
1719502380,9
1719502410,9
1719502440,9
1719502470,9
1719502500,9
1719502530,9
1719502560,9
1719502590,9
1719502620,9
1719502650,9
1719502680,9
1719502710,9
1719502740,9
1719502770,9
1719502800,9
1719502830,9
1719502860,9
1719502891,9
1719502921,9
1719502951,9
1719502981,9
1719503011,9
1719503041,9
1719503071,9
1719503101,9
1719503131,9
1719503161,9
1719503191,9
1719503221,9
1719503251,9
1719503281,9
1719503311,9
1719503341,9
1719503371,9
1719503401,9
1719503431,9
1719503461,9
1719503491,9
1719503521,9
1719503551,9
1719503582,9
1719503612,9
1719503642,9
1719503672,9
1719503702,9
1719503732,9
1719503762,9
1719503792,9
1719503822,9
1719503852,9
1719503882,9
1719503912,9
1719503942,9
1719503972,9
1719504002,9
1719504032,9
1719504062,9
1719504092,9
1719504122,9
1719504152,9
1719504182,9
1719504212,9
1719504270,9
1719504300,9
1719504330,9
1719504360,9
1719504390,9
1719504420,9
1719504450,9
1719504480,9
1719504510,9
1719504540,9
1719504570,9
1719504600,9
1719504630,9
1719504660,9
1719504690,9
1719504720,9
1719504750,9
1719504780,9
1719504810,9
1719504840,9
1719504870,9
1719504900,9
1719504930,9
1719504960,9
1719504991,9
1719505021,9
1719505051,9
1719505081,9
1719505111,9
1719505141,9
1719505171,9
1719505201,9
1719505231,9
1719505261,9
1719505291,9
1719505321,9
1719505351,9
1719505381,9
1719505411,9
1719505441,9
1719505471,9
1719505501,9
1719505531,9
1719505561,9
1719505591,9
1719505621,9
1719505651,9
1719505681,9
1719505711,9
1719505741,9
1719505771,9
1719505801,9
1719505831,9
1719505861,9
1719505891,9
1719505921,9
1719505951,9
1719505980,9
1719506010,9
1719506040,9
1719506070,9
1719506100,9
1719506130,9
1719506160,9
1719506190,9
1719506220,9
1719506250,9
1719506280,9
1719506310,9
1719506340,9
1719506370,9
1719506401,9
1719506431,9
1719506461,9
1719506491,9
1719506521,9
1719506551,9
1719506581,9
