t,value
1719501420,73728
1719501450,73728
1719501480,73728
1719501510,73728
1719501540,73728
1719501570,73728
1719501600,73728
1719501630,73728
1719501660,73728
1719501690,73728
1719501720,73728
1719501750,73728
1719501780,73728
1719501810,73728
1719501840,73728
1719501870,73728
1719501900,73728
1719501930,73728
1719501960,73728
1719501990,73728
1719502020,1196914
1719502050,1196914
1719502080,1196914
1719502110,1196914
1719502140,1196914
1719502170,1196914
1719502200,1196914
1719502230,1196914
1719502260,1196914
1719502290,1196914
1719502320,1196914
1719502350,1196914
1719502380,1196914
1719502410,1196914
1719502440,1196914
1719502470,1196914
1719502500,1196914
1719502530,1196914
1719502560,1196914
1719502590,1196914
1719502620,1344370
1719502650,1344370
1719502680,1344370
1719502710,1344370
1719502740,1344370
1719502770,1344370
1719502800,1344370
1719502830,1344370
1719502860,1344370
1719502891,1344370
1719502921,1344370
1719502951,1344370
1719502981,1344370
1719503011,1344370
1719503041,1344370
1719503071,1344370
1719503101,1344370
1719503131,1344370
1719503161,1344370
1719503191,1344370
1719503221,1344370
1719503251,1344370
1719503281,1344370
1719503311,1344370
1719503341,1344370
1719503371,1344370
1719503401,1344370
1719503431,1344370
1719503461,1344370
1719503491,1344370
1719503521,1344370
1719503551,1344370
1719503582,1344370
1719503612,1344370
1719503642,1344370
1719503672,1344370
1719503702,1344370
1719503732,1344370
1719503762,1344370
1719503792,1344370
1719503822,1344370
1719503852,1344370
1719503882,1344370
1719503912,1344370
1719503942,1344370
1719503972,1344370
1719504002,1344370
1719504032,1344370
1719504062,1344370
1719504092,1344370
1719504122,1344370
1719504152,1344370
1719504182,1344370
1719504212,1344370
1719504270,1344370
1719504300,1344370
1719504330,1344370
1719504360,1344370
1719504390,1344370
1719504420,1344370
1719504450,1344370
1719504480,1344370
1719504510,1344370
1719504540,1344370
1719504570,1344370
1719504600,1344370
1719504630,1344370
1719504660,1344370
1719504690,1344370
1719504720,1344370
1719504750,1344370
1719504780,1344370
1719504810,1344370
1719504840,1344370
1719504870,1344370
1719504900,1344370
1719504930,1344370
1719504960,1344370
1719504991,1344370
1719505021,1344370
1719505051,1344370
1719505081,1344370
1719505111,1344370
1719505141,1344370
1719505171,1344370
1719505201,1344370
1719505231,1344370
1719505261,1344370
1719505291,1344370
1719505321,1344370
1719505351,1344370
1719505381,1344370
1719505411,1344370
1719505441,1344370
1719505471,1344370
1719505501,1344370
1719505531,1344370
1719505561,1344370
1719505591,1344370
1719505621,1344370
1719505651,1344370
1719505681,1344370
1719505711,1344370
1719505741,1344370
1719505771,1344370
1719505801,1344370
1719505831,1344370
1719505861,1344370
1719505891,1344370
1719505921,1344370
1719505951,1344370
1719505980,1344370
1719506010,1344370
1719506040,1344370
1719506070,1344370
1719506100,1344370
1719506130,1344370
1719506160,1344370
1719506190,1344370
1719506220,1344370
1719506250,1344370
1719506280,1344370
1719506310,1344370
1719506340,1344370
1719506370,1344370
1719506401,1344370
1719506431,1344370
1719506461,1344370
1719506491,1344370
1719506521,1344370
1719506551,1344370
1719506581,1344370
