t,value
1719501420,73728
1719501450,73728
1719501480,73728
1719501510,73728
1719501540,73728
1719501570,73728
1719501600,73728
1719501630,73728
1719501660,73728
1719501690,73728
1719501720,73728
1719501750,73728
1719501780,73728
1719501810,73728
1719501840,73728
1719501870,73728
1719501900,73728
1719501930,73728
1719501960,73728
1719501990,73728
1719502020,1250289
1719502050,1250289
1719502080,1250289
1719502110,1250289
1719502140,1250289
1719502170,1250289
1719502200,1250289
1719502230,1250289
1719502260,1250289
1719502290,1250289
1719502320,1250289
1719502350,1250289
1719502380,1250289
1719502410,1250289
1719502440,1250289
1719502470,1250289
1719502500,1250289
1719502530,1250289
1719502560,1250289
1719502590,1250289
1719502620,1397977
1719502650,1397977
1719502680,1397977
1719502710,1397977
1719502740,1397977
1719502770,1397977
1719502800,1397977
1719502830,1397977
1719502860,1397977
1719502891,1397977
1719502921,1397977
1719502951,1397977
1719502981,1397977
1719503011,1397977
1719503041,1397977
1719503071,1397977
1719503101,1397977
1719503131,1397977
1719503161,1397977
1719503191,1397977
1719503221,1397977
1719503251,1397977
1719503281,1397977
1719503311,1397977
1719503341,1397977
1719503371,1397977
1719503401,1397977
1719503431,1397977
1719503461,1397977
1719503491,1397977
1719503521,1397977
1719503551,1397977
1719503582,1397977
1719503612,1397977
1719503642,1397977
1719503672,1397977
1719503702,1397977
1719503732,1397977
1719503762,1397977
1719503792,1397977
1719503822,1397977
1719503852,1397977
1719503882,1397977
1719503912,1397977
1719503942,1397977
1719503972,1397977
1719504002,1397977
1719504032,1397977
1719504062,1397977
1719504092,1397977
1719504122,1397977
1719504152,1397977
1719504182,1397977
1719504212,1397977
1719504270,1398209
1719504300,1398209
1719504330,1398209
1719504360,1398209
1719504390,1398209
1719504420,1398209
1719504450,1398209
1719504480,1398209
1719504510,1398209
1719504540,1398209
1719504570,1398209
1719504600,1398209
1719504630,1398209
1719504660,1398209
1719504690,1398209
1719504720,1398209
1719504750,1398209
1719504780,1398209
1719504810,1398209
1719504840,1398209
1719504870,1398209
1719504900,1398209
1719504930,1398209
1719504960,1398209
1719504991,1398209
1719505021,1398209
1719505051,1398209
1719505081,1398209
1719505111,1398209
1719505141,1398209
1719505171,1398209
1719505201,1398209
1719505231,1398209
1719505261,1398209
1719505291,1398209
1719505321,1398209
1719505351,1398209
1719505381,1398209
1719505411,1398209
1719505441,1398209
1719505471,1398209
1719505501,1398209
1719505531,1398209
1719505561,1398209
1719505591,1398209
1719505621,1398209
1719505651,1398209
1719505681,1398209
1719505711,1398209
1719505741,1398209
1719505771,1398209
1719505801,1398209
1719505831,1398209
1719505861,1398209
1719505891,1398209
1719505921,1398209
1719505951,1398209
1719505980,1398441
1719506010,1398441
1719506040,1398441
1719506070,1398441
1719506100,1398441
1719506130,1398441
1719506160,1398441
1719506190,1398441
1719506220,1398441
1719506250,1398441
1719506280,1398441
1719506310,1398441
1719506340,1398441
1719506370,1398441
1719506401,1398441
1719506431,1398441
1719506461,1398441
1719506491,1398441
1719506521,1398441
1719506551,1398441
1719506581,1398441
