t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,140,5.786615,0.000000,0.000000,0.000000,events/second
1719501450,163,3.006080,0.000000,0.000000,0.000000,events/second
1719501480,200,2.373947,0.000000,0.000000,0.000000,events/second
1719501510,223,1.951516,0.000000,0.000000,0.000000,events/second
1719501540,251,1.739610,0.000000,0.000000,0.000000,events/second
1719501570,274,1.571959,0.000000,0.000000,0.000000,events/second
1719501600,302,1.478003,0.000000,0.000000,0.000000,events/second
1719501630,325,1.386805,0.000000,0.000000,0.000000,events/second
1719501660,353,1.335225,0.000000,0.000000,0.000000,events/second
1719501690,376,1.277190,0.000000,0.000000,0.000000,events/second
1719501720,404,1.245323,0.000000,0.000000,0.000000,events/second
1719501750,427,1.204753,0.000000,0.000000,0.000000,events/second
1719501780,450,1.170527,0.000000,0.000000,0.000000,events/second
1719501810,478,1.153313,0.000000,0.000000,0.000000,events/second
1719501840,501,1.127154,0.000000,0.000000,0.000000,events/second
1719501870,529,1.114868,0.000000,0.000000,0.000000,events/second
1719501900,552,1.094133,0.000000,0.000000,0.000000,events/second
1719501930,575,1.075728,0.000000,0.000000,0.000000,events/second
1719501960,603,1.068139,0.000000,0.000000,0.000000,events/second
1719501990,626,1.052903,0.000000,0.000000,0.000000,events/second
1719502020,659,1.055142,0.000000,0.000000,0.000000,events/second
1719502050,682,1.041881,0.000000,0.000000,0.000000,events/second
1719502080,705,1.029784,0.000000,0.000000,0.000000,events/second
1719502110,733,1.025703,0.000000,0.000000,0.000000,events/second
1719502140,756,1.015224,0.000000,0.000000,0.000000,events/second
1719502170,784,1.012021,0.000000,0.000000,0.000000,events/second
1719502200,807,1.002843,0.000000,0.000000,0.000000,events/second
1719502230,830,0.994335,0.000000,0.000000,0.000000,events/second
1719502260,858,0.992198,0.000000,0.000000,0.000000,events/second
1719502290,881,0.984615,0.000000,0.000000,0.000000,events/second
1719502320,904,0.977526,0.000000,0.000000,0.000000,events/second
1719502350,932,0.976117,0.000000,0.000000,0.000000,events/second
1719502380,955,0.969715,0.000000,0.000000,0.000000,events/second
1719502410,983,0.968620,0.000000,0.000000,0.000000,events/second
1719502440,1006,0.962804,0.000000,0.000000,0.000000,events/second
1719502470,1029,0.957314,0.000000,0.000000,0.000000,events/second
1719502500,1057,0.956646,0.000000,0.000000,0.000000,events/second
1719502530,1080,0.951607,0.000000,0.000000,0.000000,events/second
1719502560,1103,0.946828,0.000000,0.000000,0.000000,events/second
1719502590,1131,0.946469,0.000000,0.000000,0.000000,events/second
1719502620,1154,0.942046,0.000000,0.000000,0.000000,events/second
1719502650,1182,0.941817,0.000000,0.000000,0.000000,events/second
1719502680,1210,0.941601,0.000000,0.000000,0.000000,events/second
1719502710,1233,0.937596,0.000000,0.000000,0.000000,events/second
1719502740,1260,0.936746,0.000000,0.000000,0.000000,events/second
1719502770,1284,0.933748,0.000000,0.000000,0.000000,events/second
1719502800,1307,0.930167,0.000000,0.000000,0.000000,events/second
1719502830,1335,0.930223,0.000000,0.000000,0.000000,events/second
1719502860,1358,0.926862,0.000000,0.000000,0.000000,events/second
1719502891,1381,0.923634,0.000000,0.000000,0.000000,events/second
1719502921,1409,0.923815,0.000000,0.000000,0.000000,events/second
1719502951,1432,0.920771,0.000000,0.000000,0.000000,events/second
1719502981,1455,0.917845,0.000000,0.000000,0.000000,events/second
1719503011,1483,0.918125,0.000000,0.000000,0.000000,events/second
1719503041,1506,0.915353,0.000000,0.000000,0.000000,events/second
1719503071,1534,0.915666,0.000000,0.000000,0.000000,events/second
1719503101,1557,0.913033,0.000000,0.000000,0.000000,events/second
1719503131,1580,0.910492,0.000000,0.000000,0.000000,events/second
1719503161,1608,0.910873,0.000000,0.000000,0.000000,events/second
1719503191,1631,0.908453,0.000000,0.000000,0.000000,events/second
1719503221,1654,0.906113,0.000000,0.000000,0.000000,events/second
1719503251,1687,0.909237,0.000000,0.000000,0.000000,events/second
1719503281,1710,0.906961,0.000000,0.000000,0.000000,events/second
1719503311,1733,0.904750,0.000000,0.000000,0.000000,events/second
1719503341,1761,0.905179,0.000000,0.000000,0.000000,events/second
1719503371,1784,0.903064,0.000000,0.000000,0.000000,events/second
1719503401,1812,0.903506,0.000000,0.000000,0.000000,events/second
1719503431,1835,0.901481,0.000000,0.000000,0.000000,events/second
1719503461,1858,0.899511,0.000000,0.000000,0.000000,events/second
1719503491,1886,0.899983,0.000000,0.000000,0.000000,events/second
1719503521,1909,0.898089,0.000000,0.000000,0.000000,events/second
1719503551,1932,0.896250,0.000000,0.000000,0.000000,events/second
1719503582,1960,0.896750,0.000000,0.000000,0.000000,events/second
1719503612,1983,0.894980,0.000000,0.000000,0.000000,events/second
1719503642,2011,0.895486,0.000000,0.000000,0.000000,events/second
1719503672,2034,0.893779,0.000000,0.000000,0.000000,events/second
1719503702,2057,0.892115,0.000000,0.000000,0.000000,events/second
1719503732,2085,0.892637,0.000000,0.000000,0.000000,events/second
1719503762,2108,0.891031,0.000000,0.000000,0.000000,events/second
1719503792,2131,0.889464,0.000000,0.000000,0.000000,events/second
1719503822,2159,0.889997,0.000000,0.000000,0.000000,events/second
1719503852,2182,0.888482,0.000000,0.000000,0.000000,events/second
1719503882,2215,0.891024,0.000000,0.000000,0.000000,events/second
1719503912,2238,0.889527,0.000000,0.000000,0.000000,events/second
1719503942,2261,0.888069,0.000000,0.000000,0.000000,events/second
1719503972,2289,0.888584,0.000000,0.000000,0.000000,events/second
1719504002,2312,0.887173,0.000000,0.000000,0.000000,events/second
1719504032,2340,0.887690,0.000000,0.000000,0.000000,events/second
1719504062,2379,0.892321,0.000000,0.000000,0.000000,events/second
1719504092,2407,0.892770,0.000000,0.000000,0.000000,events/second
1719504122,2439,0.894677,0.000000,0.000000,0.000000,events/second
1719504152,2468,0.895452,0.000000,0.000000,0.000000,events/second
1719504182,2496,0.895852,0.000000,0.000000,0.000000,events/second
1719504212,2524,0.896246,0.000000,0.000000,0.000000,events/second
1719504270,60,1.836297,0.000000,0.000000,0.000000,events/second
1719504300,96,1.530434,0.000000,0.000000,0.000000,events/second
1719504330,141,1.520254,0.000000,0.000000,0.000000,events/second
1719504360,168,1.368224,0.000000,0.000000,0.000000,events/second
1719504390,204,1.335026,0.000000,0.000000,0.000000,events/second
1719504420,231,1.263457,0.000000,0.000000,0.000000,events/second
1719504450,258,1.212086,0.000000,0.000000,0.000000,events/second
1719504480,294,1.210446,0.000000,0.000000,0.000000,events/second
1719504510,321,1.176249,0.000000,0.000000,0.000000,events/second
1719504540,348,1.148831,0.000000,0.000000,0.000000,events/second
1719504570,384,1.153352,0.000000,0.000000,0.000000,events/second
1719504600,411,1.132333,0.000000,0.000000,0.000000,events/second
1719504630,438,1.114520,0.000000,0.000000,0.000000,events/second
1719504660,474,1.120524,0.000000,0.000000,0.000000,events/second
1719504690,501,1.105875,0.000000,0.000000,0.000000,events/second
1719504720,537,1.111664,0.000000,0.000000,0.000000,events/second
1719504750,564,1.099240,0.000000,0.000000,0.000000,events/second
1719504780,591,1.088195,0.000000,0.000000,0.000000,events/second
1719504810,627,1.094006,0.000000,0.000000,0.000000,events/second
1719504840,654,1.084301,0.000000,0.000000,0.000000,events/second
1719504870,695,1.097645,0.000000,0.000000,0.000000,events/second
1719504900,722,1.088659,0.000000,0.000000,0.000000,events/second
1719504930,749,1.080458,0.000000,0.000000,0.000000,events/second
1719504960,785,1.085375,0.000000,0.000000,0.000000,events/second
1719504991,812,1.077959,0.000000,0.000000,0.000000,events/second
1719505021,848,1.082600,0.000000,0.000000,0.000000,events/second
1719505051,875,1.075831,0.000000,0.000000,0.000000,events/second
1719505081,902,1.069543,0.000000,0.000000,0.000000,events/second
1719505111,938,1.073992,0.000000,0.000000,0.000000,events/second
1719505141,965,1.068183,0.000000,0.000000,0.000000,events/second
1719505171,992,1.062756,0.000000,0.000000,0.000000,events/second
1719505201,1028,1.067009,0.000000,0.000000,0.000000,events/second
1719505231,1055,1.061944,0.000000,0.000000,0.000000,events/second
1719505261,1091,1.065965,0.000000,0.000000,0.000000,events/second
1719505291,1118,1.061213,0.000000,0.000000,0.000000,events/second
1719505321,1145,1.056730,0.000000,0.000000,0.000000,events/second
1719505351,1181,1.060566,0.000000,0.000000,0.000000,events/second
1719505381,1208,1.056332,0.000000,0.000000,0.000000,events/second
1719505411,1235,1.052325,0.000000,0.000000,0.000000,events/second
1719505441,1271,1.055990,0.000000,0.000000,0.000000,events/second
1719505471,1303,1.056234,0.000000,0.000000,0.000000,events/second
