t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,38,1.570619,0.000000,0.000000,0.000000,events/second
1719501450,61,1.124976,0.000000,0.000000,0.000000,events/second
1719501480,98,1.163236,0.000000,0.000000,0.000000,events/second
1719501510,121,1.058895,0.000000,0.000000,0.000000,events/second
1719501540,149,1.032678,0.000000,0.000000,0.000000,events/second
1719501570,172,0.986778,0.000000,0.000000,0.000000,events/second
1719501600,200,0.978811,0.000000,0.000000,0.000000,events/second
1719501630,223,0.951562,0.000000,0.000000,0.000000,events/second
1719501660,251,0.949410,0.000000,0.000000,0.000000,events/second
1719501690,274,0.930718,0.000000,0.000000,0.000000,events/second
1719501720,302,0.930910,0.000000,0.000000,0.000000,events/second
1719501750,325,0.916967,0.000000,0.000000,0.000000,events/second
1719501780,348,0.905208,0.000000,0.000000,0.000000,events/second
1719501810,376,0.907208,0.000000,0.000000,0.000000,events/second
1719501840,399,0.897674,0.000000,0.000000,0.000000,events/second
1719501870,427,0.899903,0.000000,0.000000,0.000000,events/second
1719501900,450,0.891957,0.000000,0.000000,0.000000,events/second
1719501930,473,0.884903,0.000000,0.000000,0.000000,events/second
1719501960,501,0.887459,0.000000,0.000000,0.000000,events/second
1719501990,524,0.881344,0.000000,0.000000,0.000000,events/second
1719502020,557,0.891827,0.000000,0.000000,0.000000,events/second
1719502050,580,0.886057,0.000000,0.000000,0.000000,events/second
1719502080,603,0.880794,0.000000,0.000000,0.000000,events/second
1719502110,631,0.882973,0.000000,0.000000,0.000000,events/second
1719502140,654,0.878250,0.000000,0.000000,0.000000,events/second
1719502170,682,0.880355,0.000000,0.000000,0.000000,events/second
1719502200,705,0.876090,0.000000,0.000000,0.000000,events/second
1719502230,728,0.872140,0.000000,0.000000,0.000000,events/second
1719502260,756,0.874244,0.000000,0.000000,0.000000,events/second
1719502290,779,0.870618,0.000000,0.000000,0.000000,events/second
1719502320,802,0.867230,0.000000,0.000000,0.000000,events/second
1719502350,830,0.869289,0.000000,0.000000,0.000000,events/second
1719502380,853,0.866144,0.000000,0.000000,0.000000,events/second
1719502410,881,0.868112,0.000000,0.000000,0.000000,events/second
