t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,102,4.215770,0.000000,0.000000,0.000000,events/second
1719501450,102,1.881110,0.000000,0.000000,0.000000,events/second
1719501480,102,1.210716,0.000000,0.000000,0.000000,events/second
1719501510,102,0.892622,0.000000,0.000000,0.000000,events/second
1719501540,102,0.706934,0.000000,0.000000,0.000000,events/second
1719501570,102,0.585183,0.000000,0.000000,0.000000,events/second
1719501600,102,0.499194,0.000000,0.000000,0.000000,events/second
1719501630,102,0.435243,0.000000,0.000000,0.000000,events/second
1719501660,102,0.385816,0.000000,0.000000,0.000000,events/second
1719501690,102,0.346472,0.000000,0.000000,0.000000,events/second
1719501720,102,0.314413,0.000000,0.000000,0.000000,events/second
1719501750,102,0.287787,0.000000,0.000000,0.000000,events/second
1719501780,102,0.265320,0.000000,0.000000,0.000000,events/second
1719501810,102,0.246104,0.000000,0.000000,0.000000,events/second
1719501840,102,0.229481,0.000000,0.000000,0.000000,events/second
1719501870,102,0.214965,0.000000,0.000000,0.000000,events/second
1719501900,102,0.202177,0.000000,0.000000,0.000000,events/second
1719501930,102,0.190825,0.000000,0.000000,0.000000,events/second
1719501960,102,0.180680,0.000000,0.000000,0.000000,events/second
1719501990,102,0.171559,0.000000,0.000000,0.000000,events/second
1719502020,102,0.163315,0.000000,0.000000,0.000000,events/second
1719502050,102,0.155824,0.000000,0.000000,0.000000,events/second
1719502080,102,0.148990,0.000000,0.000000,0.000000,events/second
1719502110,102,0.142731,0.000000,0.000000,0.000000,events/second
1719502140,102,0.136975,0.000000,0.000000,0.000000,events/second
1719502170,102,0.131666,0.000000,0.000000,0.000000,events/second
1719502200,102,0.126753,0.000000,0.000000,0.000000,events/second
1719502230,102,0.122195,0.000000,0.000000,0.000000,events/second
1719502260,102,0.117954,0.000000,0.000000,0.000000,events/second
1719502290,102,0.113996,0.000000,0.000000,0.000000,events/second
1719502320,102,0.110296,0.000000,0.000000,0.000000,events/second
1719502350,102,0.106828,0.000000,0.000000,0.000000,events/second
1719502380,102,0.103572,0.000000,0.000000,0.000000,events/second
1719502410,102,0.100508,0.000000,0.000000,0.000000,events/second
1719502440,102,0.097620,0.000000,0.000000,0.000000,events/second
1719502470,102,0.094894,0.000000,0.000000,0.000000,events/second
1719502500,102,0.092316,0.000000,0.000000,0.000000,events/second
1719502530,102,0.089874,0.000000,0.000000,0.000000,events/second
1719502560,102,0.087558,0.000000,0.000000,0.000000,events/second
1719502590,102,0.085358,0.000000,0.000000,0.000000,events/second
1719502620,102,0.083266,0.000000,0.000000,0.000000,events/second
1719502650,102,0.081274,0.000000,0.000000,0.000000,events/second
1719502680,102,0.079375,0.000000,0.000000,0.000000,events/second
1719502710,102,0.077563,0.000000,0.000000,0.000000,events/second
1719502740,102,0.075832,0.000000,0.000000,0.000000,events/second
1719502770,102,0.074176,0.000000,0.000000,0.000000,events/second
1719502800,102,0.072591,0.000000,0.000000,0.000000,events/second
