t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,103,4.257302,0.000000,0.000000,0.000000,events/second
1719501450,103,1.899615,0.000000,0.000000,0.000000,events/second
1719501480,103,1.222612,0.000000,0.000000,0.000000,events/second
1719501510,103,0.901387,0.000000,0.000000,0.000000,events/second
1719501540,103,0.713874,0.000000,0.000000,0.000000,events/second
1719501570,103,0.590926,0.000000,0.000000,0.000000,events/second
1719501600,103,0.504092,0.000000,0.000000,0.000000,events/second
1719501630,103,0.439514,0.000000,0.000000,0.000000,events/second
1719501660,103,0.389601,0.000000,0.000000,0.000000,events/second
1719501690,103,0.349871,0.000000,0.000000,0.000000,events/second
1719501720,103,0.317498,0.000000,0.000000,0.000000,events/second
1719501750,103,0.290610,0.000000,0.000000,0.000000,events/second
1719501780,103,0.267922,0.000000,0.000000,0.000000,events/second
1719501810,103,0.248518,0.000000,0.000000,0.000000,events/second
1719501840,103,0.231731,0.000000,0.000000,0.000000,events/second
1719501870,103,0.217073,0.000000,0.000000,0.000000,events/second
1719501900,103,0.204160,0.000000,0.000000,0.000000,events/second
1719501930,103,0.192696,0.000000,0.000000,0.000000,events/second
1719501960,103,0.182452,0.000000,0.000000,0.000000,events/second
1719501990,103,0.173242,0.000000,0.000000,0.000000,events/second
1719502020,103,0.164916,0.000000,0.000000,0.000000,events/second
1719502050,103,0.157352,0.000000,0.000000,0.000000,events/second
1719502080,103,0.150451,0.000000,0.000000,0.000000,events/second
1719502110,103,0.144131,0.000000,0.000000,0.000000,events/second
1719502140,103,0.138318,0.000000,0.000000,0.000000,events/second
1719502170,103,0.132957,0.000000,0.000000,0.000000,events/second
1719502200,103,0.127996,0.000000,0.000000,0.000000,events/second
1719502230,103,0.123394,0.000000,0.000000,0.000000,events/second
1719502260,103,0.119110,0.000000,0.000000,0.000000,events/second
1719502290,103,0.115114,0.000000,0.000000,0.000000,events/second
1719502320,103,0.111378,0.000000,0.000000,0.000000,events/second
1719502350,103,0.107876,0.000000,0.000000,0.000000,events/second
1719502380,103,0.104587,0.000000,0.000000,0.000000,events/second
1719502410,103,0.101493,0.000000,0.000000,0.000000,events/second
1719502440,103,0.098578,0.000000,0.000000,0.000000,events/second
1719502470,103,0.095825,0.000000,0.000000,0.000000,events/second
1719502500,103,0.093221,0.000000,0.000000,0.000000,events/second
1719502530,103,0.090755,0.000000,0.000000,0.000000,events/second
