t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,4,0.165307,0.000000,0.000000,0.000000,events/second
1719501450,7,0.129093,0.000000,0.000000,0.000000,events/second
1719501480,7,0.083087,0.000000,0.000000,0.000000,events/second
1719501510,7,0.061258,0.000000,0.000000,0.000000,events/second
1719501540,7,0.048515,0.000000,0.000000,0.000000,events/second
1719501570,7,0.040159,0.000000,0.000000,0.000000,events/second
1719501600,7,0.034258,0.000000,0.000000,0.000000,events/second
1719501630,7,0.029869,0.000000,0.000000,0.000000,events/second
1719501660,7,0.026477,0.000000,0.000000,0.000000,events/second
1719501690,7,0.023777,0.000000,0.000000,0.000000,events/second
1719501720,7,0.021577,0.000000,0.000000,0.000000,events/second
1719501750,7,0.019750,0.000000,0.000000,0.000000,events/second
1719501780,7,0.018208,0.000000,0.000000,0.000000,events/second
1719501810,7,0.016889,0.000000,0.000000,0.000000,events/second
1719501840,7,0.015749,0.000000,0.000000,0.000000,events/second
1719501870,7,0.014752,0.000000,0.000000,0.000000,events/second
1719501900,7,0.013875,0.000000,0.000000,0.000000,events/second
1719501930,7,0.013096,0.000000,0.000000,0.000000,events/second
1719501960,7,0.012400,0.000000,0.000000,0.000000,events/second
1719501990,7,0.011774,0.000000,0.000000,0.000000,events/second
1719502020,7,0.011208,0.000000,0.000000,0.000000,events/second
1719502050,7,0.010694,0.000000,0.000000,0.000000,events/second
1719502080,7,0.010225,0.000000,0.000000,0.000000,events/second
1719502110,7,0.009795,0.000000,0.000000,0.000000,events/second
1719502140,7,0.009400,0.000000,0.000000,0.000000,events/second
1719502170,7,0.009036,0.000000,0.000000,0.000000,events/second
1719502200,7,0.008699,0.000000,0.000000,0.000000,events/second
1719502230,7,0.008386,0.000000,0.000000,0.000000,events/second
1719502260,7,0.008095,0.000000,0.000000,0.000000,events/second
1719502290,7,0.007823,0.000000,0.000000,0.000000,events/second
1719502320,7,0.007569,0.000000,0.000000,0.000000,events/second
1719502350,7,0.007331,0.000000,0.000000,0.000000,events/second
1719502380,7,0.007108,0.000000,0.000000,0.000000,events/second
1719502410,7,0.006898,0.000000,0.000000,0.000000,events/second
1719502440,7,0.006699,0.000000,0.000000,0.000000,events/second
1719502470,7,0.006512,0.000000,0.000000,0.000000,events/second
1719502500,7,0.006335,0.000000,0.000000,0.000000,events/second
1719502530,7,0.006168,0.000000,0.000000,0.000000,events/second
1719502560,7,0.006009,0.000000,0.000000,0.000000,events/second
1719502590,7,0.005858,0.000000,0.000000,0.000000,events/second
1719502620,7,0.005714,0.000000,0.000000,0.000000,events/second
1719502650,7,0.005578,0.000000,0.000000,0.000000,events/second
1719502680,7,0.005447,0.000000,0.000000,0.000000,events/second
1719502710,7,0.005323,0.000000,0.000000,0.000000,events/second
1719502740,7,0.005204,0.000000,0.000000,0.000000,events/second
1719502770,7,0.005091,0.000000,0.000000,0.000000,events/second
1719502800,7,0.004982,0.000000,0.000000,0.000000,events/second
1719502830,7,0.004878,0.000000,0.000000,0.000000,events/second
1719502860,7,0.004778,0.000000,0.000000,0.000000,events/second
1719502891,7,0.004682,0.000000,0.000000,0.000000,events/second
1719502921,7,0.004590,0.000000,0.000000,0.000000,events/second
1719502951,7,0.004501,0.000000,0.000000,0.000000,events/second
1719502981,7,0.004416,0.000000,0.000000,0.000000,events/second
1719503011,7,0.004334,0.000000,0.000000,0.000000,events/second
1719503041,7,0.004255,0.000000,0.000000,0.000000,events/second
1719503071,7,0.004178,0.000000,0.000000,0.000000,events/second
1719503101,7,0.004105,0.000000,0.000000,0.000000,events/second
1719503131,7,0.004034,0.000000,0.000000,0.000000,events/second
1719503161,7,0.003965,0.000000,0.000000,0.000000,events/second
1719503191,7,0.003899,0.000000,0.000000,0.000000,events/second
1719503221,7,0.003835,0.000000,0.000000,0.000000,events/second
1719503251,7,0.003773,0.000000,0.000000,0.000000,events/second
1719503281,7,0.003713,0.000000,0.000000,0.000000,events/second
1719503311,7,0.003654,0.000000,0.000000,0.000000,events/second
1719503341,7,0.003598,0.000000,0.000000,0.000000,events/second
1719503371,7,0.003543,0.000000,0.000000,0.000000,events/second
1719503401,7,0.003490,0.000000,0.000000,0.000000,events/second
1719503431,7,0.003439,0.000000,0.000000,0.000000,events/second
1719503461,7,0.003389,0.000000,0.000000,0.000000,events/second
1719503491,7,0.003340,0.000000,0.000000,0.000000,events/second
1719503521,7,0.003293,0.000000,0.000000,0.000000,events/second
1719503551,7,0.003247,0.000000,0.000000,0.000000,events/second
1719503582,7,0.003203,0.000000,0.000000,0.000000,events/second
1719503612,7,0.003159,0.000000,0.000000,0.000000,events/second
1719503642,7,0.003117,0.000000,0.000000,0.000000,events/second
1719503672,7,0.003076,0.000000,0.000000,0.000000,events/second
1719503702,7,0.003036,0.000000,0.000000,0.000000,events/second
1719503732,7,0.002997,0.000000,0.000000,0.000000,events/second
1719503762,7,0.002959,0.000000,0.000000,0.000000,events/second
1719503792,7,0.002922,0.000000,0.000000,0.000000,events/second
1719503822,7,0.002886,0.000000,0.000000,0.000000,events/second
1719503852,7,0.002850,0.000000,0.000000,0.000000,events/second
1719503882,7,0.002816,0.000000,0.000000,0.000000,events/second
1719503912,7,0.002782,0.000000,0.000000,0.000000,events/second
1719503942,7,0.002749,0.000000,0.000000,0.000000,events/second
1719503972,7,0.002717,0.000000,0.000000,0.000000,events/second
1719504002,7,0.002686,0.000000,0.000000,0.000000,events/second
1719504032,7,0.002655,0.000000,0.000000,0.000000,events/second
1719504062,7,0.002626,0.000000,0.000000,0.000000,events/second
1719504092,7,0.002596,0.000000,0.000000,0.000000,events/second
1719504122,7,0.002568,0.000000,0.000000,0.000000,events/second
1719504152,7,0.002540,0.000000,0.000000,0.000000,events/second
1719504182,7,0.002512,0.000000,0.000000,0.000000,events/second
1719504212,7,0.002486,0.000000,0.000000,0.000000,events/second
1719504270,11,0.336617,0.000000,0.000000,0.000000,events/second
1719504300,11,0.175359,0.000000,0.000000,0.000000,events/second
1719504330,11,0.118600,0.000000,0.000000,0.000000,events/second
1719504360,11,0.089585,0.000000,0.000000,0.000000,events/second
1719504390,11,0.071986,0.000000,0.000000,0.000000,events/second
1719504420,11,0.060164,0.000000,0.000000,0.000000,events/second
1719504450,11,0.051678,0.000000,0.000000,0.000000,events/second
1719504480,11,0.045289,0.000000,0.000000,0.000000,events/second
1719504510,11,0.040307,0.000000,0.000000,0.000000,events/second
1719504540,11,0.036314,0.000000,0.000000,0.000000,events/second
1719504570,11,0.033039,0.000000,0.000000,0.000000,events/second
1719504600,11,0.030306,0.000000,0.000000,0.000000,events/second
1719504630,11,0.027990,0.000000,0.000000,0.000000,events/second
1719504660,11,0.026004,0.000000,0.000000,0.000000,events/second
1719504690,11,0.024281,0.000000,0.000000,0.000000,events/second
1719504720,11,0.022771,0.000000,0.000000,0.000000,events/second
1719504750,11,0.021439,0.000000,0.000000,0.000000,events/second
1719504780,11,0.020254,0.000000,0.000000,0.000000,events/second
1719504810,11,0.019193,0.000000,0.000000,0.000000,events/second
1719504840,11,0.018237,0.000000,0.000000,0.000000,events/second
1719504870,11,0.017373,0.000000,0.000000,0.000000,events/second
1719504900,11,0.016586,0.000000,0.000000,0.000000,events/second
1719504930,11,0.015868,0.000000,0.000000,0.000000,events/second
1719504960,11,0.015209,0.000000,0.000000,0.000000,events/second
1719504991,11,0.014603,0.000000,0.000000,0.000000,events/second
1719505021,11,0.014043,0.000000,0.000000,0.000000,events/second
1719505051,11,0.013525,0.000000,0.000000,0.000000,events/second
1719505081,11,0.013043,0.000000,0.000000,0.000000,events/second
1719505111,12,0.013740,0.000000,0.000000,0.000000,events/second
1719505141,12,0.013283,0.000000,0.000000,0.000000,events/second
1719505171,12,0.012856,0.000000,0.000000,0.000000,events/second
1719505201,12,0.012455,0.000000,0.000000,0.000000,events/second
1719505231,12,0.012079,0.000000,0.000000,0.000000,events/second
1719505261,12,0.011725,0.000000,0.000000,0.000000,events/second
1719505291,12,0.011390,0.000000,0.000000,0.000000,events/second
1719505321,12,0.011075,0.000000,0.000000,0.000000,events/second
1719505351,12,0.010776,0.000000,0.000000,0.000000,events/second
1719505381,12,0.010493,0.000000,0.000000,0.000000,events/second
1719505411,12,0.010225,0.000000,0.000000,0.000000,events/second
1719505441,12,0.009970,0.000000,0.000000,0.000000,events/second
1719505471,12,0.009727,0.000000,0.000000,0.000000,events/second
1719505501,12,0.009496,0.000000,0.000000,0.000000,events/second
1719505531,12,0.009276,0.000000,0.000000,0.000000,events/second
1719505561,12,0.009065,0.000000,0.000000,0.000000,events/second
1719505591,12,0.008864,0.000000,0.000000,0.000000,events/second
1719505621,12,0.008672,0.000000,0.000000,0.000000,events/second
1719505651,12,0.008488,0.000000,0.000000,0.000000,events/second
1719505681,12,0.008311,0.000000,0.000000,0.000000,events/second
1719505711,12,0.008142,0.000000,0.000000,0.000000,events/second
1719505741,12,0.007980,0.000000,0.000000,0.000000,events/second
1719505771,12,0.007823,0.000000,0.000000,0.000000,events/second
1719505801,12,0.007673,0.000000,0.000000,0.000000,events/second
1719505831,12,0.007529,0.000000,0.000000,0.000000,events/second
1719505861,12,0.007390,0.000000,0.000000,0.000000,events/second
1719505891,12,0.007255,0.000000,0.000000,0.000000,events/second
1719505921,12,0.007126,0.000000,0.000000,0.000000,events/second
1719505951,12,0.007001,0.000000,0.000000,0.000000,events/second
1719505980,2,0.147972,0.000000,0.000000,0.000000,events/second
1719506010,2,0.045927,0.000000,0.000000,0.000000,events/second
1719506040,6,0.081545,0.000000,0.000000,0.000000,events/second
1719506070,6,0.057906,0.000000,0.000000,0.000000,events/second
1719506100,6,0.044895,0.000000,0.000000,0.000000,events/second
1719506130,6,0.036659,0.000000,0.000000,0.000000,events/second
1719506160,6,0.030976,0.000000,0.000000,0.000000,events/second
