t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,118,4.876563,0.000000,0.000000,0.000000,events/second
1719501450,120,2.213068,0.000000,0.000000,0.000000,events/second
1719501480,128,1.519329,0.000000,0.000000,0.000000,events/second
1719501510,130,1.137652,0.000000,0.000000,0.000000,events/second
1719501540,134,0.928719,0.000000,0.000000,0.000000,events/second
1719501570,136,0.780244,0.000000,0.000000,0.000000,events/second
1719501600,140,0.685168,0.000000,0.000000,0.000000,events/second
1719501630,142,0.605927,0.000000,0.000000,0.000000,events/second
1719501660,146,0.552247,0.000000,0.000000,0.000000,events/second
1719501690,148,0.502724,0.000000,0.000000,0.000000,events/second
1719501720,152,0.468538,0.000000,0.000000,0.000000,events/second
1719501750,154,0.434502,0.000000,0.000000,0.000000,events/second
1719501780,156,0.405783,0.000000,0.000000,0.000000,events/second
1719501810,160,0.386046,0.000000,0.000000,0.000000,events/second
1719501840,162,0.364469,0.000000,0.000000,0.000000,events/second
1719501870,166,0.349845,0.000000,0.000000,0.000000,events/second
1719501900,168,0.332997,0.000000,0.000000,0.000000,events/second
1719501930,170,0.318042,0.000000,0.000000,0.000000,events/second
1719501960,174,0.308219,0.000000,0.000000,0.000000,events/second
1719501990,176,0.296024,0.000000,0.000000,0.000000,events/second
1719502020,190,0.304214,0.000000,0.000000,0.000000,events/second
1719502050,192,0.293316,0.000000,0.000000,0.000000,events/second
1719502080,194,0.283373,0.000000,0.000000,0.000000,events/second
1719502110,198,0.277066,0.000000,0.000000,0.000000,events/second
1719502140,200,0.268578,0.000000,0.000000,0.000000,events/second
1719502170,204,0.263332,0.000000,0.000000,0.000000,events/second
1719502200,206,0.255992,0.000000,0.000000,0.000000,events/second
1719502230,208,0.249183,0.000000,0.000000,0.000000,events/second
1719502260,212,0.245158,0.000000,0.000000,0.000000,events/second
1719502290,214,0.239169,0.000000,0.000000,0.000000,events/second
1719502320,216,0.233568,0.000000,0.000000,0.000000,events/second
1719502350,220,0.230414,0.000000,0.000000,0.000000,events/second
1719502380,222,0.225421,0.000000,0.000000,0.000000,events/second
1719502410,226,0.222694,0.000000,0.000000,0.000000,events/second
1719502440,228,0.218210,0.000000,0.000000,0.000000,events/second
1719502470,230,0.213977,0.000000,0.000000,0.000000,events/second
