t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,4,0.175592,0.000000,0.000000,0.000000,events/second
1719501450,4,0.075750,0.000000,0.000000,0.000000,events/second
1719501480,4,0.048292,0.000000,0.000000,0.000000,events/second
1719501510,4,0.035445,0.000000,0.000000,0.000000,events/second
1719501540,4,0.027998,0.000000,0.000000,0.000000,events/second
1719501570,4,0.023137,0.000000,0.000000,0.000000,events/second
1719501600,4,0.019713,0.000000,0.000000,0.000000,events/second
1719501630,4,0.017172,0.000000,0.000000,0.000000,events/second
1719501660,4,0.015212,0.000000,0.000000,0.000000,events/second
1719501690,4,0.013653,0.000000,0.000000,0.000000,events/second
1719501720,4,0.012384,0.000000,0.000000,0.000000,events/second
1719501750,4,0.011331,0.000000,0.000000,0.000000,events/second
1719501780,4,0.010443,0.000000,0.000000,0.000000,events/second
1719501810,4,0.009684,0.000000,0.000000,0.000000,events/second
1719501840,4,0.009028,0.000000,0.000000,0.000000,events/second
1719501870,4,0.008455,0.000000,0.000000,0.000000,events/second
1719501900,4,0.007951,0.000000,0.000000,0.000000,events/second
1719501930,4,0.007503,0.000000,0.000000,0.000000,events/second
1719501960,4,0.007103,0.000000,0.000000,0.000000,events/second
1719501990,4,0.006744,0.000000,0.000000,0.000000,events/second
1719502020,4,0.006419,0.000000,0.000000,0.000000,events/second
1719502050,4,0.006124,0.000000,0.000000,0.000000,events/second
1719502080,4,0.005855,0.000000,0.000000,0.000000,events/second
1719502110,4,0.005608,0.000000,0.000000,0.000000,events/second
1719502140,4,0.005382,0.000000,0.000000,0.000000,events/second
1719502170,4,0.005173,0.000000,0.000000,0.000000,events/second
1719502200,4,0.004980,0.000000,0.000000,0.000000,events/second
1719502230,4,0.004800,0.000000,0.000000,0.000000,events/second
1719502260,4,0.004633,0.000000,0.000000,0.000000,events/second
1719502290,4,0.004478,0.000000,0.000000,0.000000,events/second
1719502320,4,0.004332,0.000000,0.000000,0.000000,events/second
1719502350,4,0.004196,0.000000,0.000000,0.000000,events/second
1719502380,4,0.004067,0.000000,0.000000,0.000000,events/second
1719502410,4,0.003947,0.000000,0.000000,0.000000,events/second
1719502440,4,0.003833,0.000000,0.000000,0.000000,events/second
1719502470,4,0.003726,0.000000,0.000000,0.000000,events/second
