t,value
1719501420,8
1719501450,9
1719501480,9
1719501510,9
1719501540,9
1719501570,9
1719501600,9
1719501630,9
1719501660,9
1719501690,9
1719501720,9
1719501750,9
1719501780,9
1719501810,9
1719501840,9
1719501870,9
1719501900,9
1719501930,9
1719501960,9
1719501990,9
1719502020,9
1719502050,9
1719502080,9
1719502110,9
1719502140,9
1719502170,9
1719502200,9
1719502230,9
1719502260,9
1719502290,9
1719502320,9
1719502350,9
1719502380,9
1719502410,9
1719502440,9
1719502470,9
1719502500,9
1719502530,9
1719502560,9
1719502590,9
1719502620,9
1719502650,9
1719502680,9
1719502710,9
1719502740,6
1719502770,9
1719502800,9
1719502830,9
1719502860,9
1719502891,9
1719502921,9
1719502951,9
1719502981,9
1719503011,9
1719503041,9
1719503071,9
1719503101,9
1719503131,9
1719503161,9
1719503191,9
1719503221,9
1719503251,9
1719503281,9
1719503311,9
1719503341,9
1719503371,9
1719503401,9
1719503431,9
1719503461,9
1719503491,9
1719503521,9
1719503551,9
1719503582,9
1719503612,9
1719503642,9
1719503672,9
1719503702,9
1719503732,9
1719503762,9
1719503792,9
1719503822,9
1719503852,9
1719503882,9
1719503912,9
1719503942,9
1719503972,9
1719504002,9
1719504032,9
1719504062,9
1719504092,9
1719504122,9
1719504152,9
1719504182,9
1719504212,9
1719504270,16
1719504300,16
1719504330,16
1719504360,16
1719504390,15
1719504420,16
1719504450,16
1719504480,16
1719504510,16
1719504540,16
1719504570,16
1719504600,16
1719504630,16
1719504660,16
1719504690,16
1719504720,16
1719504750,16
1719504780,16
1719504810,16
1719504840,16
1719504870,16
1719504900,16
1719504930,16
1719504960,16
1719504991,16
1719505021,16
1719505051,16
1719505081,16
1719505111,16
1719505141,16
1719505171,16
1719505201,16
1719505231,16
1719505261,16
1719505291,16
1719505321,16
1719505351,16
1719505381,16
1719505411,16
1719505441,16
1719505471,16
1719505501,16
1719505531,16
1719505561,16
1719505591,16
1719505621,16
1719505651,16
1719505681,16
1719505711,16
1719505741,16
1719505771,16
1719505801,16
1719505831,16
1719505861,16
1719505891,16
1719505921,16
1719505951,0
1719505980,0
1719506010,2
1719506040,9
1719506070,9
1719506100,9
1719506130,9
1719506160,9
1719506190,9
1719506220,8
1719506250,8
1719506280,8
1719506310,8
1719506340,8
1719506370,10
1719506401,10
1719506431,10
1719506461,10
1719506491,10
1719506521,10
1719506551,5
1719506581,10
