t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,12,0.526758,0.000000,0.000000,0.000000,events/second
1719501450,13,0.246188,0.000000,0.000000,0.000000,events/second
1719501480,13,0.156949,0.000000,0.000000,0.000000,events/second
1719501510,13,0.115195,0.000000,0.000000,0.000000,events/second
1719501540,13,0.090994,0.000000,0.000000,0.000000,events/second
1719501570,13,0.075194,0.000000,0.000000,0.000000,events/second
1719501600,13,0.064067,0.000000,0.000000,0.000000,events/second
1719501630,13,0.055810,0.000000,0.000000,0.000000,events/second
1719501660,13,0.049438,0.000000,0.000000,0.000000,events/second
1719501690,13,0.044372,0.000000,0.000000,0.000000,events/second
1719501720,13,0.040248,0.000000,0.000000,0.000000,events/second
1719501750,13,0.036826,0.000000,0.000000,0.000000,events/second
1719501780,13,0.033940,0.000000,0.000000,0.000000,events/second
1719501810,13,0.031474,0.000000,0.000000,0.000000,events/second
1719501840,13,0.029341,0.000000,0.000000,0.000000,events/second
1719501870,13,0.027480,0.000000,0.000000,0.000000,events/second
1719501900,13,0.025840,0.000000,0.000000,0.000000,events/second
1719501930,13,0.024386,0.000000,0.000000,0.000000,events/second
1719501960,13,0.023086,0.000000,0.000000,0.000000,events/second
1719501990,13,0.021918,0.000000,0.000000,0.000000,events/second
1719502020,13,0.020862,0.000000,0.000000,0.000000,events/second
1719502050,13,0.019903,0.000000,0.000000,0.000000,events/second
1719502080,13,0.019028,0.000000,0.000000,0.000000,events/second
1719502110,13,0.018227,0.000000,0.000000,0.000000,events/second
1719502140,13,0.017491,0.000000,0.000000,0.000000,events/second
1719502170,13,0.016812,0.000000,0.000000,0.000000,events/second
1719502200,13,0.016183,0.000000,0.000000,0.000000,events/second
1719502230,13,0.015600,0.000000,0.000000,0.000000,events/second
1719502260,13,0.015058,0.000000,0.000000,0.000000,events/second
1719502290,13,0.014552,0.000000,0.000000,0.000000,events/second
1719502320,13,0.014079,0.000000,0.000000,0.000000,events/second
1719502350,13,0.013636,0.000000,0.000000,0.000000,events/second
1719502380,13,0.013219,0.000000,0.000000,0.000000,events/second
1719502410,13,0.012828,0.000000,0.000000,0.000000,events/second
1719502440,13,0.012459,0.000000,0.000000,0.000000,events/second
1719502470,13,0.012110,0.000000,0.000000,0.000000,events/second
1719502500,13,0.011781,0.000000,0.000000,0.000000,events/second
1719502530,13,0.011469,0.000000,0.000000,0.000000,events/second
1719502560,13,0.011173,0.000000,0.000000,0.000000,events/second
1719502590,13,0.010892,0.000000,0.000000,0.000000,events/second
1719502620,13,0.010625,0.000000,0.000000,0.000000,events/second
1719502650,13,0.010370,0.000000,0.000000,0.000000,events/second
1719502680,13,0.010128,0.000000,0.000000,0.000000,events/second
1719502710,13,0.009896,0.000000,0.000000,0.000000,events/second
1719502740,13,0.009675,0.000000,0.000000,0.000000,events/second
1719502770,13,0.009464,0.000000,0.000000,0.000000,events/second
1719502800,13,0.009261,0.000000,0.000000,0.000000,events/second
1719502830,13,0.009067,0.000000,0.000000,0.000000,events/second
1719502860,13,0.008881,0.000000,0.000000,0.000000,events/second
1719502891,13,0.008703,0.000000,0.000000,0.000000,events/second
1719502921,13,0.008531,0.000000,0.000000,0.000000,events/second
1719502951,13,0.008367,0.000000,0.000000,0.000000,events/second
1719502981,13,0.008208,0.000000,0.000000,0.000000,events/second
1719503011,13,0.008055,0.000000,0.000000,0.000000,events/second
1719503041,13,0.007908,0.000000,0.000000,0.000000,events/second
1719503071,13,0.007766,0.000000,0.000000,0.000000,events/second
1719503101,13,0.007630,0.000000,0.000000,0.000000,events/second
1719503131,13,0.007498,0.000000,0.000000,0.000000,events/second
