t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,80,3.511706,0.000000,0.000000,0.000000,events/second
1719501450,114,2.158920,0.000000,0.000000,0.000000,events/second
1719501480,232,2.800969,0.000000,0.000000,0.000000,events/second
1719501510,260,2.303914,0.000000,0.000000,0.000000,events/second
1719501540,316,2.211873,0.000000,0.000000,0.000000,events/second
1719501570,344,1.989761,0.000000,0.000000,0.000000,events/second
1719501600,400,1.971313,0.000000,0.000000,0.000000,events/second
1719501630,428,1.837441,0.000000,0.000000,0.000000,events/second
1719501660,484,1.840616,0.000000,0.000000,0.000000,events/second
1719501690,512,1.747578,0.000000,0.000000,0.000000,events/second
1719501720,568,1.758546,0.000000,0.000000,0.000000,events/second
1719501750,596,1.688340,0.000000,0.000000,0.000000,events/second
1719501780,624,1.629148,0.000000,0.000000,0.000000,events/second
1719501810,680,1.646336,0.000000,0.000000,0.000000,events/second
1719501840,708,1.597969,0.000000,0.000000,0.000000,events/second
1719501870,764,1.614963,0.000000,0.000000,0.000000,events/second
1719501900,792,1.574274,0.000000,0.000000,0.000000,events/second
1719501930,820,1.538167,0.000000,0.000000,0.000000,events/second
1719501960,876,1.555637,0.000000,0.000000,0.000000,events/second
1719501990,904,1.524126,0.000000,0.000000,0.000000,events/second
1719502020,960,1.540583,0.000000,0.000000,0.000000,events/second
1719502050,988,1.512633,0.000000,0.000000,0.000000,events/second
1719502080,1016,1.487140,0.000000,0.000000,0.000000,events/second
1719502110,1072,1.503059,0.000000,0.000000,0.000000,events/second
1719502140,1100,1.479999,0.000000,0.000000,0.000000,events/second
1719502170,1156,1.494953,0.000000,0.000000,0.000000,events/second
1719502200,1184,1.473934,0.000000,0.000000,0.000000,events/second
1719502230,1212,1.454443,0.000000,0.000000,0.000000,events/second
1719502260,1268,1.468735,0.000000,0.000000,0.000000,events/second
1719502290,1296,1.450724,0.000000,0.000000,0.000000,events/second
1719502320,1324,1.433887,0.000000,0.000000,0.000000,events/second
1719502350,1380,1.447475,0.000000,0.000000,0.000000,events/second
1719502380,1408,1.431759,0.000000,0.000000,0.000000,events/second
1719502410,1464,1.444604,0.000000,0.000000,0.000000,events/second
1719502440,1492,1.429878,0.000000,0.000000,0.000000,events/second
1719502470,1520,1.415978,0.000000,0.000000,0.000000,events/second
1719502500,1576,1.428206,0.000000,0.000000,0.000000,events/second
1719502530,1604,1.415082,0.000000,0.000000,0.000000,events/second
1719502560,1632,1.402636,0.000000,0.000000,0.000000,events/second
1719502590,1688,1.414271,0.000000,0.000000,0.000000,events/second
1719502620,1716,1.402449,0.000000,0.000000,0.000000,events/second
1719502650,1744,1.391192,0.000000,0.000000,0.000000,events/second
1719502680,1800,1.402278,0.000000,0.000000,0.000000,events/second
1719502710,1828,1.391547,0.000000,0.000000,0.000000,events/second
1719502740,1876,1.396184,0.000000,0.000000,0.000000,events/second
1719502770,1912,1.391877,0.000000,0.000000,0.000000,events/second
1719502800,1940,1.382058,0.000000,0.000000,0.000000,events/second
