t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,1712,75.108866,0.000000,0.000000,0.000000,events/second
1719501450,1900,35.973807,0.000000,0.000000,0.000000,events/second
1719501480,2819,34.029254,0.000000,0.000000,0.000000,events/second
1719501510,3004,26.616209,0.000000,0.000000,0.000000,events/second
1719501540,3479,24.349550,0.000000,0.000000,0.000000,events/second
1719501570,3664,21.191793,0.000000,0.000000,0.000000,events/second
1719501600,4139,20.396951,0.000000,0.000000,0.000000,events/second
1719501630,4324,18.562341,0.000000,0.000000,0.000000,events/second
1719501660,4799,18.249403,0.000000,0.000000,0.000000,events/second
1719501690,4984,17.010883,0.000000,0.000000,0.000000,events/second
1719501720,5459,16.900613,0.000000,0.000000,0.000000,events/second
1719501750,5644,15.987696,0.000000,0.000000,0.000000,events/second
1719501780,6090,15.899360,0.000000,0.000000,0.000000,events/second
1719501810,6304,15.262058,0.000000,0.000000,0.000000,events/second
1719501840,6750,15.234462,0.000000,0.000000,0.000000,events/second
1719501870,6964,14.720311,0.000000,0.000000,0.000000,events/second
1719501900,7410,14.728650,0.000000,0.000000,0.000000,events/second
1719501930,7595,14.246486,0.000000,0.000000,0.000000,events/second
1719501960,8070,14.330731,0.000000,0.000000,0.000000,events/second
1719501990,8255,13.917487,0.000000,0.000000,0.000000,events/second
1719502020,8780,14.089644,0.000000,0.000000,0.000000,events/second
1719502050,8965,13.725204,0.000000,0.000000,0.000000,events/second
1719502080,9411,13.774830,0.000000,0.000000,0.000000,events/second
1719502110,9625,13.495052,0.000000,0.000000,0.000000,events/second
1719502140,10071,13.549848,0.000000,0.000000,0.000000,events/second
1719502170,10285,13.300481,0.000000,0.000000,0.000000,events/second
1719502200,10731,13.358568,0.000000,0.000000,0.000000,events/second
1719502230,10916,13.099396,0.000000,0.000000,0.000000,events/second
1719502260,11391,13.194111,0.000000,0.000000,0.000000,events/second
1719502290,11576,12.957834,0.000000,0.000000,0.000000,events/second
1719502320,12235,13.250289,0.000000,0.000000,0.000000,events/second
1719502350,12457,13.065921,0.000000,0.000000,0.000000,events/second
1719502380,12922,13.139890,0.000000,0.000000,0.000000,events/second
1719502410,13144,12.969704,0.000000,0.000000,0.000000,events/second
1719502440,13609,13.042212,0.000000,0.000000,0.000000,events/second
1719502470,13798,12.853584,0.000000,0.000000,0.000000,events/second
1719502500,14296,12.955213,0.000000,0.000000,0.000000,events/second
1719502530,14485,12.778830,0.000000,0.000000,0.000000,events/second
1719502560,14950,12.848773,0.000000,0.000000,0.000000,events/second
1719502590,15172,12.711551,0.000000,0.000000,0.000000,events/second
1719502620,15637,12.779648,0.000000,0.000000,0.000000,events/second
1719502650,15876,12.664192,0.000000,0.000000,0.000000,events/second
1719502680,16374,12.755939,0.000000,0.000000,0.000000,events/second
1719502710,16563,12.608307,0.000000,0.000000,0.000000,events/second
1719502740,17059,12.695781,0.000000,0.000000,0.000000,events/second
1719502770,17250,12.557359,0.000000,0.000000,0.000000,events/second
1719502800,17715,12.620072,0.000000,0.000000,0.000000,events/second
1719502830,17937,12.510709,0.000000,0.000000,0.000000,events/second
1719502860,18402,12.571804,0.000000,0.000000,0.000000,events/second
1719502891,18591,12.445667,0.000000,0.000000,0.000000,events/second
1719502921,19089,12.527318,0.000000,0.000000,0.000000,events/second
1719502951,19278,12.406923,0.000000,0.000000,0.000000,events/second
1719502981,19743,12.465376,0.000000,0.000000,0.000000,events/second
1719503011,19965,12.371112,0.000000,0.000000,0.000000,events/second
1719503041,20430,12.428074,0.000000,0.000000,0.000000,events/second
1719503071,20652,12.337831,0.000000,0.000000,0.000000,events/second
1719503101,21117,12.393347,0.000000,0.000000,0.000000,events/second
