t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,310,13.598768,0.000000,0.000000,0.000000,events/second
1719501450,310,5.869184,0.000000,0.000000,0.000000,events/second
1719501480,318,3.838608,0.000000,0.000000,0.000000,events/second
1719501510,318,2.817510,0.000000,0.000000,0.000000,events/second
1719501540,318,2.225653,0.000000,0.000000,0.000000,events/second
1719501570,318,1.839223,0.000000,0.000000,0.000000,events/second
1719501600,318,1.567085,0.000000,0.000000,0.000000,events/second
1719501630,318,1.365118,0.000000,0.000000,0.000000,events/second
1719501660,318,1.209266,0.000000,0.000000,0.000000,events/second
1719501690,318,1.085358,0.000000,0.000000,0.000000,events/second
1719501720,318,0.984496,0.000000,0.000000,0.000000,events/second
1719501750,318,0.900790,0.000000,0.000000,0.000000,events/second
1719501780,318,0.830209,0.000000,0.000000,0.000000,events/second
1719501810,318,0.769878,0.000000,0.000000,0.000000,events/second
1719501840,318,0.717709,0.000000,0.000000,0.000000,events/second
1719501870,318,0.672177,0.000000,0.000000,0.000000,events/second
1719501900,318,0.632077,0.000000,0.000000,0.000000,events/second
1719501930,318,0.596493,0.000000,0.000000,0.000000,events/second
1719501960,318,0.564703,0.000000,0.000000,0.000000,events/second
1719501990,318,0.536129,0.000000,0.000000,0.000000,events/second
1719502020,318,0.510307,0.000000,0.000000,0.000000,events/second
1719502050,318,0.486849,0.000000,0.000000,0.000000,events/second
1719502080,318,0.465454,0.000000,0.000000,0.000000,events/second
1719502110,318,0.445861,0.000000,0.000000,0.000000,events/second
1719502140,318,0.427846,0.000000,0.000000,0.000000,events/second
1719502170,318,0.411234,0.000000,0.000000,0.000000,events/second
1719502200,318,0.395864,0.000000,0.000000,0.000000,events/second
1719502230,318,0.381605,0.000000,0.000000,0.000000,events/second
1719502260,318,0.368336,0.000000,0.000000,0.000000,events/second
1719502290,318,0.355959,0.000000,0.000000,0.000000,events/second
1719502320,333,0.360632,0.000000,0.000000,0.000000,events/second
1719502350,333,0.349277,0.000000,0.000000,0.000000,events/second
1719502380,333,0.338614,0.000000,0.000000,0.000000,events/second
1719502410,333,0.328584,0.000000,0.000000,0.000000,events/second
1719502440,333,0.319131,0.000000,0.000000,0.000000,events/second
1719502470,333,0.310207,0.000000,0.000000,0.000000,events/second
1719502500,333,0.301768,0.000000,0.000000,0.000000,events/second
1719502530,333,0.293776,0.000000,0.000000,0.000000,events/second
1719502560,333,0.286196,0.000000,0.000000,0.000000,events/second
1719502590,333,0.278997,0.000000,0.000000,0.000000,events/second
1719502620,333,0.272150,0.000000,0.000000,0.000000,events/second
1719502650,333,0.265632,0.000000,0.000000,0.000000,events/second
1719502680,333,0.259419,0.000000,0.000000,0.000000,events/second
1719502710,333,0.253490,0.000000,0.000000,0.000000,events/second
1719502740,333,0.247827,0.000000,0.000000,0.000000,events/second
1719502770,333,0.242411,0.000000,0.000000,0.000000,events/second
1719502800,333,0.237227,0.000000,0.000000,0.000000,events/second
1719502830,333,0.232261,0.000000,0.000000,0.000000,events/second
1719502860,333,0.227497,0.000000,0.000000,0.000000,events/second
1719502891,333,0.222925,0.000000,0.000000,0.000000,events/second
1719502921,333,0.218534,0.000000,0.000000,0.000000,events/second
1719502951,333,0.214312,0.000000,0.000000,0.000000,events/second
1719502981,333,0.210250,0.000000,0.000000,0.000000,events/second
1719503011,333,0.206340,0.000000,0.000000,0.000000,events/second
1719503041,333,0.202572,0.000000,0.000000,0.000000,events/second
1719503071,333,0.198939,0.000000,0.000000,0.000000,events/second
1719503101,333,0.195434,0.000000,0.000000,0.000000,events/second
1719503131,333,0.192050,0.000000,0.000000,0.000000,events/second
1719503161,333,0.188782,0.000000,0.000000,0.000000,events/second
1719503191,333,0.185624,0.000000,0.000000,0.000000,events/second
1719503221,333,0.182568,0.000000,0.000000,0.000000,events/second
1719503251,333,0.179612,0.000000,0.000000,0.000000,events/second
1719503281,333,0.176750,0.000000,0.000000,0.000000,events/second
1719503311,333,0.173977,0.000000,0.000000,0.000000,events/second
1719503341,333,0.171290,0.000000,0.000000,0.000000,events/second
1719503371,333,0.168685,0.000000,0.000000,0.000000,events/second
1719503401,333,0.166158,0.000000,0.000000,0.000000,events/second
1719503431,333,0.163706,0.000000,0.000000,0.000000,events/second
1719503461,333,0.161324,0.000000,0.000000,0.000000,events/second
1719503491,333,0.159011,0.000000,0.000000,0.000000,events/second
1719503521,333,0.156763,0.000000,0.000000,0.000000,events/second
1719503551,333,0.154579,0.000000,0.000000,0.000000,events/second
1719503582,333,0.152454,0.000000,0.000000,0.000000,events/second
1719503612,333,0.150387,0.000000,0.000000,0.000000,events/second
1719503642,333,0.148376,0.000000,0.000000,0.000000,events/second
1719503672,333,0.146417,0.000000,0.000000,0.000000,events/second
1719503702,333,0.144509,0.000000,0.000000,0.000000,events/second
1719503732,333,0.142651,0.000000,0.000000,0.000000,events/second
1719503762,333,0.140839,0.000000,0.000000,0.000000,events/second
1719503792,333,0.139073,0.000000,0.000000,0.000000,events/second
1719503822,333,0.137351,0.000000,0.000000,0.000000,events/second
1719503852,333,0.135671,0.000000,0.000000,0.000000,events/second
1719503882,333,0.134031,0.000000,0.000000,0.000000,events/second
1719503912,333,0.132430,0.000000,0.000000,0.000000,events/second
1719503942,333,0.130867,0.000000,0.000000,0.000000,events/second
1719503972,333,0.129340,0.000000,0.000000,0.000000,events/second
1719504002,333,0.127849,0.000000,0.000000,0.000000,events/second
1719504032,333,0.126392,0.000000,0.000000,0.000000,events/second
1719504062,333,0.124968,0.000000,0.000000,0.000000,events/second
1719504092,333,0.123576,0.000000,0.000000,0.000000,events/second
1719504122,333,0.122215,0.000000,0.000000,0.000000,events/second
1719504152,333,0.120882,0.000000,0.000000,0.000000,events/second
1719504182,333,0.119579,0.000000,0.000000,0.000000,events/second
1719504212,333,0.118304,0.000000,0.000000,0.000000,events/second
1719504270,325,12.407443,0.000000,0.000000,0.000000,events/second
1719504300,325,5.778995,0.000000,0.000000,0.000000,events/second
1719504330,325,3.767771,0.000000,0.000000,0.000000,events/second
1719504360,325,2.794545,0.000000,0.000000,0.000000,events/second
1719504390,325,2.221222,0.000000,0.000000,0.000000,events/second
1719504420,325,1.843006,0.000000,0.000000,0.000000,events/second
1719504450,325,1.574862,0.000000,0.000000,0.000000,events/second
1719504480,325,1.374810,0.000000,0.000000,0.000000,events/second
1719504510,325,1.219921,0.000000,0.000000,0.000000,events/second
1719504540,325,1.096397,0.000000,0.000000,0.000000,events/second
1719504570,325,0.995548,0.000000,0.000000,0.000000,events/second
1719504600,325,0.911696,0.000000,0.000000,0.000000,events/second
1719504630,325,0.840868,0.000000,0.000000,0.000000,events/second
1719504660,325,0.780261,0.000000,0.000000,0.000000,events/second
1719504690,325,0.727809,0.000000,0.000000,0.000000,events/second
1719504720,325,0.681957,0.000000,0.000000,0.000000,events/second
1719504750,325,0.641542,0.000000,0.000000,0.000000,events/second
1719504780,325,0.605653,0.000000,0.000000,0.000000,events/second
1719504810,325,0.573562,0.000000,0.000000,0.000000,events/second
1719504840,325,0.544695,0.000000,0.000000,0.000000,events/second
1719504870,325,0.518603,0.000000,0.000000,0.000000,events/second
1719504900,325,0.494890,0.000000,0.000000,0.000000,events/second
1719504930,325,0.473254,0.000000,0.000000,0.000000,events/second
1719504960,325,0.453427,0.000000,0.000000,0.000000,events/second
1719504991,325,0.435198,0.000000,0.000000,0.000000,events/second
1719505021,325,0.418378,0.000000,0.000000,0.000000,events/second
1719505051,325,0.402808,0.000000,0.000000,0.000000,events/second
1719505081,325,0.388356,0.000000,0.000000,0.000000,events/second
1719505111,325,0.374904,0.000000,0.000000,0.000000,events/second
1719505141,325,0.362354,0.000000,0.000000,0.000000,events/second
1719505171,325,0.350619,0.000000,0.000000,0.000000,events/second
1719505201,325,0.339620,0.000000,0.000000,0.000000,events/second
1719505231,325,0.329290,0.000000,0.000000,0.000000,events/second
