t,value
1719501420,9223372036854765436
1719501450,9223372036854764028
1719501480,9223372036854762812
1719501510,9223372036854762556
1719501540,9223372036854761916
1719501570,9223372036854761724
1719501600,9223372036854761212
1719501630,9223372036854760764
1719501660,9223372036854760252
1719501690,9223372036854759996
1719501720,9223372036854759420
1719501750,9223372036854759164
1719501780,9223372036854758844
1719501810,9223372036854758268
1719501840,9223372036854758076
1719501870,9223372036854757500
1719501900,9223372036854757180
1719501930,9223372036854756860
1719501960,9223372036854756348
1719501990,9223372036854756028
1719502020,9223372036854755452
1719502050,9223372036854755196
1719502080,9223372036854754940
1719502110,9223372036854754428
1719502140,9223372036854754044
1719502170,9223372036854753532
1719502200,9223372036854753276
1719502230,9223372036854753020
1719502260,9223372036854752444
1719502290,9223372036854752124
1719502320,9223372036854751868
1719502350,9223372036854751356
1719502380,9223372036854751036
1719502410,9223372036854750460
1719502440,9223372036854750204
1719502470,9223372036854749948
1719502500,9223372036854749372
1719502530,9223372036854749116
1719502560,9223372036854748796
1719502590,9223372036854748156
1719502620,9223372036854747900
1719502650,9223372036854747708
1719502680,9223372036854747196
1719502710,9223372036854746812
1719502740,9223372036854746300
1719502770,9223372036854746044
1719502800,9223372036854745660
1719502830,9223372036854745148
1719502860,9223372036854744828
1719502891,9223372036854744572
1719502921,9223372036854743996
1719502951,9223372036854743740
1719502981,9223372036854743484
1719503011,9223372036854742908
1719503041,9223372036854742652
1719503071,9223372036854742076
1719503101,9223372036854741820
1719503131,9223372036854741500
1719503161,9223372036854740988
1719503191,9223372036854740668
1719503221,9223372036854740412
1719503251,9223372036854739836
1719503281,9223372036854739580
1719503311,9223372036854739260
1719503341,9223372036854738748
1719503371,9223372036854738492
1719503401,9223372036854737852
1719503431,9223372036854737596
1719503461,9223372036854737212
1719503491,9223372036854736764
1719503521,9223372036854736508
1719503551,9223372036854736124
1719503582,9223372036854735548
1719503612,9223372036854735420
1719503642,9223372036854734844
1719503672,9223372036854734460
1719503702,9223372036854734268
1719503732,9223372036854733628
1719503762,9223372036854733372
1719503792,9223372036854733116
1719503822,9223372036854732604
1719503852,9223372036854732220
1719503882,9223372036854731644
1719503912,9223372036854731452
1719503942,9223372036854731196
1719503972,9223372036854730620
1719504002,9223372036854730364
1719504032,9223372036854729724
1719504062,9223372036854728428
1719504092,9223372036854727852
1719504122,9223372036854726828
1719504152,9223372036854726108
1719504182,9223372036854725468
1719504212,9223372036854724892
1719504270,9223372036854754972
1719504300,9223372036854754140
1719504330,9223372036854752604
1719504360,9223372036854752028
1719504390,9223372036854751068
1719504420,9223372036854750620
1719504450,9223372036854750236
1719504480,9223372036854749148
1719504510,9223372036854748636
1719504540,9223372036854748188
1719504570,9223372036854747356
1719504600,9223372036854746780
1719504630,9223372036854746460
1719504660,9223372036854745244
1719504690,9223372036854744860
1719504720,9223372036854743964
1719504750,9223372036854743388
1719504780,9223372036854743004
1719504810,9223372036854741980
1719504840,9223372036854741468
1719504870,9223372036854740572
1719504900,9223372036854740060
1719504930,9223372036854739612
1719504960,9223372036854738588
1719504991,9223372036854738140
1719505021,9223372036854737180
1719505051,9223372036854736732
1719505081,9223372036854736284
1719505111,9223372036854735260
1719505141,9223372036854734876
1719505171,9223372036854734300
1719505201,9223372036854733276
1719505231,9223372036854732892
1719505261,9223372036854731996
1719505291,9223372036854731420
1719505321,9223372036854730972
1719505351,9223372036854729948
1719505381,9223372036854729564
1719505411,9223372036854728924
1719505441,9223372036854728028
1719505471,9223372036854727708
1719505501,9223372036854727004
1719505531,9223372036854726172
1719505561,9223372036854725724
1719505591,9223372036854724700
1719505621,9223372036854724252
1719505651,9223372036854723740
1719505681,9223372036854722780
1719505711,9223372036854722332
1719505741,9223372036854721820
1719505771,9223372036854720860
1719505801,9223372036854720412
1719505831,9223372036854719900
1719505861,9223372036854718876
1719505891,9223372036854718556
1719505921,9223372036854717468
1719505951,9223372036854771708
1719505980,9223372036854775708
1719506010,9223372036854773468
1719506040,9223372036854764060
1719506070,9223372036854763164
1719506100,9223372036854761948
1719506130,9223372036854761756
1719506160,9223372036854760412
1719506190,9223372036854759516
1719506220,9223372036854758876
1719506250,9223372036854758556
1719506280,9223372036854758044
1719506310,9223372036854757724
1719506340,9223372036854757212
1719506370,9223372036854754140
1719506401,9223372036854753564
1719506431,9223372036854752924
1719506461,9223372036854752092
1719506491,9223372036854751772
1719506521,9223372036854751196
1719506551,9223372036854750748
1719506581,9223372036854750300
