t,value
1719501420,9223372036854775807
1719501450,9223372036854775807
1719501480,9223372036854775807
1719501510,9223372036854775807
1719501540,9223372036854775807
1719501570,9223372036854775807
1719501600,9223372036854775807
1719501630,9223372036854775807
1719501660,9223372036854775807
1719501690,9223372036854775807
1719501720,9223372036854775807
1719501750,9223372036854775807
1719501780,9223372036854775807
1719501810,9223372036854775807
1719501840,9223372036854775807
1719501870,9223372036854775807
1719501900,9223372036854775807
1719501930,9223372036854775807
1719501960,9223372036854775807
1719501990,9223372036854775807
1719502020,9223372036854775807
1719502050,9223372036854775807
1719502080,9223372036854775807
1719502110,9223372036854775807
1719502140,9223372036854775807
1719502170,9223372036854775807
1719502200,9223372036854775807
1719502230,9223372036854775807
1719502260,9223372036854775807
1719502290,9223372036854775807
1719502320,9223372036854775807
1719502350,9223372036854775807
1719502380,9223372036854775807
1719502410,9223372036854775807
1719502440,9223372036854775807
1719502470,9223372036854775807
1719502500,9223372036854775807
1719502530,9223372036854775807
1719502560,9223372036854775807
1719502590,9223372036854775807
1719502620,9223372036854775807
1719502650,9223372036854775807
1719502680,9223372036854775807
1719502710,9223372036854775807
1719502740,9223372036854775807
1719502770,9223372036854775807
1719502800,9223372036854775807
1719502830,9223372036854775807
1719502860,9223372036854775807
1719502891,9223372036854775807
1719502921,9223372036854775807
1719502951,9223372036854775807
1719502981,9223372036854775807
1719503011,9223372036854775807
1719503041,9223372036854775807
1719503071,9223372036854775807
1719503101,9223372036854775807
1719503131,9223372036854775807
1719503161,9223372036854775807
1719503191,9223372036854775807
1719503221,9223372036854775807
1719503251,9223372036854775807
1719503281,9223372036854775807
1719503311,9223372036854775807
1719503341,9223372036854775807
1719503371,9223372036854775807
1719503401,9223372036854775807
1719503431,9223372036854775807
1719503461,9223372036854775807
1719503491,9223372036854775807
1719503521,9223372036854775807
1719503551,9223372036854775807
1719503582,9223372036854775807
1719503612,9223372036854775807
1719503642,9223372036854775807
1719503672,9223372036854775807
1719503702,9223372036854775807
1719503732,9223372036854775807
1719503762,9223372036854775807
1719503792,9223372036854775807
1719503822,9223372036854775807
1719503852,9223372036854775807
1719503882,9223372036854775807
1719503912,9223372036854775807
1719503942,9223372036854775807
1719503972,9223372036854775807
1719504002,9223372036854775807
1719504032,9223372036854775807
1719504062,9223372036854775807
1719504092,9223372036854775807
1719504122,9223372036854775807
1719504152,9223372036854775807
1719504182,9223372036854775807
1719504212,9223372036854775807
1719504270,9223372036854775807
1719504300,9223372036854775807
1719504330,9223372036854775807
1719504360,9223372036854775807
1719504390,9223372036854775807
1719504420,9223372036854775807
1719504450,9223372036854775807
1719504480,9223372036854775807
1719504510,9223372036854775807
1719504540,9223372036854775807
1719504570,9223372036854775807
1719504600,9223372036854775807
1719504630,9223372036854775807
1719504660,9223372036854775807
1719504690,9223372036854775807
1719504720,9223372036854775807
1719504750,9223372036854775807
1719504780,9223372036854775807
1719504810,9223372036854775807
1719504840,9223372036854775807
1719504870,9223372036854775807
1719504900,9223372036854775807
1719504930,9223372036854775807
1719504960,9223372036854775807
1719504991,9223372036854775807
1719505021,9223372036854775807
1719505051,9223372036854775807
1719505081,9223372036854775807
1719505111,9223372036854775807
1719505141,9223372036854775807
1719505171,9223372036854775807
1719505201,9223372036854775807
1719505231,9223372036854775807
1719505261,9223372036854775807
1719505291,9223372036854775807
1719505321,9223372036854775807
1719505351,9223372036854775807
1719505381,9223372036854775807
1719505411,9223372036854775807
1719505441,9223372036854775807
1719505471,9223372036854775807
1719505501,9223372036854775807
1719505531,9223372036854775807
1719505561,9223372036854775807
1719505591,9223372036854775807
1719505621,9223372036854775807
1719505651,9223372036854775807
1719505681,9223372036854775807
1719505711,9223372036854775807
1719505741,9223372036854775807
1719505771,9223372036854775807
1719505801,9223372036854775807
1719505831,9223372036854775807
1719505861,9223372036854775807
1719505891,9223372036854775807
1719505921,9223372036854775807
1719505951,9223372036854775807
1719505980,9223372036854775807
1719506010,9223372036854775807
1719506040,9223372036854775807
1719506070,9223372036854775807
1719506100,9223372036854775807
1719506130,9223372036854775807
1719506160,9223372036854775807
1719506190,9223372036854775807
1719506220,9223372036854775807
1719506250,9223372036854775807
1719506280,9223372036854775807
1719506310,9223372036854775807
1719506340,9223372036854775807
1719506370,9223372036854775807
1719506401,9223372036854775807
1719506431,9223372036854775807
1719506461,9223372036854775807
1719506491,9223372036854775807
1719506521,9223372036854775807
1719506551,9223372036854775807
1719506581,9223372036854775807
