t,value
1719501420,67119235
1719501450,67120643
1719501480,67121859
1719501510,67122115
1719501540,67122755
1719501570,67122947
1719501600,67123459
1719501630,67123907
1719501660,67124419
1719501690,67124675
1719501720,67125251
1719501750,67125507
1719501780,67125827
1719501810,67126403
1719501840,67126595
1719501870,67127171
1719501900,67127491
1719501930,67127811
1719501960,67128323
1719501990,67128643
1719502020,67129219
1719502050,67129475
1719502080,67129731
1719502110,67130243
1719502140,67130627
1719502170,67131139
1719502200,67131395
1719502230,67131651
1719502260,67132227
1719502290,67132547
1719502320,67132803
1719502350,67133315
1719502380,67133635
1719502410,67134211
1719502440,67134467
1719502470,67134723
1719502500,67135299
1719502530,67135555
1719502560,67135875
1719502590,67136515
1719502620,67136771
1719502650,67136963
1719502680,67137475
1719502710,67137859
1719502740,67138371
1719502770,67138627
1719502800,67139011
1719502830,67139523
1719502860,67139843
1719502891,67140099
1719502921,67140675
1719502951,67140931
1719502981,67141187
1719503011,67141763
1719503041,67142019
1719503071,67142595
1719503101,67142851
1719503131,67143171
1719503161,67143683
1719503191,67144003
1719503221,67144259
1719503251,67144835
1719503281,67145091
1719503311,67145411
1719503341,67145923
1719503371,67146179
1719503401,67146819
1719503431,67147075
1719503461,67147459
1719503491,67147907
1719503521,67148163
1719503551,67148547
1719503582,67149123
1719503612,67149251
1719503642,67149827
1719503672,67150211
1719503702,67150403
1719503732,67151043
1719503762,67151299
1719503792,67151555
1719503822,67152067
1719503852,67152451
1719503882,67153027
1719503912,67153219
1719503942,67153475
1719503972,67154051
1719504002,67154307
1719504032,67154947
1719504062,67156243
1719504092,67156819
1719504122,67157843
1719504152,67158563
1719504182,67159203
1719504212,67159779
1719504270,67129699
1719504300,67130531
1719504330,67132067
1719504360,67132643
1719504390,67133603
1719504420,67134051
1719504450,67134435
1719504480,67135523
1719504510,67136035
1719504540,67136483
1719504570,67137315
1719504600,67137891
1719504630,67138211
1719504660,67139427
1719504690,67139811
1719504720,67140707
1719504750,67141283
1719504780,67141667
1719504810,67142691
1719504840,67143203
1719504870,67144099
1719504900,67144611
1719504930,67145059
1719504960,67146083
1719504991,67146531
1719505021,67147491
1719505051,67147939
1719505081,67148387
1719505111,67149411
1719505141,67149795
1719505171,67150371
1719505201,67151395
1719505231,67151779
1719505261,67152675
1719505291,67153251
1719505321,67153699
1719505351,67154723
1719505381,67155107
1719505411,67155747
1719505441,67156643
1719505471,67156963
1719505501,67157667
1719505531,67158499
1719505561,67158947
1719505591,67159971
1719505621,67160419
1719505651,67160931
1719505681,67161891
1719505711,67162339
1719505741,67162851
1719505771,67163811
1719505801,67164259
1719505831,67164771
1719505861,67165795
1719505891,67166115
1719505921,67167203
1719505951,67112963
1719505980,12583011
1719506010,20973859
1719506040,67120611
1719506070,67121507
1719506100,67122723
1719506130,67122915
1719506160,67124259
1719506190,67125155
1719506220,67125795
1719506250,67126115
1719506280,67126627
1719506310,67126947
1719506340,67127459
1719506370,67130531
1719506401,67131107
1719506431,67131747
1719506461,67132579
1719506491,67132899
1719506521,67133475
1719506551,67133923
1719506581,67134371
