t,value
1719501420,10371
1719501450,11779
1719501480,12995
1719501510,13251
1719501540,13891
1719501570,14083
1719501600,14595
1719501630,15043
1719501660,15555
1719501690,15811
1719501720,16387
1719501750,16643
1719501780,16963
1719501810,17539
1719501840,17731
1719501870,18307
1719501900,18627
1719501930,18947
1719501960,19459
1719501990,19779
1719502020,20355
1719502050,20611
1719502080,20867
1719502110,21379
1719502140,21763
1719502170,22275
1719502200,22531
1719502230,22787
1719502260,23363
1719502290,23683
1719502320,23939
1719502350,24451
1719502380,24771
1719502410,25347
1719502440,25603
1719502470,25859
1719502500,26435
1719502530,26691
1719502560,27011
1719502590,27651
1719502620,27907
1719502650,28099
1719502680,28611
1719502710,28995
1719502740,29507
1719502770,29763
1719502800,30147
1719502830,30659
1719502860,30979
1719502891,31235
1719502921,31811
1719502951,32067
1719502981,32323
1719503011,32899
1719503041,33155
1719503071,33731
1719503101,33987
1719503131,34307
1719503161,34819
1719503191,35139
1719503221,35395
1719503251,35971
1719503281,36227
1719503311,36547
1719503341,37059
1719503371,37315
1719503401,37955
1719503431,38211
1719503461,38595
1719503491,39043
1719503521,39299
1719503551,39683
1719503582,40259
1719503612,40387
1719503642,40963
1719503672,41347
1719503702,41539
1719503732,42179
1719503762,42435
1719503792,42691
1719503822,43203
1719503852,43587
1719503882,44163
1719503912,44355
1719503942,44611
1719503972,45187
1719504002,45443
1719504032,46083
1719504062,47379
1719504092,47955
1719504122,48979
1719504152,49699
1719504182,50339
1719504212,50915
1719504270,20835
1719504300,21667
1719504330,23203
1719504360,23779
1719504390,24739
1719504420,25187
1719504450,25571
1719504480,26659
1719504510,27171
1719504540,27619
1719504570,28451
1719504600,29027
1719504630,29347
1719504660,30563
1719504690,30947
1719504720,31843
1719504750,32419
1719504780,32803
1719504810,33827
1719504840,34339
1719504870,35235
1719504900,35747
1719504930,36195
1719504960,37219
1719504991,37667
1719505021,38627
1719505051,39075
1719505081,39523
1719505111,40547
1719505141,40931
1719505171,41507
1719505201,42531
1719505231,42915
1719505261,43811
1719505291,44387
1719505321,44835
1719505351,45859
1719505381,46243
1719505411,46883
1719505441,47779
1719505471,48099
1719505501,48803
1719505531,49635
1719505561,50083
1719505591,51107
1719505621,51555
1719505651,52067
1719505681,53027
1719505711,53475
1719505741,53987
1719505771,54947
1719505801,55395
1719505831,55907
1719505861,56931
1719505891,57251
1719505921,58339
1719505951,4099
1719505980,99
1719506010,2339
1719506040,11747
1719506070,12643
1719506100,13859
1719506130,14051
1719506160,15395
1719506190,16291
1719506220,16931
1719506250,17251
1719506280,17763
1719506310,18083
1719506340,18595
1719506370,21667
1719506401,22243
1719506431,22883
1719506461,23715
1719506491,24035
1719506521,24611
1719506551,25059
1719506581,25507
