t,value
1719501420,710
1719501450,774
1719501480,774
1719501510,774
1719501540,774
1719501570,774
1719501600,774
1719501630,774
1719501660,774
1719501690,774
1719501720,774
1719501750,774
1719501780,774
1719501810,774
1719501840,774
1719501870,774
1719501900,774
1719501930,774
1719501960,774
1719501990,774
1719502020,778
1719502050,778
1719502080,778
1719502110,778
1719502140,778
1719502170,778
1719502200,778
1719502230,778
1719502260,778
1719502290,778
1719502320,778
1719502350,778
1719502380,778
1719502410,778
1719502440,778
1719502470,778
1719502500,778
1719502530,778
1719502560,778
1719502590,778
1719502620,777
1719502650,777
1719502680,777
1719502710,777
1719502740,777
1719502770,777
1719502800,777
1719502830,777
1719502860,777
1719502891,777
1719502921,777
1719502951,777
1719502981,777
1719503011,777
1719503041,774
1719503071,774
1719503101,774
1719503131,774
1719503161,774
1719503191,774
1719503221,774
1719503251,774
1719503281,774
1719503311,774
1719503341,774
1719503371,774
1719503401,774
1719503431,774
1719503461,774
1719503491,774
1719503521,774
1719503551,774
1719503582,774
1719503612,774
1719503642,774
1719503672,774
1719503702,774
1719503732,774
1719503762,774
1719503792,774
1719503822,774
1719503852,774
1719503882,774
1719503912,774
1719503942,774
1719503972,774
1719504002,774
1719504032,774
1719504062,774
1719504092,774
1719504122,774
1719504152,774
1719504182,774
1719504212,774
1719504270,719
1719504300,782
1719504330,782
1719504360,782
1719504390,782
1719504420,782
1719504450,782
1719504480,782
1719504510,782
1719504540,782
1719504570,782
1719504600,782
1719504630,782
1719504660,782
1719504690,782
1719504720,782
1719504750,782
1719504780,782
1719504810,782
1719504840,782
1719504870,782
1719504900,782
1719504930,782
1719504960,782
1719504991,782
1719505021,782
1719505051,782
1719505081,782
1719505111,782
1719505141,782
1719505171,782
1719505201,782
1719505231,782
1719505261,782
1719505291,782
1719505321,782
1719505351,782
1719505381,782
1719505411,782
1719505441,782
1719505471,782
1719505501,782
1719505531,782
1719505561,782
1719505591,782
1719505621,782
1719505651,782
1719505681,782
1719505711,782
1719505741,782
1719505771,782
1719505801,782
1719505831,782
1719505861,782
1719505891,782
1719505921,782
1719505951,766
1719505980,704
1719506010,769
1719506040,776
1719506070,776
1719506100,776
1719506130,776
1719506160,776
1719506190,776
1719506220,776
1719506250,776
1719506280,776
1719506310,776
1719506340,776
1719506370,778
1719506401,778
1719506431,778
1719506461,778
1719506491,778
1719506521,778
1719506551,778
1719506581,782
