t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,87,3.817378,0.000000,0.000000,0.000000,events/second
1719501450,87,1.647368,0.000000,0.000000,0.000000,events/second
1719501480,136,1.641802,0.000000,0.000000,0.000000,events/second
1719501510,136,1.205041,0.000000,0.000000,0.000000,events/second
1719501540,136,0.951896,0.000000,0.000000,0.000000,events/second
1719501570,136,0.786616,0.000000,0.000000,0.000000,events/second
1719501600,136,0.670222,0.000000,0.000000,0.000000,events/second
1719501630,136,0.583841,0.000000,0.000000,0.000000,events/second
1719501660,136,0.517183,0.000000,0.000000,0.000000,events/second
1719501690,136,0.464189,0.000000,0.000000,0.000000,events/second
1719501720,136,0.421051,0.000000,0.000000,0.000000,events/second
1719501750,136,0.385251,0.000000,0.000000,0.000000,events/second
1719501780,136,0.355064,0.000000,0.000000,0.000000,events/second
1719501810,136,0.329261,0.000000,0.000000,0.000000,events/second
1719501840,136,0.306949,0.000000,0.000000,0.000000,events/second
1719501870,136,0.287476,0.000000,0.000000,0.000000,events/second
1719501900,136,0.270326,0.000000,0.000000,0.000000,events/second
1719501930,136,0.255107,0.000000,0.000000,0.000000,events/second
1719501960,136,0.241511,0.000000,0.000000,0.000000,events/second
1719501990,136,0.229291,0.000000,0.000000,0.000000,events/second
1719502020,158,0.253551,0.000000,0.000000,0.000000,events/second
1719502050,158,0.241896,0.000000,0.000000,0.000000,events/second
1719502080,158,0.231265,0.000000,0.000000,0.000000,events/second
1719502110,158,0.221531,0.000000,0.000000,0.000000,events/second
1719502140,158,0.212580,0.000000,0.000000,0.000000,events/second
1719502170,158,0.204326,0.000000,0.000000,0.000000,events/second
1719502200,158,0.196689,0.000000,0.000000,0.000000,events/second
1719502230,158,0.189604,0.000000,0.000000,0.000000,events/second
1719502260,158,0.183011,0.000000,0.000000,0.000000,events/second
1719502290,158,0.176861,0.000000,0.000000,0.000000,events/second
1719502320,158,0.171112,0.000000,0.000000,0.000000,events/second
1719502350,158,0.165724,0.000000,0.000000,0.000000,events/second
1719502380,158,0.160665,0.000000,0.000000,0.000000,events/second
1719502410,158,0.155906,0.000000,0.000000,0.000000,events/second
1719502440,158,0.151420,0.000000,0.000000,0.000000,events/second
1719502470,158,0.147186,0.000000,0.000000,0.000000,events/second
1719502500,158,0.143182,0.000000,0.000000,0.000000,events/second
1719502530,158,0.139390,0.000000,0.000000,0.000000,events/second
1719502560,158,0.135794,0.000000,0.000000,0.000000,events/second
1719502590,158,0.132378,0.000000,0.000000,0.000000,events/second
1719502620,158,0.129129,0.000000,0.000000,0.000000,events/second
1719502650,158,0.126036,0.000000,0.000000,0.000000,events/second
1719502680,158,0.123088,0.000000,0.000000,0.000000,events/second
1719502710,158,0.120275,0.000000,0.000000,0.000000,events/second
1719502740,158,0.117588,0.000000,0.000000,0.000000,events/second
1719502770,158,0.115019,0.000000,0.000000,0.000000,events/second
1719502800,158,0.112559,0.000000,0.000000,0.000000,events/second
1719502830,158,0.110202,0.000000,0.000000,0.000000,events/second
1719502860,158,0.107942,0.000000,0.000000,0.000000,events/second
1719502891,158,0.105773,0.000000,0.000000,0.000000,events/second
1719502921,158,0.103689,0.000000,0.000000,0.000000,events/second
1719502951,158,0.101686,0.000000,0.000000,0.000000,events/second
1719502981,158,0.099759,0.000000,0.000000,0.000000,events/second
1719503011,198,0.122689,0.000000,0.000000,0.000000,events/second
1719503041,198,0.120449,0.000000,0.000000,0.000000,events/second
1719503071,198,0.118289,0.000000,0.000000,0.000000,events/second
1719503101,198,0.116204,0.000000,0.000000,0.000000,events/second
1719503131,198,0.114193,0.000000,0.000000,0.000000,events/second
1719503161,198,0.112249,0.000000,0.000000,0.000000,events/second
1719503191,198,0.110371,0.000000,0.000000,0.000000,events/second
1719503221,198,0.108555,0.000000,0.000000,0.000000,events/second
1719503251,198,0.106797,0.000000,0.000000,0.000000,events/second
1719503281,198,0.105095,0.000000,0.000000,0.000000,events/second
1719503311,198,0.103446,0.000000,0.000000,0.000000,events/second
1719503341,198,0.101849,0.000000,0.000000,0.000000,events/second
1719503371,198,0.100300,0.000000,0.000000,0.000000,events/second
1719503401,198,0.098797,0.000000,0.000000,0.000000,events/second
1719503431,198,0.097339,0.000000,0.000000,0.000000,events/second
1719503461,198,0.095923,0.000000,0.000000,0.000000,events/second
1719503491,198,0.094548,0.000000,0.000000,0.000000,events/second
1719503521,198,0.093211,0.000000,0.000000,0.000000,events/second
1719503551,198,0.091912,0.000000,0.000000,0.000000,events/second
1719503582,198,0.090649,0.000000,0.000000,0.000000,events/second
1719503612,198,0.089420,0.000000,0.000000,0.000000,events/second
1719503642,198,0.088224,0.000000,0.000000,0.000000,events/second
1719503672,198,0.087059,0.000000,0.000000,0.000000,events/second
1719503702,198,0.085925,0.000000,0.000000,0.000000,events/second
1719503732,198,0.084820,0.000000,0.000000,0.000000,events/second
1719503762,198,0.083743,0.000000,0.000000,0.000000,events/second
1719503792,198,0.082692,0.000000,0.000000,0.000000,events/second
1719503822,198,0.081668,0.000000,0.000000,0.000000,events/second
1719503852,198,0.080669,0.000000,0.000000,0.000000,events/second
1719503882,198,0.079694,0.000000,0.000000,0.000000,events/second
1719503912,198,0.078742,0.000000,0.000000,0.000000,events/second
1719503942,198,0.077813,0.000000,0.000000,0.000000,events/second
1719503972,198,0.076905,0.000000,0.000000,0.000000,events/second
1719504002,198,0.076019,0.000000,0.000000,0.000000,events/second
1719504032,198,0.075152,0.000000,0.000000,0.000000,events/second
1719504062,198,0.074306,0.000000,0.000000,0.000000,events/second
1719504092,220,0.081642,0.000000,0.000000,0.000000,events/second
1719504122,233,0.085514,0.000000,0.000000,0.000000,events/second
1719504152,233,0.084582,0.000000,0.000000,0.000000,events/second
1719504182,233,0.083670,0.000000,0.000000,0.000000,events/second
1719504212,233,0.082777,0.000000,0.000000,0.000000,events/second
1719504270,236,9.010716,0.000000,0.000000,0.000000,events/second
1719504300,273,4.854741,0.000000,0.000000,0.000000,events/second
1719504330,273,3.165094,0.000000,0.000000,0.000000,events/second
1719504360,273,2.347508,0.000000,0.000000,0.000000,events/second
1719504390,273,1.865885,0.000000,0.000000,0.000000,events/second
1719504420,273,1.548165,0.000000,0.000000,0.000000,events/second
1719504450,273,1.322913,0.000000,0.000000,0.000000,events/second
1719504480,273,1.154862,0.000000,0.000000,0.000000,events/second
1719504510,305,1.144869,0.000000,0.000000,0.000000,events/second
1719504540,305,1.028942,0.000000,0.000000,0.000000,events/second
1719504570,305,0.934295,0.000000,0.000000,0.000000,events/second
1719504600,305,0.855603,0.000000,0.000000,0.000000,events/second
1719504630,305,0.789131,0.000000,0.000000,0.000000,events/second
1719504660,305,0.732253,0.000000,0.000000,0.000000,events/second
1719504690,305,0.683027,0.000000,0.000000,0.000000,events/second
1719504720,305,0.639996,0.000000,0.000000,0.000000,events/second
1719504750,305,0.602068,0.000000,0.000000,0.000000,events/second
1719504780,305,0.568387,0.000000,0.000000,0.000000,events/second
1719504810,305,0.538270,0.000000,0.000000,0.000000,events/second
1719504840,305,0.511179,0.000000,0.000000,0.000000,events/second
1719504870,315,0.502649,0.000000,0.000000,0.000000,events/second
1719504900,315,0.479666,0.000000,0.000000,0.000000,events/second
1719504930,315,0.458695,0.000000,0.000000,0.000000,events/second
1719504960,315,0.439479,0.000000,0.000000,0.000000,events/second
1719504991,315,0.421810,0.000000,0.000000,0.000000,events/second
1719505021,315,0.405507,0.000000,0.000000,0.000000,events/second
