t,value
1719501420,305622864
1719501450,360148816
1719501480,133739008
1719501510,138981888
1719501540,150516224
1719501570,159953408
1719501600,181973504
1719501630,190362112
1719501660,201896448
1719501690,207139328
1719501720,218673664
1719501750,224965120
1719501780,233353728
1719501810,242790912
1719501840,251179520
1719501870,260616704
1719501900,267956736
1719501930,274248192
1719501960,284733952
1719501990,291025408
1719502020,104903168
1719502050,111194624
1719502080,120631808
1719502110,129020416
1719502140,137409024
1719502170,146846208
1719502200,154186240
1719502230,161526272
1719502260,172012032
1719502290,178303488
1719502320,204517888
1719502350,213955072
1719502380,223392256
1719502410,230732288
1719502440,239120896
1719502470,244363776
1719502500,255898112
1719502530,262189568
1719502560,269529600
1719502590,278966784
1719502620,287355392
1719502650,294695424
1719502680,305181184
1719502710,311472640
1719502740,320909824
1719502770,328249856
1719502800,335589888
1719502830,345027072
1719502860,353415680
1719502891,358658560
1719502921,370192896
1719502951,375435776
1719502981,383824384
1719503011,88650240
1719503041,100184576
1719503071,108573184
1719503101,116961792
1719503131,124301824
1719503161,134787584
1719503191,140030464
1719503221,148419072
1719503251,158904832
1719503281,167293440
1719503311,171487744
1719503341,183022080
1719503371,189313536
1719503401,199799296
1719503431,207139328
1719503461,214479360
1719503491,222867968
1719503521,231256576
1719503551,237548032
1719503582,248033792
1719503612,253276672
1719503642,264811008
1719503672,271102464
1719503702,278442496
1719503732,287879680
1719503762,297316864
1719503792,301511168
1719503822,311996928
1719503852,318288384
1719503882,329822720
1719503912,337162752
1719503942,344502784
1719503972,352891392
1719504002,361280000
1719504032,369668608
1719504062,393785856
1719504092,96353656
1719504122,102698104
1719504152,112135288
1719504182,122621048
1719504212,132058232
1719504270,400032032
1719504300,223195104
1719504330,328052704
1719504360,343781344
1719504390,373141472
1719504420,387821536
1719504450,403550176
1719504480,429764576
1719504510,214881856
1719504540,229561920
1719504570,256824896
1719504600,270456384
1719504630,285136448
1719504660,311350848
1719504690,326030912
1719504720,352245312
1719504750,366925376
1719504780,381605440
1719504810,407819840
1719504840,422499904
1719504870,226170944
1719504900,241899584
1719504930,256579648
1719504960,282794048
1719504991,297474112
1719505021,322639936
1719505051,337320000
1719505081,352000064
1719505111,378214464
1719505141,392894528
1719505171,407574592
1719505201,432740416
1719505231,207746560
1719505261,232912384
1719505291,247592448
1719505321,263321088
1719505351,287438328
1719505381,303166968
1719505411,317847032
1719505441,343012856
1719505471,358741496
1719505501,372372984
1719505531,398587384
1719505561,414316024
1719505591,439481848
1719505621,202244640
1719505651,219021856
1719505681,244187680
1719505711,258867744
1719505741,272499232
1719505771,297665056
1719505801,312345120
1719505831,327025184
1719505861,352191008
1719505891,366871072
1719505921,392036896
1719505951,439222816
1719505980,383384208
1719506010,400161424
1719506040,392493320
1719506070,251763088
1719506100,319920528
1719506130,358717840
1719506160,212726704
1719506190,290321328
1719506220,264154992
1719506250,277673128
1719506280,229485904
1719506310,424526584
1719506340,367417096
1719506370,339652952
1719506401,295062896
1719506431,324505680
1719506461,377151960
1719506491,362220032
1719506521,369557360
1719506551,361359616
1719506581,397340312
