t,value
1719501420,49021446
1719501450,49021446
1719501480,49021450
1719501510,49021450
1719501540,49021450
1719501570,49021450
1719501600,49021450
1719501630,49021450
1719501660,49021450
1719501690,49021450
1719501720,49021450
1719501750,49021450
1719501780,49021450
1719501810,49021450
1719501840,49021450
1719501870,49021450
1719501900,49021450
1719501930,49021450
1719501960,49021450
1719501990,49021450
1719502020,49038338
1719502050,49038338
1719502080,49037834
1719502110,49037834
1719502140,49037834
1719502170,49037834
1719502200,49037834
1719502230,49037834
1719502260,49037834
1719502290,49037834
1719502320,49037834
1719502350,49037834
1719502380,49037834
1719502410,49037834
1719502440,49037834
1719502470,49037834
1719502500,49037834
1719502530,49037834
1719502560,49037834
1719502590,49037834
1719502620,49037834
1719502650,49037834
1719502680,49037834
1719502710,49037834
1719502740,49037834
1719502770,49037834
1719502800,49037834
1719502830,49037834
1719502860,49037834
1719502891,49037834
1719502921,49037834
1719502951,49037834
1719502981,49037834
1719503011,49037834
1719503041,49037834
1719503071,49037834
1719503101,49037834
1719503131,49037834
1719503161,49037834
1719503191,49037834
1719503221,49037834
1719503251,49037834
1719503281,49037834
1719503311,49037834
1719503341,49037834
1719503371,49037834
1719503401,49037834
1719503431,49037834
1719503461,49037834
1719503491,49037834
1719503521,49037834
1719503551,49037834
1719503582,49037834
1719503612,49037834
1719503642,49037834
1719503672,49037834
1719503702,49037834
1719503732,49037834
1719503762,49037834
1719503792,49037834
1719503822,49037834
1719503852,49037834
1719503882,49037834
1719503912,49037834
1719503942,49037834
1719503972,49037834
1719504002,49037834
1719504032,49037834
1719504062,49037834
1719504092,49021450
1719504122,49021450
1719504152,49021450
1719504182,49021450
1719504212,49021450
1719504270,49021575
1719504300,49021575
1719504330,49021446
1719504360,49021446
1719504390,49021446
1719504420,49021446
1719504450,49021446
1719504480,49021446
1719504510,49021446
1719504540,49021446
1719504570,49021446
1719504600,49021446
1719504630,49021446
1719504660,49021446
1719504690,49021446
1719504720,49021446
1719504750,49021446
1719504780,49021446
1719504810,49021446
1719504840,49021446
1719504870,49037830
1719504900,49037830
1719504930,49037830
1719504960,49037830
1719504991,49037830
1719505021,49037830
1719505051,49037830
1719505081,49037830
1719505111,49037830
1719505141,49037830
1719505171,49037830
1719505201,49037830
1719505231,49021446
1719505261,49021446
1719505291,49021446
1719505321,49021446
1719505351,49021446
1719505381,49021446
1719505411,49021446
1719505441,49021446
1719505471,49021446
1719505501,49021446
1719505531,49021446
1719505561,49021446
1719505591,49021446
1719505621,49021446
1719505651,49021446
1719505681,49021446
1719505711,49021446
1719505741,49021446
1719505771,49021446
1719505801,49021446
1719505831,49021446
1719505861,49021446
1719505891,49021446
1719505921,49021446
1719505951,49021446
1719505980,49021575
1719506010,49021575
1719506040,49021446
1719506070,49021446
1719506100,49021446
1719506130,49021446
1719506160,49021450
1719506190,49021450
1719506220,49021450
1719506250,49021450
1719506280,49021450
1719506310,49021450
1719506340,49021450
1719506370,49021450
1719506401,49021450
1719506431,49021450
1719506461,49021450
1719506491,49021450
1719506521,49021450
1719506551,49021450
1719506581,49038338
