t,value
1719501420,231735296
1719501450,286261248
1719501480,40894464
1719501510,46137344
1719501540,57671680
1719501570,67108864
1719501600,89128960
1719501630,97517568
1719501660,109051904
1719501690,114294784
1719501720,125829120
1719501750,132120576
1719501780,140509184
1719501810,149946368
1719501840,158334976
1719501870,167772160
1719501900,175112192
1719501930,181403648
1719501960,191889408
1719501990,198180864
1719502020,16777216
1719502050,23068672
1719502080,32505856
1719502110,40894464
1719502140,49283072
1719502170,58720256
1719502200,66060288
1719502230,73400320
1719502260,83886080
1719502290,90177536
1719502320,116391936
1719502350,125829120
1719502380,135266304
1719502410,142606336
1719502440,150994944
1719502470,156237824
1719502500,167772160
1719502530,174063616
1719502560,181403648
1719502590,190840832
1719502620,199229440
1719502650,206569472
1719502680,217055232
1719502710,223346688
1719502740,232783872
1719502770,240123904
1719502800,247463936
1719502830,256901120
1719502860,265289728
1719502891,270532608
1719502921,282066944
1719502951,287309824
1719502981,295698432
1719503011,0
1719503041,11534336
1719503071,19922944
1719503101,28311552
1719503131,35651584
1719503161,46137344
1719503191,51380224
1719503221,59768832
1719503251,70254592
1719503281,78643200
1719503311,82837504
1719503341,94371840
1719503371,100663296
1719503401,111149056
1719503431,118489088
1719503461,125829120
1719503491,134217728
1719503521,142606336
1719503551,148897792
1719503582,159383552
1719503612,164626432
1719503642,176160768
1719503672,182452224
1719503702,189792256
1719503732,199229440
1719503762,208666624
1719503792,212860928
1719503822,223346688
1719503852,229638144
1719503882,241172480
1719503912,248512512
1719503942,255852544
1719503972,264241152
1719504002,272629760
1719504032,281018368
1719504062,305135616
1719504092,8388608
1719504122,15728640
1719504152,25165824
1719504182,35651584
1719504212,45088768
1719504270,208666624
1719504300,25165824
1719504330,130023424
1719504360,145752064
1719504390,175112192
1719504420,189792256
1719504450,205520896
1719504480,231735296
1719504510,16777216
1719504540,31457280
1719504570,58720256
1719504600,72351744
1719504630,87031808
1719504660,113246208
1719504690,127926272
1719504720,154140672
1719504750,168820736
1719504780,183500800
1719504810,209715200
1719504840,224395264
1719504870,25165824
1719504900,40894464
1719504930,55574528
1719504960,81788928
1719504991,96468992
1719505021,121634816
1719505051,136314880
1719505081,150994944
1719505111,177209344
1719505141,191889408
1719505171,206569472
1719505201,231735296
1719505231,5242880
1719505261,30408704
1719505291,45088768
1719505321,60817408
1719505351,84934648
1719505381,100663288
1719505411,115343352
1719505441,140509176
1719505471,156237816
1719505501,169869304
1719505531,196083704
1719505561,211812344
1719505591,236978168
1719505621,1048576
1719505651,17825792
1719505681,42991616
1719505711,57671680
1719505741,71303168
1719505771,96468992
1719505801,111149056
1719505831,125829120
1719505861,150994944
1719505891,165675008
1719505921,190840832
1719505951,238026752
1719505980,184549376
1719506010,201326592
1719506040,191889400
1719506070,45088768
1719506100,113246208
1719506130,152043520
1719506160,3145728
1719506190,80740352
1719506220,53477376
1719506250,63963136
1719506280,14680064
1719506310,209715200
1719506340,152043520
1719506370,124780544
1719506401,79691776
1719506431,109051904
1719506461,161480704
1719506491,146800640
1719506521,154140672
1719506551,145752064
1719506581,179306496
