t,value
1719501420,43010560
1719501450,43010560
1719501480,64532992
1719501510,64532992
1719501540,64532992
1719501570,64532992
1719501600,64532992
1719501630,64532992
1719501660,64532992
1719501690,64532992
1719501720,64532992
1719501750,64532992
1719501780,64532992
1719501810,64532992
1719501840,64532992
1719501870,64532992
1719501900,64532992
1719501930,64532992
1719501960,64532992
1719501990,64532992
1719502020,72921600
1719502050,72921600
1719502080,72921600
1719502110,72921600
1719502140,72921600
1719502170,72921600
1719502200,72921600
1719502230,72921600
1719502260,72921600
1719502290,72921600
1719502320,72921600
1719502350,72921600
1719502380,72921600
1719502410,72921600
1719502440,72921600
1719502470,72921600
1719502500,72921600
1719502530,72921600
1719502560,72921600
1719502590,72921600
1719502620,72921600
1719502650,72921600
1719502680,72921600
1719502710,72921600
1719502740,72921600
1719502770,72921600
1719502800,72921600
1719502830,72921600
1719502860,72921600
1719502891,72921600
1719502921,72921600
1719502951,72921600
1719502981,72921600
1719503011,72921600
1719503041,72921600
1719503071,72921600
1719503101,72921600
1719503131,72921600
1719503161,72921600
1719503191,72921600
1719503221,72921600
1719503251,72921600
1719503281,72921600
1719503311,72921600
1719503341,72921600
1719503371,72921600
1719503401,72921600
1719503431,72921600
1719503461,72921600
1719503491,72921600
1719503521,72921600
1719503551,72921600
1719503582,72921600
1719503612,72921600
1719503642,72921600
1719503672,72921600
1719503702,72921600
1719503732,72921600
1719503762,72921600
1719503792,72921600
1719503822,72921600
1719503852,72921600
1719503882,72921600
1719503912,72921600
1719503942,72921600
1719503972,72921600
1719504002,72921600
1719504032,72921600
1719504062,72921600
1719504092,72921600
1719504122,83832320
1719504152,83832320
1719504182,83832320
1719504212,83832320
1719504270,184677888
1719504300,184677888
1719504330,184677888
1719504360,184677888
1719504390,184677888
1719504420,184677888
1719504450,184677888
1719504480,184677888
1719504510,184677888
1719504540,184677888
1719504570,184677888
1719504600,184677888
1719504630,184677888
1719504660,184677888
1719504690,184677888
1719504720,184677888
1719504750,184677888
1719504780,184677888
1719504810,184677888
1719504840,184677888
1719504870,184677888
1719504900,184677888
1719504930,184677888
1719504960,184677888
1719504991,184677888
1719505021,184677888
1719505051,184677888
1719505081,184677888
1719505111,184677888
1719505141,184677888
1719505171,184677888
1719505201,184677888
1719505231,184677888
1719505261,184677888
1719505291,184677888
1719505321,184677888
1719505351,184677888
1719505381,184677888
1719505411,184677888
1719505441,184677888
1719505471,184677888
1719505501,184677888
1719505531,184677888
1719505561,184677888
1719505591,184677888
1719505621,184677888
1719505651,184677888
1719505681,184677888
1719505711,184677888
1719505741,184677888
1719505771,184677888
1719505801,184677888
1719505831,184677888
1719505861,184677888
1719505891,184677888
1719505921,184677888
1719505951,184677888
1719505980,170785280
1719506010,170785280
1719506040,189341184
1719506070,192486912
1719506100,192486912
1719506130,192486912
1719506160,192486912
1719506190,192486912
1719506220,192486912
1719506250,201944064
1719506280,201944064
1719506310,201944064
1719506340,201944064
1719506370,207942144
1719506401,209318912
1719506431,210553344
1719506461,211159552
1719506491,211225088
1719506521,211261440
1719506551,211723776
1719506581,211791872
