t,value
1719501420,126
1719501450,126
1719501480,100
1719501510,100
1719501540,98
1719501570,98
1719501600,98
1719501630,98
1719501660,97
1719501690,96
1719501720,95
1719501750,95
1719501780,96
1719501810,96
1719501840,95
1719501870,95
1719501900,96
1719501930,96
1719501960,95
1719501990,95
1719502020,103
1719502050,103
1719502080,99
1719502110,99
1719502140,98
1719502170,99
1719502200,98
1719502230,97
1719502260,97
1719502290,98
1719502320,98
1719502350,97
1719502380,97
1719502410,98
1719502440,98
1719502470,97
1719502500,97
1719502530,97
1719502560,98
1719502590,98
1719502620,98
1719502650,99
1719502680,99
1719502710,98
1719502740,97
1719502770,97
1719502800,97
1719502830,98
1719502860,98
1719502891,97
1719502921,97
1719502951,98
1719502981,98
1719503011,97
1719503041,96
1719503071,97
1719503101,97
1719503131,96
1719503161,96
1719503191,96
1719503221,97
1719503251,100
1719503281,99
1719503311,98
1719503341,99
1719503371,98
1719503401,97
1719503431,96
1719503461,96
1719503491,97
1719503521,97
1719503551,96
1719503582,96
1719503612,97
1719503642,97
1719503672,96
1719503702,96
1719503732,97
1719503762,97
1719503792,96
1719503822,96
1719503852,96
1719503882,99
1719503912,99
1719503942,97
1719503972,97
1719504002,97
1719504032,97
1719504062,100
1719504092,100
1719504122,99
1719504152,98
1719504182,98
1719504212,98
1719504270,159
1719504300,150
1719504330,111
1719504360,111
1719504390,108
1719504420,108
1719504450,107
1719504480,107
1719504510,105
1719504540,105
1719504570,104
1719504600,104
1719504630,103
1719504660,103
1719504690,102
1719504720,102
1719504750,102
1719504780,101
1719504810,101
1719504840,102
1719504870,107
1719504900,106
1719504930,105
1719504960,106
1719504991,105
1719505021,104
1719505051,103
1719505081,103
1719505111,103
1719505141,103
1719505171,102
1719505201,102
1719505231,103
1719505261,103
1719505291,102
1719505321,102
1719505351,103
1719505381,103
1719505411,102
1719505441,102
1719505471,106
1719505501,107
1719505531,105
1719505561,104
1719505591,103
1719505621,104
1719505651,103
1719505681,102
1719505711,102
1719505741,102
1719505771,103
1719505801,103
1719505831,102
1719505861,102
1719505891,103
1719505921,103
1719505951,107
1719505980,138
1719506010,140
1719506040,108
1719506070,112
1719506100,110
1719506130,110
1719506160,109
1719506190,109
1719506220,110
1719506250,110
1719506280,108
1719506310,108
1719506340,106
1719506370,107
1719506401,107
1719506431,108
1719506461,107
1719506491,107
1719506521,107
1719506551,107
1719506581,108
